# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol],UMincarbring(d)[kj/mol]
0.0169773,0.0169773,-0.0000000,235170.0300776,235170.0300776
0.0269773,0.0269773,0.0100000,258639.1097693,258639.1097693
0.0369773,0.0369773,0.0200000,283776.5747594,283776.5747594
0.0469773,0.0469773,0.0300000,255356.6768145,255356.6768145
0.0569773,0.0569773,0.0400000,211080.0197495,211080.0197495
0.0669773,0.0669773,0.0500000,168013.2638827,168013.2638827
0.0769773,0.0769773,0.0600000,135342.0675413,135342.0675413
0.0869773,0.0869773,0.0700000,107352.1764622,107352.1764622
0.0969773,0.0969773,0.0800000,84515.6340900,84515.6340900
0.1069773,0.1069773,0.0900000,65521.6587639,65521.6587639
0.1169773,0.1169773,0.1000000,49871.7244238,49871.7244238
0.1269773,0.1269773,0.1100000,37208.6813105,37208.6813105
0.1369773,0.1369773,0.1200000,27212.0919870,27212.0919870
0.1469773,0.1469773,0.1300000,19526.7626165,19526.7626165
0.1569773,0.1569773,0.1400000,13767.5945901,13767.5945901
0.1669773,0.1669773,0.1500000,9551.3019454,9551.3019454
0.1769773,0.1769773,0.1600000,6527.1958075,6527.1958075
0.1869773,0.1869773,0.1700000,4396.1296775,4396.1296775
0.1969773,0.1969773,0.1800000,2916.8283933,2916.8283933
0.2069773,0.2069773,0.1900000,1903.1214428,1903.1214428
0.2169773,0.2169773,0.2000000,1241.4825827,1216.2762865
0.2269773,0.2269773,0.2100000,780.5327683,755.6968710
0.2369773,0.2369773,0.2200000,474.3960393,449.9800895
0.2469773,0.2469773,0.2300000,272.9921649,249.2776490
0.2569773,0.2569773,0.2400000,141.9001184,119.2329501
0.2669773,0.2669773,0.2500000,57.8389867,36.3999947
0.2769773,0.2769773,0.2600000,4.9428728,-15.0992571
0.2869773,0.2869773,0.2700000,-27.6090557,-45.9530287
0.2969773,0.2969773,0.2800000,-46.9750775,-63.3534749
0.3069773,0.3069773,0.2900000,-57.7887949,-72.0296216
0.3169773,0.3169773,0.3000000,-63.1103539,-75.1570940
0.3269773,0.3269773,0.3100000,-64.9169724,-74.8354757
0.3369773,0.3369773,0.3200000,-64.4392029,-72.4445230
0.3469773,0.3469773,0.3300000,-62.4416832,-68.9258106
0.3569773,0.3569773,0.3400000,-59.4562009,-64.8027764
0.3669773,0.3669773,0.3500000,-56.0295924,-60.4482990
0.3769773,0.3769773,0.3600000,-53.1925255,-58.4396881
0.3869773,0.3869773,0.3700000,-51.4576605,-56.5021096
0.3969773,0.3969773,0.3800000,-49.8848258,-54.1335808
0.4069773,0.4069773,0.3900000,-47.9916036,-52.0930338
0.4169773,0.4169773,0.4000000,-45.7335560,-49.3942810
0.4269773,0.4269773,0.4100000,-43.1861423,-46.3965277
0.4369773,0.4369773,0.4200000,-40.4675367,-43.3048978
0.4469773,0.4469773,0.4300000,-37.6970209,-40.2389658
0.4569773,0.4569773,0.4400000,-34.9724127,-37.2840781
0.4669773,0.4669773,0.4500000,-32.3619934,-34.5442374
0.4769773,0.4769773,0.4600000,-29.9064907,-31.9730744
0.4869773,0.4869773,0.4700000,-27.6254703,-29.5767456
0.4969773,0.4969773,0.4800000,-25.5240636,-27.3598423
0.5069773,0.5069773,0.4900000,-23.5983761,-25.3193128
0.5169773,0.5169773,0.5000000,-21.8393341,-23.4472615
0.5269773,0.5269773,0.5100000,-20.2352378,-21.7336460
0.5369773,0.5369773,0.5200000,-18.7733763,-20.1670811
0.5469773,0.5469773,0.5300000,-17.4410055,-18.7347463
0.5569773,0.5569773,0.5400000,-16.2259072,-17.4252755
0.5669773,0.5669773,0.5500000,-15.1166825,-16.2265740
0.5769773,0.5769773,0.5600000,-14.1028802,-15.1288060
0.5869773,0.5869773,0.5700000,-13.1750250,-14.1227377
0.5969773,0.5969773,0.5800000,-12.3245894,-13.1998388
0.6069773,0.6069773,0.5900000,-11.5439341,-12.3523114
0.6169773,0.6169773,0.6000000,-10.8262342,-11.5731340
0.6269773,0.6269773,0.6100000,-10.1654017,-10.8559437
0.6369773,0.6369773,0.6200000,-9.5560081,-10.1948521
0.6469773,0.6469773,0.6300000,-8.9932128,-9.5846780
0.6569773,0.6569773,0.6400000,-8.4726961,-9.0207656
0.6669773,0.6669773,0.6500000,-7.9905999,-8.4989325
0.6769773,0.6769773,0.6600000,-7.5434737,-8.0154204
0.6869773,0.6869773,0.6700000,-7.1282276,-7.5668505
0.6969773,0.6969773,0.6800000,-6.7420904,-7.1501828
0.7069773,0.7069773,0.6900000,-6.3825727,-6.7626797
0.7169773,0.7169773,0.7000000,-6.0474348,-6.4018736
0.7269773,0.7269773,0.7100000,-5.7346584,-6.0655375
0.7369773,0.7369773,0.7200000,-5.4424217,-5.7516592
0.7469773,0.7469773,0.7300000,-5.1690779,-5.4584186
0.7569773,0.7569773,0.7400000,-4.9131354,-5.1841669
0.7669773,0.7669773,0.7500000,-4.6732419,-4.9274089
0.7769773,0.7769773,0.7600000,-4.4481689,-4.6867881
0.7869773,0.7869773,0.7700000,-4.2367990,-4.4610699
0.7969773,0.7969773,0.7800000,-4.0381142,-4.2491287
0.8069773,0.8069773,0.7900000,-3.8511859,-4.0499398
0.8169773,0.8169773,0.8000000,-3.6751659,-3.8625682
0.8269773,0.8269773,0.8100000,-3.5092781,-3.6861593
0.8369773,0.8369773,0.8200000,-3.3528119,-3.5199312
0.8469773,0.8469773,0.8300000,-3.2051154,-3.3631676
0.8569773,0.8569773,0.8400000,-3.0655901,-3.2152116
0.8669773,0.8669773,0.8500000,-2.9336858,-3.0754598
0.8769773,0.8769773,0.8600000,-2.8088961,-2.9433578
0.8869773,0.8869773,0.8700000,-2.6907542,-2.8183952
0.8969773,0.8969773,0.8800000,-2.5788297,-2.7001019
0.9069773,0.9069773,0.8900000,-2.4727251,-2.5880442
