# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.3834311,-1.3834311,-1.3982306,23374.1439344,14315.2452906,93863.7798639,1465.7630917,65609.4243432,23008.5104158,23739.7774530,27554.3478496,17426.8997291,23374.1439344,14315.2452906,93863.7798639,1450.1219924,65609.4243432,23008.5104158,23739.7774530,27554.3478496,17426.8997291
-1.3784311,-1.3784311,-1.3932306,23381.4864635,14239.0979548,93933.0266168,1464.3755009,65657.2834289,23016.5108906,23746.4620365,27563.0035079,17432.3740480,23381.4864635,14239.0979548,93933.0266168,1448.7344018,65657.2834289,23016.5108906,23746.4620365,27563.0035079,17432.3740480
-1.3734311,-1.3734311,-1.3882306,23310.3224882,14015.6662037,93726.9482408,1456.2526171,65509.9582389,22914.0506821,23674.3136334,27479.1126524,17379.3168124,23310.3224882,14015.6662037,93726.9482408,1440.6115972,65509.9582389,22914.0506821,23674.3136334,27479.1126524,17379.3168124
-1.3684311,-1.3684311,-1.3832306,23031.5389191,13732.4608173,92689.0723819,1442.3027118,64526.3097310,22478.6120249,23536.9439133,27150.4717636,17171.4660642,23031.5389191,13732.4608173,92689.0723819,1426.7088907,64526.3097310,22478.6120249,23536.9439133,27150.4717636,17171.4660642
-1.3634311,-1.3634311,-1.3782306,22526.6537953,13403.2491174,90750.8973955,1416.4395433,63158.6186753,21974.3726373,23076.3908069,26555.2935887,16795.0423350,22526.6537953,13403.2491174,90750.8973955,1400.9134401,63158.6186753,21974.3726373,23076.3908069,26555.2935887,16795.0423350
-1.3584311,-1.3584311,-1.3732306,21982.4666229,13047.4751475,88681.1045408,1377.2154851,61697.4406170,21431.0881156,22339.1570632,25913.7846340,16389.3164477,21982.4666229,13047.4751475,88681.1045408,1361.5744454,61697.4406170,21431.0881156,22339.1570632,25913.7846340,16389.3164477
-1.3534311,-1.3534311,-1.3682306,21437.7818027,12690.4375701,86628.3281715,1336.9553754,60247.6581212,20887.4995360,21611.7739947,25271.6890327,15983.2195325,21437.7818027,12690.4375701,86628.3281715,1321.3142761,60247.6581212,20887.4995360,21611.7739947,25271.6890327,15983.2195325
-1.3484311,-1.3484311,-1.3632306,20941.4680734,12363.9845837,84780.0207664,1299.2317529,58941.5373144,20392.3991482,20939.1805045,24686.6151503,15613.1863190,20941.4680734,12363.9845837,84780.0207664,1283.5906535,58941.5373144,20392.3991482,20939.1805045,24686.6151503,15613.1863190
-1.3434311,-1.3434311,-1.3582306,20554.9432643,12108.1340618,83099.4337261,1268.3758637,57945.5431897,20007.1161253,20378.1556791,24230.9647071,15325.0076755,20554.9432643,12108.1340618,83099.4337261,1252.7347651,57945.5431897,20007.1161253,20378.1556791,24230.9647071,15325.0076755
-1.3384311,-1.3384311,-1.3532306,20356.9748370,11859.6486428,81330.4999322,1249.9221939,57473.5053863,19810.3181677,20001.3948356,23997.5918433,15177.4097168,20356.9748370,11859.6486428,81330.4999322,1234.2811485,57473.5053863,19810.3181677,20001.3948356,23997.5918433,15177.4097168
-1.3334311,-1.3334311,-1.3482306,20125.2186402,11443.0023180,79495.5741890,1250.8105746,56531.9576460,19629.5648238,19748.0565110,23724.3886457,15004.6208431,20125.2186402,11443.0023180,79495.5741890,1235.5481333,56531.9576460,19629.5648238,19748.0565110,23724.3886457,15004.6208431
-1.3284311,-1.3284311,-1.3432306,20052.2092441,11285.4856736,79243.6985603,1249.1746338,56351.9496483,19390.6750855,19675.6906901,23638.3223367,14950.1877298,20052.2092441,11285.4856736,79243.6985603,1233.7344441,56351.9496483,19390.6750855,19675.6906901,23638.3223367,14950.1877298
-1.3234311,-1.3234311,-1.3382306,20561.3377264,11498.1950056,81261.1879118,1281.7430193,57772.3342059,19721.7033835,20185.7606676,24238.5027472,15329.7751507,20561.3377264,11498.1950056,81261.1879118,1266.8648354,57772.3342059,19721.7033835,20185.7606676,24238.5027472,15329.7751507
-1.3184311,-1.3184311,-1.3332306,21218.9803191,11649.3883778,86021.6604010,1356.5991387,59182.7076856,20194.7717707,21535.3304970,25013.7573537,15820.0892153,21218.9803191,11649.3883778,86021.6604010,1341.0125388,59182.7076856,20194.7717707,21535.3304970,25013.7573537,15820.0892153
-1.3134311,-1.3134311,-1.3282306,19472.3795539,10719.5126616,78645.4428666,1051.1583352,55504.2333490,18638.7439666,18760.3100127,22954.7965989,14517.8880957,19472.3795539,10719.5126616,78645.4428666,1035.5209140,55504.2333490,18638.7439666,18760.3100127,22954.7965989,14517.8880957
-1.3084311,-1.3084311,-1.3232306,14576.8296018,8055.3427861,60915.8749216,788.8642041,42767.0228753,14387.8193977,14295.0292616,17183.7323548,10867.9465888,14576.8296018,8055.3427861,60915.8749216,773.2241337,42767.0228753,14387.8193977,14295.0292616,17183.7323548,10867.9465888
-1.3034311,-1.3034311,-1.3182306,11175.8884767,6022.3979485,46771.9112650,606.7842685,32701.8461145,11062.9191614,11120.4874467,13174.5709910,8332.3303054,11175.8884767,6022.3979485,46771.9112650,591.1439906,32701.8461145,11062.9191614,11120.4874467,13174.5709910,8332.3303054
-1.2984311,-1.2984311,-1.3132306,8795.3407324,4524.6875189,36772.4394264,478.6022172,25672.3103754,8675.7085605,8838.8625082,10368.2889382,6557.4816967,8795.3407324,4524.6875189,36772.4394264,462.9622321,25672.3103754,8675.7085605,8838.8625082,10368.2889382,6557.4816967
-1.2934311,-1.2934311,-1.3082306,7116.0794792,3399.3722905,29737.9561549,387.6262321,20725.2559721,6990.9821881,7193.9898614,8388.7106131,5305.4864339,7116.0794792,3399.3722905,29737.9561549,371.9870261,20725.2559721,6990.9821881,7193.9898614,8388.7106131,5305.4864339
-1.2884311,-1.2884311,-1.3032306,5933.5029506,2585.2098932,24797.2794647,323.1707688,17249.4224916,5804.0513805,5923.4893957,6994.6435140,4423.8009851,5933.5029506,2585.2098932,24797.2794647,307.5330393,17249.4224916,5804.0513805,5923.4893957,6994.6435140,4423.8009851
-1.2834311,-1.2834311,-1.2982306,5115.9692869,2008.3285361,21389.8296252,278.3702579,14851.4643734,4983.2038703,5020.9296953,6030.9031088,3814.2780343,5115.9692869,2008.3285361,21389.8296252,262.7348204,14851.4643734,4983.2038703,5020.9296953,6030.9031088,3814.2780343
