# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.5652449,-1.5652449,-1.5776404,2301.8134298,1415.1280260,10282.1137912,97.7616808,7193.6247807,2300.6124677,2303.0143918,2713.4669876,1731.7883066,2301.8134298,1399.4869267,10282.1137912,82.2100765,7193.6247807,2300.6124677,2303.0143918,2713.4669876,1716.1472073
-1.5602449,-1.5602449,-1.5726404,2336.2998074,1436.5557461,10431.0332427,99.4684330,7297.9889586,2335.0867772,2337.5128375,2754.1208677,1757.5000780,2336.2998074,1420.9146467,10431.0332427,83.9064163,7297.9889586,2335.0867772,2337.5128375,2754.1208677,1741.8589786
-1.5552449,-1.5552449,-1.5676404,2433.5988138,1497.0564619,10851.1336970,104.2794920,7592.4306037,2432.3736912,2434.8239363,2868.8207118,1830.0426146,2433.5988138,1481.4153626,10851.1336970,88.6936486,7592.4306037,2432.3736912,2434.8239363,2868.8207118,1814.4015296
-1.5502449,-1.5502449,-1.5626404,2594.3257456,1597.0179307,11545.0142055,112.2179533,8078.7734011,2593.0884961,2595.5629950,3058.2918557,1934.2336027,2594.3257456,1581.3768313,11545.0142055,96.6072610,8078.7734011,2593.0884961,2595.5629950,3058.2918557,1934.2336027
-1.5452449,-1.5452449,-1.5576404,2819.3778025,1737.0062244,12516.4571453,123.3277372,8759.6716096,2818.1283813,2820.6272237,3323.5919530,2102.0241169,2819.3778025,1721.3651251,12516.4571453,107.6996759,8759.6716096,2818.1283813,2820.6272237,3323.5919530,2102.0241169
-1.5402449,-1.5402449,-1.5526404,3109.7669062,1902.0202134,13769.7112580,137.6684200,9638.1073624,3108.5052579,3111.0285545,3665.9138963,2318.5275237,3109.7669062,1902.0202134,13769.7112580,122.0315869,9638.1073624,3108.5052579,3111.0285545,3665.9138963,2318.5275237
-1.5352449,-1.5352449,-1.5476404,3466.3893161,2123.9120577,15308.5037882,155.3000741,10716.6980182,3465.1153750,3467.6632571,4086.3142310,2584.4120410,3466.3893161,2123.9120577,15308.5037882,139.6600070,10716.6980182,3465.1153750,3467.6632571,4086.3142310,2584.4120410
-1.5302449,-1.5302449,-1.5426404,3889.7362243,2387.3598189,17134.7997815,176.2641550,11996.8262248,3888.4499144,3891.0225343,4585.3719935,2900.0438837,3889.7362243,2387.3598189,17134.7997815,160.6232333,11996.8262248,3888.4499144,3891.0225343,4585.3719935,2900.0438837
-1.5252449,-1.5252449,-1.5376404,4379.5531412,2692.2190434,19247.3421842,200.5641990,13477.6162747,4378.2543759,4380.8519065,5162.7871813,3265.2333135,4379.5531412,2692.2190434,19247.3421842,184.9231205,13477.6162747,4378.2543759,4380.8519065,5162.7871813,3265.2333135
-1.5202449,-1.5202449,-1.5326404,4934.4609361,3037.6448527,21640.0280577,228.1464147,15154.7955346,4933.1496189,4935.7722534,5816.9340219,3678.9521016,4934.4609361,3037.6448527,21640.0280577,212.5053170,15154.7955346,4933.1496189,4935.7722534,5816.9340219,3678.9521016
-1.5152449,-1.5152449,-1.5276404,5551.5577223,3421.8431085,24300.2033121,258.8795462,17019.4987197,5550.2337467,5552.8816979,6544.3916584,4139.0367082,5551.5577223,3421.8431085,24300.2033121,243.2384469,17019.4987197,5550.2337467,5552.8816979,6544.3916584,4139.0367082
-1.5102449,-1.5102449,-1.5226404,6226.0278829,3841.8259722,27206.9888229,292.5346934,19057.0941479,6224.6911330,6227.3646329,7339.4832550,4641.8967869,6226.0278829,3841.8259722,27206.9888229,276.8935941,19057.0941479,6224.6911330,6227.3646329,7339.4832550,4641.8967869
-1.5052449,-1.5052449,-1.5176404,6950.7916169,4293.1927040,30329.7810955,328.7669139,21246.1323501,6949.4419674,6952.1412665,8193.8628675,5182.2538993,6950.7916169,4293.1927040,30329.7810955,313.1258146,21246.1323501,6949.4419674,6952.1412665,8193.8628675,5182.2538993
-1.5002449,-1.5002449,-1.5126404,7716.2342442,4769.9602132,33627.0957173,367.1008153,23557.5350042,7714.8715611,7717.5969273,9096.1963377,5752.9396942,7716.2342442,4769.9602132,33627.0957173,351.4597159,23557.5350042,7714.8715611,7717.5969273,9096.1963377,5752.9396942
-1.4952449,-1.4952449,-1.5076404,8510.0577271,5264.4698880,37045.9355628,406.9224118,25954.1517788,8508.6818682,8511.4335860,10031.9862618,6344.7852086,8510.0577271,5264.4698880,37045.9355628,391.2813124,25954.1517788,8508.6818682,8511.4335860,10031.9862618,6344.7852086
-1.4902449,-1.4902449,-1.5026404,9317.2959171,5767.3966451,40521.8615707,447.4794254,28390.8097737,9315.9067324,9318.6851019,10983.5899633,6946.6322339,9317.2959171,5767.3966451,40521.8615707,431.8383261,28390.8097737,9315.9067324,9318.6851019,10983.5899633,6946.6322339
-1.4852449,-1.4852449,-1.4976404,10120.5286053,6267.8821317,43979.9162966,487.8918699,30814.9608803,10119.1259375,10121.9312730,11930.4718237,7545.4929047,10120.5286053,6267.8821317,43979.9162966,472.2507706,30814.9608803,10119.1259375,10121.9312730,11930.4718237,7545.4929047
