# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.8750412,0.8750412,0.8600000,-0.5509029,-0.5761229
0.8850412,0.8850412,0.8700000,-0.5283147,-0.5525406
0.8950412,0.8950412,0.8800000,-0.5068635,-0.5301460
0.9050412,0.9050412,0.8900000,-0.4864806,-0.5088672
0.9150412,0.9150412,0.9000000,-0.4671024,-0.4886374
0.9250412,0.9250412,0.9100000,-0.4486695,-0.4693946
0.9350412,0.9350412,0.9200000,-0.4311268,-0.4510810
0.9450412,0.9450412,0.9300000,-0.4144229,-0.4336427
0.9550412,0.9550412,0.9400000,-0.3985098,-0.4170296
0.9650412,0.9650412,0.9500000,-0.3833427,-0.4011949
0.9750412,0.9750412,0.9600000,-0.3688799,-0.3860948
0.9850412,0.9850412,0.9700000,-0.3550823,-0.3716887
0.9950412,0.9950412,0.9800000,-0.3419135,-0.3579382
1.0050412,1.0050412,0.9900000,-0.3293392,-0.3448078
1.0150412,1.0150412,1.0000000,-0.3173274,-0.3322640
1.0250412,1.0250412,1.0100000,-0.3058482,-0.3202754
1.0350412,1.0350412,1.0200000,-0.2948733,-0.3088128
1.0450412,1.0450412,1.0300000,-0.2843765,-0.2978486
1.0550412,1.0550412,1.0400000,-0.2743330,-0.2873569
1.0650412,1.0650412,1.0500000,-0.2647195,-0.2773134
1.0750412,1.0750412,1.0600000,-0.2555140,-0.2676954
1.0850412,1.0850412,1.0700000,-0.2466960,-0.2584814
1.0950412,1.0950412,1.0800000,-0.2382462,-0.2496511
1.1050412,1.1050412,1.0900000,-0.2301462,-0.2411856
1.1150412,1.1150412,1.1000000,-0.2223790,-0.2330669
1.1250412,1.1250412,1.1100000,-0.2149282,-0.2252782
1.1350412,1.1350412,1.1200000,-0.2077787,-0.2178035
1.1450412,1.1450412,1.1300000,-0.2009159,-0.2106279
1.1550412,1.1550412,1.1400000,-0.1943263,-0.2037371
1.1650412,1.1650412,1.1500000,-0.1879970,-0.1971176
1.1750412,1.1750412,1.1600000,-0.1819158,-0.1907569
1.1850412,1.1850412,1.1700000,-0.1760712,-0.1846430
1.1950412,1.1950412,1.1800000,-0.1704524,-0.1787645
1.2050412,1.2050412,1.1900000,-0.1650490,-0.1731107
1.2150412,1.2150412,1.2000000,-0.1598513,-0.1676714
1.2250412,1.2250412,1.2100000,-0.1548501,-0.1624370
1.2350412,1.2350412,1.2200000,-0.1500365,-0.1573985
1.2450412,1.2450412,1.2300000,-0.1454023,-0.1525471
