# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
-0.2029315,-0.2029315,-0.2009095,56619.2849715
-0.1929315,-0.1929315,-0.1909095,55028.6804923
-0.1829315,-0.1829315,-0.1809095,59993.0033309
-0.1729315,-0.1729315,-0.1709095,85558.3095745
-0.1629315,-0.1629315,-0.1609095,145640.5154441
-0.1529315,-0.1529315,-0.1509095,270347.1863387
-0.1429315,-0.1429315,-0.1409095,509734.0840859
-0.1329315,-0.1329315,-0.1309095,384107.3093664
-0.1229315,-0.1229315,-0.1209095,324479.0973965
-0.1129315,-0.1129315,-0.1109095,310455.3121869
-0.1029315,-0.1029315,-0.1009095,264549.5473140
-0.0929315,-0.0929315,-0.0909095,264304.2275618
-0.0829315,-0.0829315,-0.0809095,294789.5467477
-0.0729315,-0.0729315,-0.0709095,321547.6377303
-0.0629315,-0.0629315,-0.0609095,385544.8074612
-0.0529315,-0.0529315,-0.0509095,509961.5817033
-0.0429315,-0.0429315,-0.0409095,777245.3631688
-0.0329315,-0.0329315,-0.0309095,865154.8175039
-0.0229315,-0.0229315,-0.0209095,943104.2081255
-0.0129315,-0.0129315,-0.0109095,950517.0288561
-0.0029315,-0.0029315,-0.0009095,1081831.8321632
0.0070685,0.0070685,0.0090905,1233975.0020228
0.0170685,0.0170685,0.0190905,1303534.1328497
0.0270685,0.0270685,0.0290905,1226411.6665543
0.0370685,0.0370685,0.0390905,1125115.1750120
0.0470685,0.0470685,0.0490905,878670.7922028
0.0570685,0.0570685,0.0590905,913385.0449062
0.0670685,0.0670685,0.0690905,628934.5426326
0.0770685,0.0770685,0.0790905,433985.9649076
0.0870685,0.0870685,0.0890905,253600.3742453
0.0970685,0.0970685,0.0990905,132459.7530962
0.1070685,0.1070685,0.1090905,71158.0997515
0.1170685,0.1170685,0.1190905,39218.7760081
0.1270685,0.1270685,0.1290905,22117.6863425
0.1370685,0.1370685,0.1390905,12726.7544703
0.1470685,0.1470685,0.1490905,7448.3470845
0.1570685,0.1570685,0.1590905,4417.8814660
0.1670685,0.1670685,0.1690905,2644.4939430
0.1770685,0.1770685,0.1790905,1606.5362694
0.1870685,0.1870685,0.1890905,968.9744294
0.1970685,0.1970685,0.1990905,578.7675429
0.2070685,0.2070685,0.2090905,337.6915025
0.2170685,0.2170685,0.2190905,188.1325824
0.2270685,0.2270685,0.2290905,95.0952592
0.2370685,0.2370685,0.2390905,37.2796660
0.2470685,0.2470685,0.2490905,1.5807622
0.2570685,0.2570685,0.2590905,-20.1260625
0.2670685,0.2670685,0.2690905,-32.9323173
0.2770685,0.2770685,0.2790905,-40.0978592
0.2870685,0.2870685,0.2890905,-43.7997484
0.2970685,0.2970685,0.2990905,-45.5215891
0.3070685,0.3070685,0.3090905,-46.0378601
0.3170685,0.3170685,0.3190905,-45.5492418
0.3270685,0.3270685,0.3290905,-44.1787951
0.3370685,0.3370685,0.3390905,-42.1557712
0.3470685,0.3470685,0.3490905,-39.7296788
0.3570685,0.3570685,0.3590905,-37.1048703
0.3670685,0.3670685,0.3690905,-34.4277585
0.3770685,0.3770685,0.3790905,-31.7952453
0.3870685,0.3870685,0.3890905,-29.2672632
0.3970685,0.3970685,0.3990905,-26.8778425
0.4070685,0.4070685,0.4090905,-24.6435633
0.4170685,0.4170685,0.4190905,-22.5696243
0.4270685,0.4270685,0.4290905,-20.6540540
0.4370685,0.4370685,0.4390905,-18.8905698
0.4470685,0.4470685,0.4490905,-17.2704817
0.4570685,0.4570685,0.4590905,-15.7839371
0.4670685,0.4670685,0.4690905,-14.4207166
0.4770685,0.4770685,0.4790905,-13.1707277
0.4870685,0.4870685,0.4890905,-12.0242987
0.4970685,0.4970685,0.4990905,-10.9723397
0.5070685,0.5070685,0.5090905,-10.0064191
0.5170685,0.5170685,0.5190905,-9.1187869
0.5270685,0.5270685,0.5290905,-8.3023630
0.5370685,0.5370685,0.5390905,-7.5507082
0.5470685,0.5470685,0.5490905,-6.8579825
0.5570685,0.5570685,0.5590905,-6.2189001
0.5670685,0.5670685,0.5690905,-5.6286825
0.5770685,0.5770685,0.5790905,-5.0830295
0.5870685,0.5870685,0.5890905,-4.5809861
0.5970685,0.5970685,0.5990905,-4.2084916
0.6070685,0.6070685,0.6090905,-4.5738776
0.6170685,0.6170685,0.6190905,-6.1347270
0.6270685,0.6270685,0.6290905,-7.8851451
0.6370685,0.6370685,0.6390905,-9.2518462
0.6470685,0.6470685,0.6490905,-10.2354412
0.6570685,0.6570685,0.6590905,-10.8685992
0.6670685,0.6670685,0.6690905,-11.1562912
0.6770685,0.6770685,0.6790905,-11.1320377
0.6870685,0.6870685,0.6890905,-10.8589450
0.6970685,0.6970685,0.6990905,-10.4096214
0.7070685,0.7070685,0.7090905,-9.8503462
0.7170685,0.7170685,0.7190905,-9.2337416
0.7270685,0.7270685,0.7290905,-8.5978564
0.7370685,0.7370685,0.7390905,-7.9683311
0.7470685,0.7470685,0.7490905,-7.3613564
0.7570685,0.7570685,0.7590905,-6.7863739
0.7670685,0.7670685,0.7690905,-6.2482046
0.7770685,0.7770685,0.7790905,-5.7486106
0.7870685,0.7870685,0.7890905,-5.2873959
0.7970685,0.7970685,0.7990905,-4.8631647
0.8070685,0.8070685,0.8090905,-4.4738339
0.8170685,0.8170685,0.8190905,-4.1169727
0.8270685,0.8270685,0.8290905,-3.7900252
0.8370685,0.8370685,0.8390905,-3.4904502
0.8470685,0.8470685,0.8490905,-3.2158070
0.8570685,0.8570685,0.8590905,-2.9638462
0.8670685,0.8670685,0.8690905,-2.7355106
0.8770685,0.8770685,0.8790905,-2.5812914
0.8870685,0.8870685,0.8890905,-2.7634791
0.8970685,0.8970685,0.8990905,-3.5595677
0.9070685,0.9070685,0.9090905,-4.6408799
0.9170685,0.9170685,0.9190905,-5.5680093
0.9270685,0.9270685,0.9290905,-6.2111853
0.9370685,0.9370685,0.9390905,-6.5751151
0.9470685,0.9470685,0.9490905,-6.6899623
0.9570685,0.9570685,0.9590905,-6.5994584
0.9670685,0.9670685,0.9690905,-6.3571973
0.9770685,0.9770685,0.9790905,-6.0165400
0.9870685,0.9870685,0.9890905,-5.6225140
0.9970685,0.9970685,0.9990905,-5.2088690
1.0070685,1.0070685,1.0090905,-4.7986868
1.0170685,1.0170685,1.0190905,-4.4064387
1.0270685,1.0270685,1.0290905,-4.0402486
1.0370685,1.0370685,1.0390905,-3.7038499
1.0470685,1.0470685,1.0490905,-3.3981049
1.0570685,1.0570685,1.0590905,-3.1221123
1.0670685,1.0670685,1.0690905,-2.8739768
1.0770685,1.0770685,1.0790905,-2.6513221
1.0870685,1.0870685,1.0890905,-2.4516183
1.0970685,1.0970685,1.0990905,-2.2723784
1.1070685,1.1070685,1.1090905,-2.1112684
1.1170685,1.1170685,1.1190905,-1.9661610
1.1270685,1.1270685,1.1290905,-1.8351529
1.1370685,1.1370685,1.1390905,-1.7165632
1.1470685,1.1470685,1.1490905,-1.6089186
1.1570685,1.1570685,1.1590905,-1.5109351
1.1670685,1.1670685,1.1690905,-1.4214962
1.1770685,1.1770685,1.1790905,-1.3396325
1.1870685,1.1870685,1.1890905,-1.2645027
1.1970685,1.1970685,1.1990905,-1.1953753
1.2070685,1.2070685,1.2090905,-1.1316140
1.2170685,1.2170685,1.2190905,-1.0726641
1.2270685,1.2270685,1.2290905,-1.0180406
1.2370685,1.2370685,1.2390905,-0.9673186
1.2470685,1.2470685,1.2490905,-0.9201250
1.2570685,1.2570685,1.2590905,-0.8761310
1.2670685,1.2670685,1.2690905,-0.8350459
1.2770685,1.2770685,1.2790905,-0.7966124
1.2870685,1.2870685,1.2890905,-0.7606018
1.2970685,1.2970685,1.2990905,-0.7268102
1.3070685,1.3070685,1.3090905,-0.6950556
1.3170685,1.3170685,1.3190905,-0.6651746
1.3270685,1.3270685,1.3290905,-0.6370208
1.3370685,1.3370685,1.3390905,-0.6104621
1.3470685,1.3470685,1.3490905,-0.5853793
1.3570685,1.3570685,1.3590905,-0.5616644
1.3670685,1.3670685,1.3690905,-0.5392197
1.3770685,1.3770685,1.3790905,-0.5179561
1.3870685,1.3870685,1.3890905,-0.4977927
1.3970685,1.3970685,1.3990905,-0.4786552
1.4070685,1.4070685,1.4090905,-0.4604762
1.4170685,1.4170685,1.4190905,-0.4431934
1.4270685,1.4270685,1.4290905,-0.4267500
1.4370685,1.4370685,1.4390905,-0.4110936
1.4470685,1.4470685,1.4490905,-0.3961758
1.4570685,1.4570685,1.4590905,-0.3819521
1.4670685,1.4670685,1.4690905,-0.3683813
1.4770685,1.4770685,1.4790905,-0.3554253
1.4870685,1.4870685,1.4890905,-0.3430489
1.4970685,1.4970685,1.4990905,-0.3312191
1.5070685,1.5070685,1.5090905,-0.3199056
1.5170685,1.5170685,1.5190905,-0.3090799
1.5270685,1.5270685,1.5290905,-0.2987157
1.5370685,1.5370685,1.5390905,-0.2887882
1.5470685,1.5470685,1.5490905,-0.2792746
1.5570685,1.5570685,1.5590905,-0.2701532
1.5670685,1.5670685,1.5690905,-0.2614040
1.5770685,1.5770685,1.5790905,-0.2530080
1.5870685,1.5870685,1.5890905,-0.2449476
1.5970685,1.5970685,1.5990905,-0.2372062
