# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
2.0100000,1.2600000,1.2225516,-0.1156299
2.0200000,1.2700000,1.2325516,-0.1114981
2.0300000,1.2800000,1.2425516,-0.1075444
2.0400000,1.2900000,1.2525516,-0.1037599
2.0500000,1.3000000,1.2625516,-0.1001359
2.0600000,1.3100000,1.2725516,-0.0966645
2.0700000,1.3200000,1.2825516,-0.0933381
2.0800000,1.3300000,1.2925516,-0.0901495
2.0900000,1.3400000,1.3025516,-0.0870922
2.1000000,1.3500000,1.3125516,-0.0841596
2.1100000,1.3600000,1.3225516,-0.0813459
2.1200000,1.3700000,1.3325516,-0.0786453
2.1300000,1.3800000,1.3425516,-0.0760525
2.1400000,1.3900000,1.3525516,-0.0735625
2.1500000,1.4000000,1.3625516,-0.0711705
2.1600000,1.4100000,1.3725516,-0.0688719
2.1700000,1.4200000,1.3825516,-0.0666625
2.1800000,1.4300000,1.3925516,-0.0645382
2.1900000,1.4400000,1.4025516,-0.0624952
2.2000000,1.4500000,1.4125516,-0.0605297
2.2100000,1.4600000,1.4225516,-0.0586384
2.2200000,1.4700000,1.4325516,-0.0568180
2.2300000,1.4800000,1.4425516,-0.0550654
2.2400000,1.4900000,1.4525516,-0.0533775
2.2500000,1.5000000,1.4625516,-0.0517517
2.2600000,1.5100000,1.4725516,-0.0501851
2.2700000,1.5200000,1.4825516,-0.0486754
2.2800000,1.5300000,1.4925516,-0.0472201
2.2900000,1.5400000,1.5025516,-0.0458168
2.3000000,1.5500000,1.5125516,-0.0444634
2.3100000,1.5600000,1.5225516,-0.0431579
2.3200000,1.5700000,1.5325516,-0.0418982
2.3300000,1.5800000,1.5425516,-0.0406825
2.3400000,1.5900000,1.5525516,-0.0395090
