# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm]
0.8750000,0.1250000,0.1111774,1538.6827460,-4.9663266
0.8800000,0.1300000,0.1161774,1240.7094688,-4.9842206
0.8850000,0.1350000,0.1211774,1001.2107152,-5.0011626
0.8900000,0.1400000,0.1261774,808.7041249,-5.0171111
0.8950000,0.1450000,0.1311774,653.9233918,-5.0344631
0.9000000,0.1500000,0.1361774,528.2892622,-5.1448903
0.9050000,0.1550000,0.1411774,423.6065998,-5.2850967
0.9100000,0.1600000,0.1461774,339.1054292,-5.3109190
0.9150000,0.1650000,0.1511774,271.8313881,-5.3191253
0.9200000,0.1700000,0.1561774,218.2704669,-5.3238468
0.9250000,0.1750000,0.1611774,175.5714793,-5.3268507
0.9300000,0.1800000,0.1661774,141.4860349,-5.3283980
0.9350000,0.1850000,0.1711774,114.2433486,-5.3281793
0.9400000,0.1900000,0.1761774,92.4456325,-5.3249077
0.9450000,0.1950000,0.1811774,74.9854638,-5.3154860
0.9500000,0.2000000,0.1861774,60.9810790,-5.2941942
0.9550000,0.2050000,0.1911774,49.7251843,-5.2520458
0.9600000,0.2100000,0.1961774,40.6431816,-5.1767938
0.9650000,0.2150000,0.2011774,33.2617493,-5.0567922
0.9700000,0.2200000,0.2061774,27.1958485,-4.8918920
0.9750000,0.2250000,0.2111774,22.1525499,-4.7017535
0.9800000,0.2300000,0.2161774,17.9270495,-4.5155371
0.9850000,0.2350000,0.2211774,14.3753411,-4.3527824
0.9900000,0.2400000,0.2261774,11.3825618,-4.2179928
0.9950000,0.2450000,0.2311774,8.8492093,-4.1080157
1.0000000,0.2500000,0.2361774,6.6940821,-4.0190897
1.0050000,0.2550000,0.2411774,4.8584175,-3.9481342
1.0100000,0.2600000,0.2461774,3.3011102,-3.8909708
1.0150000,0.2650000,0.2511774,1.9888683,-3.8415510
1.0200000,0.2700000,0.2561774,0.8896281,-3.7930265
1.0250000,0.2750000,0.2611774,-0.0287274,-3.7390659
1.0300000,0.2800000,0.2661774,-0.7972599,-3.6743853
1.0350000,0.2850000,0.2711774,-1.4445245,-3.5951316
1.0400000,0.2900000,0.2761774,-1.9947542,-3.5000210
1.0450000,0.2950000,0.2811774,-2.4661378,-3.3914778
1.0500000,0.3000000,0.2861774,-2.8707626,-3.2751439
1.0550000,0.3050000,0.2911774,-3.2165770,-3.1577985
1.0600000,0.3100000,0.2961774,-3.5096486,-3.0453948
1.0650000,0.3150000,0.3011774,-3.7550703,-2.9422733
1.0700000,0.3200000,0.3061774,-3.9566983,-2.8511810
1.0750000,0.3250000,0.3111774,-4.1169452,-2.7734525
1.0800000,0.3300000,0.3161774,-4.2372766,-2.7091882
1.0850000,0.3350000,0.3211774,-4.3191062,-2.6575262
1.0900000,0.3400000,0.3261774,-4.3645083,-2.6170073
1.0950000,0.3450000,0.3311774,-4.3764696,-2.5859277
1.1000000,0.3500000,0.3361774,-4.3587481,-2.5625939
1.1050000,0.3550000,0.3411774,-4.3155427,-2.5454634
1.1100000,0.3600000,0.3461774,-4.2511454,-2.5331987
1.1150000,0.3650000,0.3511774,-4.1696678,-2.5246725
1.1200000,0.3700000,0.3561774,-4.0748701,-2.5189530
1.1250000,0.3750000,0.3611774,-3.9700807,-2.5152848
1.1300000,0.3800000,0.3661774,-3.8581807,-2.5130707
1.1350000,0.3850000,0.3711774,-3.7416261,-2.5118522
1.1400000,0.3900000,0.3761774,-3.6224838,-2.5112870
1.1450000,0.3950000,0.3811774,-3.5024692,-2.5111211
1.1500000,0.4000000,0.3861774,-3.3829807,-2.5111616
1.1550000,0.4050000,0.3911774,-3.2651340,-2.5112556
1.1600000,0.4100000,0.3961774,-3.1498029,-2.5112844
1.1650000,0.4150000,0.4011774,-3.0376677,-2.5111723
1.1700000,0.4200000,0.4061774,-2.9292667,-2.5109023
1.1750000,0.4250000,0.4111774,-2.8250374,-2.5105207
1.1800000,0.4300000,0.4161774,-2.7253324,-2.5101172
1.1850000,0.4350000,0.4211774,-2.6304055,-2.5097767
1.1900000,0.4400000,0.4261774,-2.5403745,-2.5095215
1.1950000,0.4450000,0.4311774,-2.4551825,-2.5092691
1.2000000,0.4500000,0.4361774,-2.3745916,-2.5088378
1.2050000,0.4550000,0.4411774,-2.2982431,-2.5080143
1.2100000,0.4600000,0.4461774,-2.2257890,-2.5066638
1.2150000,0.4650000,0.4511774,-2.1570569,-2.5048378
1.2200000,0.4700000,0.4561774,-2.0921751,-2.5028258
1.2250000,0.4750000,0.4611774,-2.0315968,-2.5011118
1.2300000,0.4800000,0.4661774,-1.9760011,-2.5002385
1.2350000,0.4850000,0.4711774,-1.9260777,-2.5006111
1.2400000,0.4900000,0.4761774,-1.8822321,-2.5022961
1.2450000,0.4950000,0.4811774,-1.8443181,-2.5049074
1.2500000,0.5000000,0.4861774,-1.8115257,-2.5076506
1.2550000,0.5050000,0.4911774,-1.7824812,-2.5095094
1.2600000,0.5100000,0.4961774,-1.7555368,-2.5094997
1.2650000,0.5150000,0.5011774,-1.7291716,-2.5069037
1.2700000,0.5200000,0.5061774,-1.7023428,-2.5013988
1.2750000,0.5250000,0.5111774,-1.6745895,-2.4930228
1.2800000,0.5300000,0.5161774,-1.6458473,-2.4820224
1.2850000,0.5350000,0.5211774,-1.6161537,-2.4686934
1.2900000,0.5400000,0.5261774,-1.5854496,-2.4532940
1.2950000,0.5450000,0.5311774,-1.5535459,-2.4360326
1.3000000,0.5500000,0.5361774,-1.5202003,-2.4170933
1.3050000,0.5550000,0.5411774,-1.4852212,-2.3966640
1.3100000,0.5600000,0.5461774,-1.4485446,-2.3749525
1.3150000,0.5650000,0.5511774,-1.4102609,-2.3521867
1.3200000,0.5700000,0.5561774,-1.3705994,-2.3286041
1.3250000,0.5750000,0.5611774,-1.3298871,-2.3044375
1.3300000,0.5800000,0.5661774,-1.2884999,-2.2799023
1.3350000,0.5850000,0.5711774,-1.2468204,-2.2551873
1.3400000,0.5900000,0.5761774,-1.2052067,-2.2304512
1.3450000,0.5950000,0.5811774,-1.1639732,-2.2058217
1.3500000,0.6000000,0.5861774,-1.1233828,-2.1813978
1.3550000,0.6050000,0.5911774,-1.0836448,-2.1572534
1.3600000,0.6100000,0.5961774,-1.0449192,-2.1334414
1.3650000,0.6150000,0.6011774,-1.0073216,-2.1099973
1.3700000,0.6200000,0.6061774,-0.9709305,-2.0869435
1.3750000,0.6250000,0.6111774,-0.9357935,-2.0642916
1.3800000,0.6300000,0.6161774,-0.9019338,-2.0420456
1.3850000,0.6350000,0.6211774,-0.8693552,-2.0202036
1.3900000,0.6400000,0.6261774,-0.8380469,-1.9987596
1.3950000,0.6450000,0.6311774,-0.8079869,-1.9777049
1.4000000,0.6500000,0.6361774,-0.7791452,-1.9570287
1.4050000,0.6550000,0.6411774,-0.7514862,-1.9367193
1.4100000,0.6600000,0.6461774,-0.7249705,-1.9167640
1.4150000,0.6650000,0.6511774,-0.6995563,-1.8971503
1.4200000,0.6700000,0.6561774,-0.6752006,-1.8778656
1.4250000,0.6750000,0.6611774,-0.6518599,-1.8588973
1.4300000,0.6800000,0.6661774,-0.6294909,-1.8402336
1.4350000,0.6850000,0.6711774,-0.6080513,-1.8218631
1.4400000,0.6900000,0.6761774,-0.5874994,-1.8037746
1.4450000,0.6950000,0.6811774,-0.5677950,-1.7859579
1.4500000,0.7000000,0.6861774,-0.5488993,-1.7684030
1.4550000,0.7050000,0.6911774,-0.5307750,-1.7511008
1.4600000,0.7100000,0.6961774,-0.5133861,-1.7340425
1.4650000,0.7150000,0.7011774,-0.4966986,-1.7172198
1.4700000,0.7200000,0.7061774,-0.4806796,-1.7006252
1.4750000,0.7250000,0.7111774,-0.4652983,-1.6842512
1.4800000,0.7300000,0.7161774,-0.4505248,-1.6680912
1.4850000,0.7350000,0.7211774,-0.4363310,-1.6521387
1.4900000,0.7400000,0.7261774,-0.4226902,-1.6363878
1.4950000,0.7450000,0.7311774,-0.4095770,-1.6208329
1.5000000,0.7500000,0.7361774,-0.3969672,-1.6054685
1.5050000,0.7550000,0.7411774,-0.3848378,-1.5902898
1.5100000,0.7600000,0.7461774,-0.3731672,-1.5752921
1.5150000,0.7650000,0.7511774,-0.3619347,-1.5604709
1.5200000,0.7700000,0.7561774,-0.3511208,-1.5458220
1.5250000,0.7750000,0.7611774,-0.3407067,-1.5313415
1.5300000,0.7800000,0.7661774,-0.3306749,-1.5170257
1.5350000,0.7850000,0.7711774,-0.3210086,-1.5028710
1.5400000,0.7900000,0.7761774,-0.3116919,-1.4888740
1.5450000,0.7950000,0.7811774,-0.3027096,-1.4750316
1.5500000,0.8000000,0.7861774,-0.2940475,-1.4613406
1.5550000,0.8050000,0.7911774,-0.2856918,-1.4477983
1.5600000,0.8100000,0.7961774,-0.2776295,-1.4344019
1.5650000,0.8150000,0.8011774,-0.2698484,-1.4211486
1.5700000,0.8200000,0.8061774,-0.2623367,-1.4080361
1.5750000,0.8250000,0.8111774,-0.2550831,-1.3950618
1.5800000,0.8300000,0.8161774,-0.2480772,-1.3822235
1.5850000,0.8350000,0.8211774,-0.2413087,-1.3695189
1.5900000,0.8400000,0.8261774,-0.2347681,-1.3569460
1.5950000,0.8450000,0.8311774,-0.2284461,-1.3445025
1.6000000,0.8500000,0.8361774,-0.2223340,-1.3321867
