# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol],UMincline3(d)[kj/mol]
-0.1324838,-0.1324838,-0.0000000,79323.5482776,79323.5482776
-0.1224838,-0.1224838,0.0100000,68864.8828775,68864.8828775
-0.1124838,-0.1124838,0.0200000,55858.8612126,55858.8612126
-0.1024838,-0.1024838,0.0300000,52107.4180654,52107.4180654
-0.0924838,-0.0924838,0.0400000,46374.1122710,46374.1122710
-0.0824838,-0.0824838,0.0500000,42589.1289928,42589.1289928
-0.0724838,-0.0724838,0.0600000,41609.1315153,41609.1315153
-0.0624838,-0.0624838,0.0700000,37647.2875075,37647.2875075
-0.0524838,-0.0524838,0.0800000,27564.1976994,27564.1976994
-0.0424838,-0.0424838,0.0900000,21931.1401138,21931.1401138
-0.0324838,-0.0324838,0.1000000,18993.4950620,18993.4950620
-0.0224838,-0.0224838,0.1100000,17855.8906290,17855.8906290
-0.0124838,-0.0124838,0.1200000,18127.0410569,18127.0410569
-0.0024838,-0.0024838,0.1300000,19683.6504915,19683.6504915
0.0075162,0.0075162,0.1400000,18945.9453164,18945.9453164
0.0175162,0.0175162,0.1500000,13379.0057013,13379.0057013
0.0275162,0.0275162,0.1600000,9382.9742944,9382.9742944
0.0375162,0.0375162,0.1700000,6473.3298450,6473.3298450
0.0475162,0.0475162,0.1800000,4503.9003548,4503.9003548
0.0575162,0.0575162,0.1900000,3145.9278936,3145.9278936
0.0675162,0.0675162,0.2000000,2197.8362901,2197.8362901
0.0775162,0.0775162,0.2100000,1423.3168671,1404.3911491
0.0875162,0.0875162,0.2200000,884.6584077,865.7325604
0.0975162,0.0975162,0.2300000,553.9892037,535.0634738
0.1075162,0.1075162,0.2400000,347.8258922,328.9022607
0.1175162,0.1175162,0.2500000,217.6169922,198.7085377
0.1275162,0.1275162,0.2600000,134.5307190,115.6857575
0.1375162,0.1375162,0.2700000,81.0906541,62.4216215
0.1475162,0.1475162,0.2800000,46.5305092,28.1959756
0.1575162,0.1575162,0.2900000,24.1373727,6.2963946
0.1675162,0.1675162,0.3000000,9.6018387,-7.5461370
0.1775162,0.1775162,0.3100000,0.0615403,-16.0852741
0.1875162,0.1875162,0.3200000,-6.3035776,-21.1195614
0.1975162,0.1975162,0.3300000,-10.5579483,-23.8364120
0.2075162,0.2075162,0.3400000,-13.4056775,-25.0267579
0.2175162,0.2175162,0.3500000,-15.3349910,-25.2210805
0.2275162,0.2275162,0.3600000,-16.5799044,-24.7768726
0.2375162,0.2375162,0.3700000,-17.2256772,-24.1359362
0.2475162,0.2475162,0.3800000,-17.3650611,-24.2554253
0.2575162,0.2575162,0.3900000,-17.1286682,-23.7952726
0.2675162,0.2675162,0.4000000,-16.6535523,-22.9861539
0.2775162,0.2775162,0.4100000,-16.0633572,-22.0808009
0.2875162,0.2875162,0.4200000,-15.4530459,-21.0364410
0.2975162,0.2975162,0.4300000,-14.8645650,-20.0547082
0.3075162,0.3075162,0.4400000,-14.2882373,-19.1799875
0.3175162,0.3175162,0.4500000,-13.7082924,-18.5105385
0.3275162,0.3275162,0.4600000,-13.1333919,-17.7667546
0.3375162,0.3375162,0.4700000,-12.5853856,-16.9104516
0.3475162,0.3475162,0.4800000,-12.0788371,-16.1641806
0.3575162,0.3575162,0.4900000,-11.6135770,-15.3403501
0.3675162,0.3675162,0.5000000,-11.1828484,-14.9395657
0.3775162,0.3775162,0.5100000,-10.7798873,-14.7746686
0.3875162,0.3875162,0.5200000,-10.3961448,-14.4335992
0.3975162,0.3975162,0.5300000,-10.0243165,-14.3565002
0.4075162,0.4075162,0.5400000,-9.6647083,-14.0646358
0.4175162,0.4175162,0.5500000,-9.3222177,-13.7214945
0.4275162,0.4275162,0.5600000,-8.9980274,-13.2228648
0.4375162,0.4375162,0.5700000,-8.6877604,-12.6886957
0.4475162,0.4475162,0.5800000,-8.3824021,-12.1425839
0.4575162,0.4575162,0.5900000,-8.0707811,-11.8128854
0.4675162,0.4675162,0.6000000,-7.7452710,-11.6143108
0.4775162,0.4775162,0.6100000,-7.4048141,-11.2172395
0.4875162,0.4875162,0.6200000,-7.0532299,-10.7986114
0.4975162,0.4975162,0.6300000,-6.6969400,-10.2915286
0.5075162,0.5075162,0.6400000,-6.3421835,-9.7335930
0.5175162,0.5175162,0.6500000,-5.9919405,-9.1947535
0.5275162,0.5275162,0.6600000,-5.6468856,-8.6871974
0.5375162,0.5375162,0.6700000,-5.3087852,-8.1699571
0.5475162,0.5475162,0.6800000,-4.9812837,-7.7128299
0.5575162,0.5575162,0.6900000,-4.6684034,-7.2576788
0.5675162,0.5675162,0.7000000,-4.3731771,-6.8451370
0.5775162,0.5775162,0.7100000,-4.0972134,-6.4466679
0.5875162,0.5875162,0.7200000,-3.8408789,-6.0724518
0.5975162,0.5975162,0.7300000,-3.6036775,-5.7005361
0.6075162,0.6075162,0.7400000,-3.3846027,-5.3372334
0.6175162,0.6175162,0.7500000,-3.1823968,-4.9888475
0.6275162,0.6275162,0.7600000,-2.9957185,-4.6590698
0.6375162,0.6375162,0.7700000,-2.8232414,-4.3500341
0.6475162,0.6475162,0.7800000,-2.6637073,-4.0623382
0.6575162,0.6575162,0.7900000,-2.5159519,-3.7956501
0.6675162,0.6675162,0.8000000,-2.3789125,-3.5490966
0.6775162,0.6775162,0.8100000,-2.2516277,-3.3215123
0.6875162,0.6875162,0.8200000,-2.1332318,-3.1115968
0.6975162,0.6975162,0.8300000,-2.0229470,-2.9180134
0.7075162,0.7075162,0.8400000,-1.9200751,-2.7394492
0.7175162,0.7175162,0.8500000,-1.8239891,-2.5746496
0.7275162,0.7275162,0.8600000,-1.7341257,-2.4226047
0.7375162,0.7375162,0.8700000,-1.6499779,-2.2820875
0.7475162,0.7475162,0.8800000,-1.5710885,-2.1520367
0.7575162,0.7575162,0.8900000,-1.4970451,-2.0315388
0.7675162,0.7675162,0.9000000,-1.4274743,-1.9197625
0.7775162,0.7775162,0.9100000,-1.3620380,-1.8159534
0.7875162,0.7875162,0.9200000,-1.3004289,-1.7194275
0.7975162,0.7975162,0.9300000,-1.2423678,-1.6295660
0.8075162,0.8075162,0.9400000,-1.1876001,-1.5458085
0.8175162,0.8175162,0.9500000,-1.1358935,-1.4676481
0.8275162,0.8275162,0.9600000,-1.0870357,-1.3946258
0.8375162,0.8375162,0.9700000,-1.0408319,-1.3263258
0.8475162,0.8475162,0.9800000,-0.9971039,-1.2623714
0.8575162,0.8575162,0.9900000,-0.9556876,-1.2024890
0.8675162,0.8675162,1.0000000,-0.9164324,-1.1463323
0.8775162,0.8775162,1.0100000,-0.8791993,-1.0935775
0.8875162,0.8875162,1.0200000,-0.8438602,-1.0439683
0.8975162,0.8975162,1.0300000,-0.8102967,-0.9972711
0.9075162,0.9075162,1.0400000,-0.7783993,-0.9532730
0.9175162,0.9175162,1.0500000,-0.7480668,-0.9117797
0.9275162,0.9275162,1.0600000,-0.7192052,-0.8726133
0.9375162,0.9375162,1.0700000,-0.6917273,-0.8356111
0.9475162,0.9475162,1.0800000,-0.6655522,-0.8006380
