# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
-0.5891667,-0.5891667,-0.6075881,5998.2472196,3524.0269335,28820.6156583,154.8265895,20082.7780717,5998.2472196,5998.2472196,7070.9665706,4472.0719244
-0.5841667,-0.5841667,-0.6025881,6078.1206101,3572.2758401,29188.4078485,158.0103908,20339.5706961,6078.1206101,6078.1206101,7165.1244226,4531.6225788
-0.5791667,-0.5791667,-0.5975881,6333.2878444,3726.4259577,30363.2296798,168.1012441,21159.8364497,6333.2878444,6333.2878444,7465.9254595,4721.8658586
-0.5741667,-0.5741667,-0.5925881,6765.5235295,3987.5667117,32353.0418125,185.1790225,22549.1404556,6765.5235295,6765.5235295,7975.4616571,5044.1248455
-0.5691667,-0.5691667,-0.5875881,7377.5373774,4357.3634170,35169.9775322,209.3644204,24515.9655807,7377.5373774,7377.5373774,8696.9273288,5500.4198008
-0.5641667,-0.5641667,-0.5825881,8172.4772148,4837.7554655,38828.0735648,240.8037648,27070.1274506,8172.4772148,8172.4772148,9634.0332550,6093.0976279
-0.5591667,-0.5591667,-0.5775881,9153.2363954,5430.5356822,43340.1084107,279.6435536,30220.5660622,9153.2363954,9153.2363954,10790.1902331,6824.3155046
-0.5541667,-0.5541667,-0.5725881,10321.5773002,6136.8179038,48713.6020861,325.9937186,33972.5516179,10321.5773002,10321.5773002,12167.4758265,7695.3873974
-0.5491667,-0.5491667,-0.5675881,11677.0940922,6956.4067951,54946.0836459,379.8818598,38324.3788588,11677.0940922,11677.0940922,13765.4116186,8706.0107289
-0.5441667,-0.5441667,-0.5625881,13216.0542955,7887.0938875,62019.8077579,441.2021501,43263.6764945,13216.0542955,13216.0542955,15579.5976221,9853.4027029
-0.5391667,-0.5391667,-0.5575881,14930.1796213,8923.9164894,69896.1967067,509.6627895,48763.5247547,14930.1796213,14930.1796213,17600.2750688,11131.3913326
-0.5341667,-0.5341667,-0.5525881,16805.4501612,10058.4305252,78510.3922577,584.7355927,54778.6495712,16805.4501612,16805.4501612,19810.9167468,12529.5238912
-0.5291667,-0.5291667,-0.5475881,18821.0397807,11278.0627794,87766.4098219,665.6112508,61242.0373464,18821.0397807,18821.0397807,22186.9720005,14032.2731808
-0.5241667,-0.5241667,-0.5425881,20948.5101574,12565.6199572,97533.4766274,751.1645760,68062.3766276,20948.5101574,20948.5101574,24694.9166321,15618.4366371
-0.5191667,-0.5191667,-0.5375881,23151.4013985,13899.0383673,107644.1831753,839.9352385,75122.7662420,23151.4013985,23151.4013985,27291.7703053,17260.8311086
-0.5141667,-0.5141667,-0.5325881,25385.3532356,15251.4556674,117895.0589956,930.1301019,82281.1167036,25385.3532356,25385.3532356,29925.2394141,18926.3832149
-0.5091667,-0.5091667,-0.5275881,27598.8679239,16591.6722431,128050.0790925,1019.6525361,89372.5986283,27598.8679239,27598.8679239,32534.6164191,20576.6981368
-0.5041667,-0.5041667,-0.5225881,29734.7817539,17885.0429408,137847.4054526,1106.1620047,96214.3507961,29734.7817539,29734.7817539,35052.5145211,22169.1567205
-0.4991667,-0.4991667,-0.5175881,31732.4474653,19094.8006331,147009.3730343,1187.1641569,102612.4544706,31732.4474653,31732.4474653,37407.4403765,23658.5426054
-0.4941667,-0.4941667,-0.5125881,33530.5501302,20183.7646640,155255.3658424,1260.1280844,108370.9264679,33530.5501302,33530.5501302,39527.1135691,24999.1416421
-0.4891667,-0.4891667,-0.5075881,35070.3939716,21116.3355098,162316.8404854,1322.6237586,113302.2122943,35070.3939716,35070.3939716,41342.3412395,26147.1924241
-0.4841667,-0.4841667,-0.5025881,36299.4203886,21860.6300816,167953.4025489,1372.4694359,117238.4147538,36299.4203886,36299.4203886,42791.1652693,27063.5091968
-0.4791667,-0.4791667,-0.4975881,37174.6629040,22390.5789325,171968.5924362,1407.8765571,120042.3197061,37174.6629040,37174.6629040,43822.9351082,27716.0577392
-0.4741667,-0.4741667,-0.4925881,37665.8261479,22687.7953076,174223.9526859,1427.5788990,121617.2215330,37665.8261479,37665.8261479,44401.9373987,28082.2509408
-0.4691667,-0.4691667,-0.4875881,37757.7021283,22743.0418378,174650.0682798,1430.9338443,121914.6343302,37757.7021283,37757.7021283,44510.2443694,28150.7502836
-0.4641667,-0.4641667,-0.4825881,37451.7098263,22557.1648819,173253.6037510,1417.9867058,120939.2069498,37451.7098263,37451.7098263,44149.5287704,27922.6137075
-0.4591667,-0.4591667,-0.4775881,36766.4577734,22141.4355376,170119.8794583,1389.4938436,118750.5222279,36766.4577734,36766.4577734,43341.7270608,27411.7150475
-0.4541667,-0.4541667,-0.4725881,35737.3714072,21517.3226865,165411.1780620,1346.9063224,115461.9138225,35737.3714072,35737.3714072,42128.6001211,26644.4662034
-0.4491667,-0.4491667,-0.4675881,34415.5821695,20715.8177039,159361.6803131,1292.3224184,111236.9286857,34415.5821695,34415.5821695,40570.4236786,25658.9888925
-0.4441667,-0.4441667,-0.4625881,32866.4296365,19776.5242090,152270.6335294,1228.4238167,106284.5551140,32866.4296365,32866.4296365,38744.2225615,24503.9978934
-0.4391667,-0.4391667,-0.4575881,31168.0748062,18746.8154362,144496.0261783,1158.4165532,100854.8043528,31168.0748062,31168.0748062,36742.1359868,23237.7671636
-0.4341667,-0.4341667,-0.4525881,29410.8681145,17681.4501679,136451.7056707,1086.0039319,95236.6973151,29410.8681145,29410.8681145,34670.6725543,21927.6586563
-0.4291667,-0.4291667,-0.4475881,27698.2842721,16643.1405652,128611.6451993,1015.4258376,89761.2449418,27698.2842721,27698.2842721,32651.8122680,20650.8192998
-0.4241667,-0.4241667,-0.4425881,26120.4358781,15698.9826638,121237.7291638,951.5738962,84616.3671350,26120.4358781,26120.4358781,30791.7833564,19474.4337249
-0.4191667,-0.4191667,-0.4375881,23610.7949193,14179.3215343,109725.9611608,860.5894258,76577.3773247,23610.7949193,23610.7949193,27833.3212133,17603.3379762
-0.4141667,-0.4141667,-0.4325881,21182.9139345,12709.4003783,98586.4242803,762.4928509,68798.4201838,21182.9139345,21182.9139345,24971.2409002,15793.1994490
-0.4091667,-0.4091667,-0.4275881,18879.9428204,11315.3436248,88017.0973976,669.6619938,61417.7482549,18879.9428204,18879.9428204,22256.4091893,14076.1891150
-0.4041667,-0.4041667,-0.4225881,16735.3819126,10017.4157399,78171.9006197,583.4247836,54542.8398248,16735.3819126,16735.3819126,19728.3175764,12477.2835889
-0.3991667,-0.3991667,-0.4175881,14773.5608569,8830.3139530,69162.8585597,504.7177742,48251.9107083,14773.5608569,14773.5608569,17415.6467921,11014.6221576
-0.3941667,-0.3941667,-0.4125881,13010.6135469,7763.7620364,61064.5309716,434.1293629,42597.0096621,13010.6135469,13010.6135469,15337.4160959,9700.2336570
-0.3891667,-0.3891667,-0.4075881,11455.7753957,6823.2995705,53919.9182899,371.9616620,37608.1438881,11455.7753957,11455.7753957,13504.5125514,8541.0036706
-0.3841667,-0.3841667,-0.4025881,10112.8433365,6011.1697356,47747.1137215,318.3023707,33297.9258708,10112.8433365,10112.8433365,11921.4121306,7539.7630516
-0.3791667,-0.3791667,-0.3975881,8981.6649369,5327.2244876,42546.0918575,273.0939529,29666.3154512,8981.6649369,8981.6649369,10587.9351404,6696.3981524
-0.3741667,-0.3741667,-0.3925881,8059.5541222,4769.7848935,38305.1654641,236.1914021,26705.1300211,8059.5541222,8059.5541222,9500.9151317,6008.9063344
