# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
-0.2518020,-0.2518020,-0.2919689,19343.8211334
-0.2418020,-0.2418020,-0.2819689,20144.7269973
-0.2318020,-0.2318020,-0.2719689,21306.2839977
-0.2218020,-0.2218020,-0.2619689,17651.4178974
-0.2118020,-0.2118020,-0.2519689,13237.6551486
-0.2018020,-0.2018020,-0.2419689,10080.6859942
-0.1918020,-0.1918020,-0.2319689,8209.6849921
-0.1818020,-0.1818020,-0.2219689,7455.5413896
-0.1718020,-0.1718020,-0.2119689,7123.6428310
-0.1618020,-0.1618020,-0.2019689,7022.3443186
-0.1518020,-0.1518020,-0.1919689,6117.0058488
-0.1418020,-0.1418020,-0.1819689,5759.6214488
-0.1318020,-0.1318020,-0.1719689,5787.2068269
-0.1218020,-0.1218020,-0.1619689,6415.5224969
-0.1118020,-0.1118020,-0.1519689,7558.8846637
-0.1018020,-0.1018020,-0.1419689,9174.6939410
-0.0918020,-0.0918020,-0.1319689,9758.9323877
-0.0818020,-0.0818020,-0.1219689,9618.3873468
-0.0718020,-0.0718020,-0.1119689,9588.3602850
-0.0618020,-0.0618020,-0.1019689,9658.2838618
-0.0518020,-0.0518020,-0.0919689,9803.8887077
-0.0418020,-0.0418020,-0.0819689,9913.0726978
-0.0318020,-0.0318020,-0.0719689,9431.0678453
-0.0218020,-0.0218020,-0.0619689,9022.7827831
-0.0118020,-0.0118020,-0.0519689,8648.7382527
-0.0018020,-0.0018020,-0.0419689,8109.5457838
0.0081980,0.0081980,-0.0319689,6724.4815997
0.0181980,0.0181980,-0.0219689,5727.4837270
0.0281980,0.0281980,-0.0119689,4988.9850353
0.0381980,0.0381980,-0.0019689,4525.9856730
0.0481980,0.0481980,0.0080311,4261.4954576
0.0581980,0.0581980,0.0180311,4039.1023098
0.0681980,0.0681980,0.0280311,3997.6873293
0.0781980,0.0781980,0.0380311,3804.9996152
0.0881980,0.0881980,0.0480311,3503.4411034
0.0981980,0.0981980,0.0580311,3319.0940265
0.1081980,0.1081980,0.0680311,3256.4075599
0.1181980,0.1181980,0.0780311,3314.7504772
0.1281980,0.1281980,0.0880311,3378.3715627
0.1381980,0.1381980,0.0980311,3410.4104823
0.1481980,0.1481980,0.1080311,2582.7403933
0.1581980,0.1581980,0.1180311,1943.0490199
0.1681980,0.1681980,0.1280311,1470.8845016
0.1781980,0.1781980,0.1380311,1099.6465020
0.1881980,0.1881980,0.1480311,819.9008850
0.1981980,0.1981980,0.1580311,610.1959523
0.2081980,0.2081980,0.1680311,453.6248727
0.2181980,0.2181980,0.1780311,337.0840482
0.2281980,0.2281980,0.1880311,250.4966418
0.2381980,0.2381980,0.1980311,186.1255442
0.2481980,0.2481980,0.2080311,138.1206919
0.2581980,0.2581980,0.2180311,102.2261256
0.2681980,0.2681980,0.2280311,75.4089575
0.2781980,0.2781980,0.2380311,55.4368867
0.2881980,0.2881980,0.2480311,40.6059115
0.2981980,0.2981980,0.2580311,29.6165789
0.3081980,0.3081980,0.2680311,21.4833925
0.3181980,0.3181980,0.2780311,15.4588717
0.3281980,0.3281980,0.2880311,10.9815646
0.3381980,0.3381980,0.2980311,7.6349726
0.3481980,0.3481980,0.3080311,5.1124623
0.3581980,0.3581980,0.3180311,3.2009026
0.3681980,0.3681980,0.3280311,1.7677163
0.3781980,0.3781980,0.3380311,0.7277524
0.3881980,0.3881980,0.3480311,0.0106015
0.3981980,0.3981980,0.3580311,-0.4516275
0.4081980,0.4081980,0.3680311,-0.7249626
0.4181980,0.4181980,0.3780311,-0.8739194
0.4281980,0.4281980,0.3880311,-0.9611424
0.4381980,0.4381980,0.3980311,-1.0408143
0.4481980,0.4481980,0.4080311,-1.1470903
0.4581980,0.4581980,0.4180311,-1.2879889
0.4681980,0.4681980,0.4280311,-1.4508310
0.4781980,0.4781980,0.4380311,-1.6127798
0.4881980,0.4881980,0.4480311,-1.7505399
0.4981980,0.4981980,0.4580311,-1.8488371
0.5081980,0.5081980,0.4680311,-1.9049104
0.5181980,0.5181980,0.4780311,-1.9271204
0.5281980,0.5281980,0.4880311,-1.9295619
0.5381980,0.5381980,0.4980311,-1.9258725
0.5481980,0.5481980,0.5080311,-1.9250292
0.5581980,0.5581980,0.5180311,-1.9301030
0.5681980,0.5681980,0.5280311,-1.9388095
0.5781980,0.5781980,0.5380311,-1.9450474
0.5881980,0.5881980,0.5480311,-1.9418612
0.5981980,0.5981980,0.5580311,-1.9245294
0.6081980,0.6081980,0.5680311,-1.8917644
0.6181980,0.6181980,0.5780311,-1.8450351
0.6281980,0.6281980,0.5880311,-1.7872457
0.6381980,0.6381980,0.5980311,-1.7216501
0.6481980,0.6481980,0.6080311,-1.6512280
0.6581980,0.6581980,0.6180311,-1.5784295
0.6681980,0.6681980,0.6280311,-1.5051348
0.6781980,0.6781980,0.6380311,-1.4327140
0.6881980,0.6881980,0.6480311,-1.3621205
0.6981980,0.6981980,0.6580311,-1.2939843
0.7081980,0.7081980,0.6680311,-1.2286939
0.7181980,0.7181980,0.6780311,-1.1664617
0.7281980,0.7281980,0.6880311,-1.1073743
0.7381980,0.7381980,0.6980311,-1.0514308
0.7481980,0.7481980,0.7080311,-0.9985706
0.7581980,0.7581980,0.7180311,-0.9486941
0.7681980,0.7681980,0.7280311,-0.9016771
0.7781980,0.7781980,0.7380311,-0.8573813
0.7881980,0.7881980,0.7480311,-0.8156619
0.7981980,0.7981980,0.7580311,-0.7763725
0.8081980,0.8081980,0.7680311,-0.7393684
0.8181980,0.8181980,0.7780311,-0.7045095
0.8281980,0.8281980,0.7880311,-0.6716612
0.8381980,0.8381980,0.7980311,-0.6406954
0.8481980,0.8481980,0.8080311,-0.6114912
0.8581980,0.8581980,0.8180311,-0.5839348
0.8681980,0.8681980,0.8280311,-0.5579195
0.8781980,0.8781980,0.8380311,-0.5333455
0.8881980,0.8881980,0.8480311,-0.5101198
0.8981980,0.8981980,0.8580311,-0.4881555
0.9081980,0.9081980,0.8680311,-0.4673721
0.9181980,0.9181980,0.8780311,-0.4476943
0.9281980,0.9281980,0.8880311,-0.4290524
0.9381980,0.9381980,0.8980311,-0.4113813
0.9481980,0.9481980,0.9080311,-0.3946207
0.9581980,0.9581980,0.9180311,-0.3787146
0.9681980,0.9681980,0.9280311,-0.3636106
0.9781980,0.9781980,0.9380311,-0.3492602
0.9881980,0.9881980,0.9480311,-0.3356182
0.9981980,0.9981980,0.9580311,-0.3226426
1.0081980,1.0081980,0.9680311,-0.3102941
1.0181980,1.0181980,0.9780311,-0.2985362
1.0281980,1.0281980,0.9880311,-0.2873348
1.0381980,1.0381980,0.9980311,-0.2766582
1.0481980,1.0481980,1.0080311,-0.2664767
1.0581980,1.0581980,1.0180311,-0.2567625
1.0681980,1.0681980,1.0280311,-0.2474898
1.0781980,1.0781980,1.0380311,-0.2386343
1.0881980,1.0881980,1.0480311,-0.2301734
1.0981980,1.0981980,1.0580311,-0.2220858
1.1081980,1.1081980,1.0680311,-0.2143516
1.1181980,1.1181980,1.0780311,-0.2069522
1.1281980,1.1281980,1.0880311,-0.1998701
1.1381980,1.1381980,1.0980311,-0.1930888
1.1481980,1.1481980,1.1080311,-0.1865929
1.1581980,1.1581980,1.1180311,-0.1803680
1.1681980,1.1681980,1.1280311,-0.1744004
1.1781980,1.1781980,1.1380311,-0.1686772
1.1881980,1.1881980,1.1480311,-0.1631865
1.1981980,1.1981980,1.1580311,-0.1579167
1.2081980,1.2081980,1.1680311,-0.1528572
1.2181980,1.2181980,1.1780311,-0.1479980
1.2281980,1.2281980,1.1880311,-0.1433294
1.2381980,1.2381980,1.1980311,-0.1388424
1.2481980,1.2481980,1.2080311,-0.1345285
1.2581980,1.2581980,1.2180311,-0.1303798
1.2681980,1.2681980,1.2280311,-0.1263886
1.2781980,1.2781980,1.2380311,-0.1225477
1.2881980,1.2881980,1.2480311,-0.1188503
1.2981980,1.2981980,1.2580311,-0.1152900
1.3081980,1.3081980,1.2680311,-0.1118606
1.3181980,1.3181980,1.2780311,-0.1085565
1.3281980,1.3281980,1.2880311,-0.1053720
1.3381980,1.3381980,1.2980311,-0.1023021
1.3481980,1.3481980,1.3080311,-0.0993417
1.3581980,1.3581980,1.3180311,-0.0964863
1.3681980,1.3681980,1.3280311,-0.0937312
1.3781980,1.3781980,1.3380311,-0.0910724
