# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.3320007,-1.3320007,-1.0641280,2935.1669191,2530.1641226,11057.6229686,142.7992957,8722.2567602,3617.6804070,2252.6534311,3460.0886566,2188.3522122,2935.1669191,2530.1641226,11057.6229686,127.2368950,8722.2567602,3617.6804070,2252.6534311,3460.0886566,2188.3522122
-1.3270007,-1.3270007,-1.0591280,3115.4579725,2679.7187906,11798.8574398,153.0228718,9243.6252756,3798.1248615,2432.7910836,3672.6227462,2322.7705729,3115.4579725,2679.7187906,11798.8574398,137.3829124,9243.6252756,3798.1248615,2432.7910836,3672.6227462,2322.7705729
-1.3220007,-1.3220007,-1.0541280,3367.2251387,2888.9903134,12833.8317942,167.2249379,9971.5564922,4050.0687131,2684.3815643,3969.4156509,2510.4788874,3367.2251387,2888.9903134,12833.8317942,151.5838415,9971.5564922,4050.0687131,2684.3815643,3969.4156509,2510.4788874
-1.3170007,-1.3170007,-1.0491280,3702.8688909,3168.7433878,14213.3773524,186.2070517,10941.7954397,4385.9137354,3019.8240463,4365.0855298,2760.7224911,3702.8688909,3168.7433878,14213.3773524,170.5659524,10941.7954397,4385.9137354,3019.8240463,4365.0855298,2760.7224911
-1.3120007,-1.3120007,-1.0441280,4138.1851420,3532.7878154,16002.2492329,210.8958145,12199.8779503,4821.4573334,3454.9129505,4878.2532181,3085.2782344,4138.1851420,3532.7878154,16002.2492329,195.2547152,12199.8779503,4821.4573334,3454.9129505,4878.2532181,3085.2782344
-1.3070007,-1.3070007,-1.0391280,4692.6147804,3998.2621891,18280.1534932,242.4306816,13801.8525896,5376.1420081,4009.0875527,5531.8363892,3498.6405266,4692.6147804,3998.2621891,18280.1534932,226.7895823,13801.8525896,5376.1420081,4009.0875527,5531.8363892,3498.6405266
-1.3020007,-1.3020007,-1.0341280,5389.4940050,4585.9353240,21142.7789511,282.1799106,15815.0057927,6073.3056083,4705.6824017,6353.3446600,4018.2079771,5389.4940050,4585.9353240,21142.7789511,266.5388114,15815.0057927,6073.3056083,4705.6824017,6353.3446600,4018.2079771
-1.2970007,-1.2970007,-1.0291280,6199.8358845,5171.7058188,24475.0874267,327.7251876,18144.1953187,6873.1812390,5526.4905300,7308.6071109,4622.3689988,6199.8358845,5171.7058188,24475.0874267,312.6372349,18144.1953187,6873.1812390,5526.4905300,7308.6071109,4622.3689988
-1.2920007,-1.2920007,-1.0241280,6355.1296570,5348.3541219,25105.2478690,337.2501251,18587.0536552,7028.0216710,5682.2376430,7491.6734358,4738.1503086,6355.1296570,5348.3541219,25105.2478690,321.6090257,18587.0536552,7028.0216710,5682.2376430,7491.6734358,4738.1503086
-1.2870007,-1.2870007,-1.0191280,6591.3755239,5499.9944557,26065.8724289,350.9758982,19262.3247815,7263.7928325,5918.9582152,7770.1692306,4914.2865148,6591.3755239,5499.9944557,26065.8724289,335.3347988,19262.3247815,7263.7928325,5918.9582152,7770.1692306,4914.2865148
