# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
1.4008333,1.4008333,1.3824119,-0.0885794
1.4108333,1.4108333,1.3924119,-0.0862081
1.4208333,1.4208333,1.4024119,-0.0839133
1.4308333,1.4308333,1.4124119,-0.0816920
1.4408333,1.4408333,1.4224119,-0.0795416
1.4508333,1.4508333,1.4324119,-0.0774593
1.4608333,1.4608333,1.4424119,-0.0754425
1.4708333,1.4708333,1.4524119,-0.0734888
1.4808333,1.4808333,1.4624119,-0.0715959
1.4908333,1.4908333,1.4724119,-0.0697615
1.5008333,1.5008333,1.4824119,-0.0679835
1.5108333,1.5108333,1.4924119,-0.0662599
1.5208333,1.5208333,1.5024119,-0.0645886
1.5308333,1.5308333,1.5124119,-0.0629678
1.5408333,1.5408333,1.5224119,-0.0613958
1.5508333,1.5508333,1.5324119,-0.0598707
1.5608333,1.5608333,1.5424119,-0.0583909
1.5708333,1.5708333,1.5524119,-0.0569549
1.5808333,1.5808333,1.5624119,-0.0555610
1.5908333,1.5908333,1.5724119,-0.0542079
1.6008333,1.6008333,1.5824119,-0.0528942
1.6108333,1.6108333,1.5924119,-0.0516184
1.6208333,1.6208333,1.6024119,-0.0503794
1.6308333,1.6308333,1.6124119,-0.0491758
1.6408333,1.6408333,1.6224119,-0.0480065
1.6508333,1.6508333,1.6324119,-0.0468703
1.6608333,1.6608333,1.6424119,-0.0457661
1.6708333,1.6708333,1.6524119,-0.0446929
1.6808333,1.6808333,1.6624119,-0.0436496
1.6908333,1.6908333,1.6724119,-0.0426353
1.7008333,1.7008333,1.6824119,-0.0416490
1.7108333,1.7108333,1.6924119,-0.0406899
1.7208333,1.7208333,1.7024119,-0.0397569
1.7308333,1.7308333,1.7124119,-0.0388494
1.7408333,1.7408333,1.7224119,-0.0379664
1.7508333,1.7508333,1.7324119,-0.0371073
1.7608333,1.7608333,1.7424119,-0.0362712
1.7708333,1.7708333,1.7524119,-0.0354574
1.7808333,1.7808333,1.7624119,-0.0346653
1.7908333,1.7908333,1.7724119,-0.0338941
1.8008333,1.8008333,1.7824119,-0.0331432
1.8108333,1.8108333,1.7924119,-0.0324121
1.8208333,1.8208333,1.8024119,-0.0317000
