# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
1.0972793,1.0972793,1.2500000,-0.1611791
1.1072793,1.1072793,1.2600000,-0.1561251
1.1172793,1.1172793,1.2700000,-0.1512688
1.1272793,1.1272793,1.2800000,-0.1466008
1.1372793,1.1372793,1.2900000,-0.1421123
1.1472793,1.1472793,1.3000000,-0.1377949
1.1572793,1.1572793,1.3100000,-0.1336407
1.1672793,1.1672793,1.3200000,-0.1296422
1.1772793,1.1772793,1.3300000,-0.1257922
1.1872793,1.1872793,1.3400000,-0.1220842
1.1972793,1.1972793,1.3500000,-0.1185118
1.2072793,1.2072793,1.3600000,-0.1150689
1.2172793,1.2172793,1.3700000,-0.1117500
1.2272793,1.2272793,1.3800000,-0.1085495
1.2372793,1.2372793,1.3900000,-0.1054625
1.2472793,1.2472793,1.4000000,-0.1024839
1.2572793,1.2572793,1.4100000,-0.0996094
1.2672793,1.2672793,1.4200000,-0.0968343
1.2772793,1.2772793,1.4300000,-0.0941547
1.2872793,1.2872793,1.4400000,-0.0915665
1.2972793,1.2972793,1.4500000,-0.0890660
1.3072793,1.3072793,1.4600000,-0.0866496
1.3172793,1.3172793,1.4700000,-0.0843139
1.3272793,1.3272793,1.4800000,-0.0820557
1.3372793,1.3372793,1.4900000,-0.0798719
1.3472793,1.3472793,1.5000000,-0.0777594
1.3572793,1.3572793,1.5100000,-0.0757156
1.3672793,1.3672793,1.5200000,-0.0737378
1.3772793,1.3772793,1.5300000,-0.0718234
1.3872793,1.3872793,1.5400000,-0.0699699
1.3972793,1.3972793,1.5500000,-0.0681750
1.4072793,1.4072793,1.5600000,-0.0664366
1.4172793,1.4172793,1.5700000,-0.0647524
1.4272793,1.4272793,1.5800000,-0.0631205
1.4372793,1.4372793,1.5900000,-0.0615389
1.4472793,1.4472793,1.6000000,-0.0600058
1.4572793,1.4572793,1.6100000,-0.0585194
1.4672793,1.4672793,1.6200000,-0.0570780
1.4772793,1.4772793,1.6300000,-0.0556799
1.4872793,1.4872793,1.6400000,-0.0543236
1.4972793,1.4972793,1.6500000,-0.0530076
1.5072793,1.5072793,1.6600000,-0.0517305
1.5172793,1.5172793,1.6700000,-0.0504910
1.5272793,1.5272793,1.6800000,-0.0492876
1.5372793,1.5372793,1.6900000,-0.0481191
1.5472793,1.5472793,1.7000000,-0.0469844
1.5572793,1.5572793,1.7100000,-0.0458823
1.5672793,1.5672793,1.7200000,-0.0448116
1.5772793,1.5772793,1.7300000,-0.0437713
1.5872793,1.5872793,1.7400000,-0.0427604
1.5972793,1.5972793,1.7500000,-0.0417779
