# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
1.0166821,1.0166821,0.9900000,-0.3098052,-0.3181443
1.0266821,1.0266821,1.0000000,-0.2985841,-0.3067707
1.0366821,1.0366821,1.0100000,-0.2878577,-0.2958955
1.0466821,1.0466821,1.0200000,-0.2776000,-0.2854924
1.0566821,1.0566821,1.0300000,-0.2677867,-0.2755370
1.0666821,1.0666821,1.0400000,-0.2583948,-0.2660062
1.0766821,1.0766821,1.0500000,-0.2494028,-0.2568783
1.0866821,1.0866821,1.0600000,-0.2407904,-0.2481331
1.0966821,1.0966821,1.0700000,-0.2325386,-0.2397513
1.1066821,1.1066821,1.0800000,-0.2246293,-0.2317149
1.1166821,1.1166821,1.0900000,-0.2170458,-0.2240070
1.1266821,1.1266821,1.1000000,-0.2097720,-0.2166116
1.1366821,1.1366821,1.1100000,-0.2027930,-0.2095135
1.1466821,1.1466821,1.1200000,-0.1960946,-0.2026984
1.1566821,1.1566821,1.1300000,-0.1896633,-0.1961531
1.1666821,1.1666821,1.1400000,-0.1834866,-0.1898647
1.1766821,1.1766821,1.1500000,-0.1775525,-0.1838279
1.1866821,1.1866821,1.1600000,-0.1718498,-0.1780244
1.1966821,1.1966821,1.1700000,-0.1663677,-0.1724433
1.2066821,1.2066821,1.1800000,-0.1610961,-0.1670744
1.2166821,1.2166821,1.1900000,-0.1560256,-0.1619081
1.2266821,1.2266821,1.2000000,-0.1511469,-0.1569353
1.2366821,1.2366821,1.2100000,-0.1464516,-0.1521475
1.2466821,1.2466821,1.2200000,-0.1419315,-0.1475365
1.2566821,1.2566821,1.2300000,-0.1375789,-0.1430946
1.2666821,1.2666821,1.2400000,-0.1333865,-0.1388143
1.2766821,1.2766821,1.2500000,-0.1293472,-0.1346888
1.2866821,1.2866821,1.2600000,-0.1254546,-0.1307115
1.2966821,1.2966821,1.2700000,-0.1217023,-0.1268759
1.3066821,1.3066821,1.2800000,-0.1180843,-0.1231762
1.3166821,1.3166821,1.2900000,-0.1145951,-0.1196067
1.3266821,1.3266821,1.3000000,-0.1112292,-0.1161619
1.3366821,1.3366821,1.3100000,-0.1079815,-0.1128367
1.3466821,1.3466821,1.3200000,-0.1048471,-0.1096262
1.3566821,1.3566821,1.3300000,-0.1018213,-0.1065257
1.3666821,1.3666821,1.3400000,-0.0988998,-0.1035308
1.3766821,1.3766821,1.3500000,-0.0960783,-0.1006373
1.3866821,1.3866821,1.3600000,-0.0933529,-0.0978410
1.3966821,1.3966821,1.3700000,-0.0907195,-0.0951382
1.4066821,1.4066821,1.3800000,-0.0881747,-0.0925252
1.4166821,1.4166821,1.3900000,-0.0857150,-0.0899984
1.4266821,1.4266821,1.4000000,-0.0833369,-0.0875545
1.4366821,1.4366821,1.4100000,-0.0810373,-0.0851903
1.4466821,1.4466821,1.4200000,-0.0788132,-0.0829028
1.4566821,1.4566821,1.4300000,-0.0766617,-0.0806890
1.4666821,1.4666821,1.4400000,-0.0745800,-0.0785462
1.4766821,1.4766821,1.4500000,-0.0725654,-0.0764716
1.4866821,1.4866821,1.4600000,-0.0706155,-0.0744627
1.4966821,1.4966821,1.4700000,-0.0687278,-0.0725171
1.5066821,1.5066821,1.4800000,-0.0669000,-0.0706324
1.5166821,1.5166821,1.4900000,-0.0651298,-0.0688065
1.5266821,1.5266821,1.5000000,-0.0634152,-0.0670370
1.5366821,1.5366821,1.5100000,-0.0617540,-0.0653221
1.5466821,1.5466821,1.5200000,-0.0601445,-0.0636597
1.5566821,1.5566821,1.5300000,-0.0585846,-0.0620479
1.5666821,1.5666821,1.5400000,-0.0570726,-0.0604850
1.5766821,1.5766821,1.5500000,-0.0556068,-0.0589692
1.5866821,1.5866821,1.5600000,-0.0541856,-0.0574989
1.5966821,1.5966821,1.5700000,-0.0528074,-0.0560724
