# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
-0.1527207,-0.1527207,0.0000000,30866.4683903
-0.1427207,-0.1427207,0.0100000,22827.5991729
-0.1327207,-0.1327207,0.0200000,17699.8002977
-0.1227207,-0.1227207,0.0300000,13853.6744950
-0.1127207,-0.1127207,0.0400000,11581.7176301
-0.1027207,-0.1027207,0.0500000,10300.1524493
-0.0927207,-0.0927207,0.0600000,9380.2557898
-0.0827207,-0.0827207,0.0700000,8186.3463835
-0.0727207,-0.0727207,0.0800000,7934.2634354
-0.0627207,-0.0627207,0.0900000,8547.2645386
-0.0527207,-0.0527207,0.1000000,10098.1794533
-0.0427207,-0.0427207,0.1100000,12734.8839632
-0.0327207,-0.0327207,0.1200000,16695.9028900
-0.0227207,-0.0227207,0.1300000,18387.7268549
-0.0127207,-0.0127207,0.1400000,12873.9859885
-0.0027207,-0.0027207,0.1500000,9220.1713643
0.0072793,0.0072793,0.1600000,6847.2436884
0.0172793,0.0172793,0.1700000,5303.2011455
0.0272793,0.0272793,0.1800000,4266.1229517
0.0372793,0.0372793,0.1900000,3523.9259431
0.0472793,0.0472793,0.2000000,2943.6668923
0.0572793,0.0572793,0.2100000,2459.6361618
0.0672793,0.0672793,0.2200000,2040.9193472
0.0772793,0.0772793,0.2300000,1697.5099964
0.0872793,0.0872793,0.2400000,1245.9734183
0.0972793,0.0972793,0.2500000,916.2759594
0.1072793,0.1072793,0.2600000,674.2429274
0.1172793,0.1172793,0.2700000,493.8032932
0.1272793,0.1272793,0.2800000,343.8111277
0.1372793,0.1372793,0.2900000,229.0784260
0.1472793,0.1472793,0.3000000,149.6637856
0.1572793,0.1572793,0.3100000,94.5073707
0.1672793,0.1672793,0.3200000,58.5351777
0.1772793,0.1772793,0.3300000,34.5531318
0.1872793,0.1872793,0.3400000,18.2529483
0.1972793,0.1972793,0.3500000,7.3581412
0.2072793,0.2072793,0.3600000,0.2864678
0.2172793,0.2172793,0.3700000,-4.1723080
0.2272793,0.2272793,0.3800000,-6.9306213
0.2372793,0.2372793,0.3900000,-8.6164479
0.2472793,0.2472793,0.4000000,-9.6203586
0.2572793,0.2572793,0.4100000,-10.2122025
0.2672793,0.2672793,0.4200000,-10.5734209
0.2772793,0.2772793,0.4300000,-10.7889682
