# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
0.7500000,0.0000000,-0.0146526,292934.4015398
0.7600000,0.0100000,-0.0046526,309409.0171445
0.7700000,0.0200000,0.0053474,270186.4902918
0.7800000,0.0300000,0.0153474,221387.2502943
0.7900000,0.0400000,0.0253474,170063.4416527
0.8000000,0.0500000,0.0353474,130272.2762258
0.8100000,0.0600000,0.0453474,103852.0088925
0.8200000,0.0700000,0.0553474,80576.7654863
0.8300000,0.0800000,0.0653474,69893.5769041
0.8400000,0.0900000,0.0753474,77678.0283588
0.8500000,0.1000000,0.0853474,95384.5958683
0.8600000,0.1100000,0.0953474,53422.2268026
0.8700000,0.1200000,0.1053474,30322.7130385
0.8800000,0.1300000,0.1153474,17458.5318475
0.8900000,0.1400000,0.1253474,10097.7478358
0.9000000,0.1500000,0.1353474,5807.8994328
0.9100000,0.1600000,0.1453474,3402.1790964
0.9200000,0.1700000,0.1553474,2022.7125852
0.9300000,0.1800000,0.1653474,1233.8091112
0.9400000,0.1900000,0.1753474,753.4243111
0.9500000,0.2000000,0.1853474,463.0700128
0.9600000,0.2100000,0.1953474,285.3494802
0.9700000,0.2200000,0.2053474,175.4982108
0.9800000,0.2300000,0.2153474,107.1277387
0.9900000,0.2400000,0.2253474,64.2747150
1.0000000,0.2500000,0.2353474,36.9939349
1.0100000,0.2600000,0.2453474,19.3585730
1.0200000,0.2700000,0.2553474,7.9320480
1.0300000,0.2800000,0.2653474,0.5389356
1.0400000,0.2900000,0.2753474,-4.3141785
1.0500000,0.3000000,0.2853474,-7.5751732
1.0600000,0.3100000,0.2953474,-9.6922357
1.0700000,0.3200000,0.3053474,-10.8775671
1.0800000,0.3300000,0.3153474,-11.3422770
1.0900000,0.3400000,0.3253474,-11.3400303
1.1000000,0.3500000,0.3353474,-11.1140237
1.1100000,0.3600000,0.3453474,-10.8221974
1.1200000,0.3700000,0.3553474,-10.5281647
1.1300000,0.3800000,0.3653474,-10.2317853
1.1400000,0.3900000,0.3753474,-9.9004868
1.1500000,0.4000000,0.3853474,-9.5209345
1.1600000,0.4100000,0.3953474,-9.1161032
1.1700000,0.4200000,0.4053474,-8.7130121
1.1800000,0.4300000,0.4153474,-8.3175584
1.1900000,0.4400000,0.4253474,-7.9231146
1.2000000,0.4500000,0.4353474,-7.5325551
1.2100000,0.4600000,0.4453474,-7.1639536
1.2200000,0.4700000,0.4553474,-6.8354540
1.2300000,0.4800000,0.4653474,-6.5597462
1.2400000,0.4900000,0.4753474,-6.3526332
1.2500000,0.5000000,0.4853474,-6.2168389
1.2600000,0.5100000,0.4953474,-6.1148331
1.2700000,0.5200000,0.5053474,-6.0005959
1.2800000,0.5300000,0.5153474,-5.8602177
1.2900000,0.5400000,0.5253474,-5.6933918
1.3000000,0.5500000,0.5353474,-5.4921985
1.3100000,0.5600000,0.5453474,-5.2512667
1.3200000,0.5700000,0.5553474,-4.9768998
1.3300000,0.5800000,0.5653474,-4.6827872
1.3400000,0.5900000,0.5753474,-4.3829518
1.3500000,0.6000000,0.5853474,-4.0886740
1.3600000,0.6100000,0.5953474,-3.8081711
1.3700000,0.6200000,0.6053474,-3.5464952
1.3800000,0.6300000,0.6153474,-3.3049956
1.3900000,0.6400000,0.6253474,-3.0819084
1.4000000,0.6500000,0.6353474,-2.8743646
1.4100000,0.6600000,0.6453474,-2.6800248
1.4200000,0.6700000,0.6553474,-2.4975595
1.4300000,0.6800000,0.6653474,-2.3264145
1.4400000,0.6900000,0.6753474,-2.1664504
1.4500000,0.7000000,0.6853474,-2.0176131
1.4600000,0.7100000,0.6953474,-1.8797151
1.4700000,0.7200000,0.7053474,-1.7523668
1.4800000,0.7300000,0.7153474,-1.6350068
1.4900000,0.7400000,0.7253474,-1.5269674
1.5000000,0.7500000,0.7353474,-1.4275363
1.5100000,0.7600000,0.7453474,-1.3360015
1.5200000,0.7700000,0.7553474,-1.2516794
1.5300000,0.7800000,0.7653474,-1.1739300
1.5400000,0.7900000,0.7753474,-1.1021638
1.5500000,0.8000000,0.7853474,-1.0358428
1.5600000,0.8100000,0.7953474,-0.9744796
1.5700000,0.8200000,0.8053474,-0.9176337
1.5800000,0.8300000,0.8153474,-0.8649083
1.5900000,0.8400000,0.8253474,-0.8159456
1.6000000,0.8500000,0.8353474,-0.7704235
1.6100000,0.8600000,0.8453474,-0.7280514
1.6200000,0.8700000,0.8553474,-0.6885674
1.6300000,0.8800000,0.8653474,-0.6517347
1.6400000,0.8900000,0.8753474,-0.6173394
1.6500000,0.9000000,0.8853474,-0.5851875
1.6600000,0.9100000,0.8953474,-0.5551032
1.6700000,0.9200000,0.9053474,-0.5269269
1.6800000,0.9300000,0.9153474,-0.5005133
1.6900000,0.9400000,0.9253474,-0.4757302
1.7000000,0.9500000,0.9353474,-0.4524569
1.7100000,0.9600000,0.9453474,-0.4305833
1.7200000,0.9700000,0.9553474,-0.4100087
1.7300000,0.9800000,0.9653474,-0.3906407
1.7400000,0.9900000,0.9753474,-0.3723948
1.7500000,1.0000000,0.9853474,-0.3551933
1.7600000,1.0100000,0.9953474,-0.3389648
1.7700000,1.0200000,1.0053474,-0.3236438
1.7800000,1.0300000,1.0153474,-0.3091696
1.7900000,1.0400000,1.0253474,-0.2954866
1.8000000,1.0500000,1.0353474,-0.2825432
1.8100000,1.0600000,1.0453474,-0.2702918
1.8200000,1.0700000,1.0553474,-0.2586885
1.8300000,1.0800000,1.0653474,-0.2476925
1.8400000,1.0900000,1.0753474,-0.2372659
1.8500000,1.1000000,1.0853474,-0.2273739
1.8600000,1.1100000,1.0953474,-0.2179838
1.8700000,1.1200000,1.1053474,-0.2090654
1.8800000,1.1300000,1.1153474,-0.2005907
1.8900000,1.1400000,1.1253474,-0.1925335
1.9000000,1.1500000,1.1353474,-0.1848693
1.9100000,1.1600000,1.1453474,-0.1775755
1.9200000,1.1700000,1.1553474,-0.1706309
1.9300000,1.1800000,1.1653474,-0.1640157
1.9400000,1.1900000,1.1753474,-0.1577115
1.9500000,1.2000000,1.1853474,-0.1517008
1.9600000,1.2100000,1.1953474,-0.1459677
1.9700000,1.2200000,1.2053474,-0.1404968
1.9800000,1.2300000,1.2153474,-0.1352742
1.9900000,1.2400000,1.2253474,-0.1302863
2.0000000,1.2500000,1.2353474,-0.1255209
2.0100000,1.2600000,1.2453474,-0.1209662
2.0200000,1.2700000,1.2553474,-0.1166111
2.0300000,1.2800000,1.2653474,-0.1124455
2.0400000,1.2900000,1.2753474,-0.1084594
2.0500000,1.3000000,1.2853474,-0.1046440
2.0600000,1.3100000,1.2953474,-0.1009904
2.0700000,1.3200000,1.3053474,-0.0974907
2.0800000,1.3300000,1.3153474,-0.0941372
2.0900000,1.3400000,1.3253474,-0.0909228
2.1000000,1.3500000,1.3353474,-0.0878405
2.1100000,1.3600000,1.3453474,-0.0848841
2.1200000,1.3700000,1.3553474,-0.0820475
2.1300000,1.3800000,1.3653474,-0.0793250
2.1400000,1.3900000,1.3753474,-0.0767112
2.1500000,1.4000000,1.3853474,-0.0742009
