# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-0.4941667,-0.4941667,-0.5125881,33530.5501302,20183.7646640,155255.3658424,1260.1280844,108370.9264679,33530.5501302,33530.5501302,39527.1135691,24999.1416421,33530.5501302,20183.7646640,155255.3658424,1244.4929831,108370.9264679,33530.5501302,33530.5501302,39527.1135691,24999.1416421
-0.4891667,-0.4891667,-0.5075881,35070.3939716,21116.3355098,162316.8404854,1322.6237586,113302.2122943,35070.3939716,35070.3939716,41342.3412395,26147.1924241,35070.3939716,21116.3355098,162316.8404854,1306.9867576,113302.2122943,35070.3939716,35070.3939716,41342.3412395,26147.1924241
-0.4841667,-0.4841667,-0.5025881,36299.4203886,21860.6300816,167953.4025489,1372.4694359,117238.4147538,36299.4203886,36299.4203886,42791.1652693,27063.5091968,36299.4203886,21860.6300816,167953.4025489,1356.8313523,117238.4147538,36299.4203886,36299.4203886,42791.1652693,27063.5091968
-0.4791667,-0.4791667,-0.4975881,37174.6629040,22390.5789325,171968.5924362,1407.8765571,120042.3197061,37174.6629040,37174.6629040,43822.9351082,27716.0577392,37174.6629040,22390.5789325,171968.5924362,1392.2378819,120042.3197061,37174.6629040,37174.6629040,43822.9351082,27716.0577392
-0.4741667,-0.4741667,-0.4925881,37665.8261479,22687.7953076,174223.9526859,1427.5788990,121617.2215330,37665.8261479,37665.8261479,44401.9373987,28082.2509408,37665.8261479,22687.7953076,174223.9526859,1411.9399511,121617.2215330,37665.8261479,37665.8261479,44401.9373987,28082.2509408
-0.4691667,-0.4691667,-0.4875881,37757.7021283,22743.0418378,174650.0682798,1430.9338443,121914.6343302,37757.7021283,37757.7021283,44510.2443694,28150.7502836,37757.7021283,22743.0418378,174650.0682798,1415.2948654,121914.6343302,37757.7021283,37757.7021283,44510.2443694,28150.7502836
-0.4641667,-0.4641667,-0.4825881,37451.7098263,22557.1648819,173253.6037510,1417.9867058,120939.2069498,37451.7098263,37451.7098263,44149.5287704,27922.6137075,37451.7098263,22557.1648819,173253.6037510,1402.3479290,120939.2069498,37451.7098263,37451.7098263,44149.5287704,27922.6137075
-0.4591667,-0.4591667,-0.4775881,36766.4577734,22141.4355376,170119.8794583,1389.4938436,118750.5222279,36766.4577734,36766.4577734,43341.7270608,27411.7150475,36766.4577734,22141.4355376,170119.8794583,1373.8555586,118750.5222279,36766.4577734,36766.4577734,43341.7270608,27411.7150475
-0.4541667,-0.4541667,-0.4725881,35737.3714072,21517.3226865,165411.1780620,1346.9063224,115461.9138225,35737.3714072,35737.3714072,42128.6001211,26644.4662034,35737.3714072,21517.3226865,165411.1780620,1331.2689604,115461.9138225,35737.3714072,35737.3714072,42128.6001211,26644.4662034
-0.4491667,-0.4491667,-0.4675881,34415.5821695,20715.8177039,159361.6803131,1292.3224184,111236.9286857,34415.5821695,34415.5821695,40570.4236786,25658.9888925,34415.5821695,20715.8177039,159361.6803131,1276.6866861,111236.9286857,34415.5821695,34415.5821695,40570.4236786,25658.9888925
-0.4441667,-0.4441667,-0.4625881,32866.4296365,19776.5242090,152270.6335294,1228.4238167,106284.5551140,32866.4296365,32866.4296365,38744.2225615,24503.9978934,32866.4296365,19776.5242090,152270.6335294,1212.7909169,106284.5551140,32866.4296365,32866.4296365,38744.2225615,24503.9978934
-0.4391667,-0.4391667,-0.4575881,31168.0748062,18746.8154362,144496.0261783,1158.4165532,100854.8043528,31168.0748062,31168.0748062,36742.1359868,23237.7671636,31168.0748062,18746.8154362,144496.0261783,1142.7885431,100854.8043528,31168.0748062,31168.0748062,36742.1359868,23237.7671636
-0.4341667,-0.4341667,-0.4525881,29410.8681145,17681.4501679,136451.7056707,1086.0039319,95236.6973151,29410.8681145,29410.8681145,34670.6725543,21927.6586563,29410.8681145,17681.4501679,136451.7056707,1070.3842689,95236.6973151,29410.8681145,29410.8681145,34670.6725543,21927.6586563
-0.4291667,-0.4291667,-0.4475881,27698.2842721,16643.1405652,128611.6451993,1015.4258376,89761.2449418,27698.2842721,27698.2842721,32651.8122680,20650.8192998,27698.2842721,16643.1405652,128611.6451993,999.8201273,89761.2449418,27698.2842721,27698.2842721,32651.8122680,20650.8192998
-0.4241667,-0.4241667,-0.4425881,26120.4358781,15698.9826638,121237.7291638,951.5738962,84616.3671350,26120.4358781,26120.4358781,30791.7833564,19474.4337249,26120.4358781,15698.9826638,121237.7291638,936.0260454,84616.3671350,26120.4358781,26120.4358781,30791.7833564,19474.4337249
-0.4191667,-0.4191667,-0.4375881,23610.7949193,14179.3215343,109725.9611608,860.5894258,76577.3773247,23610.7949193,23610.7949193,27833.3212133,17603.3379762,23610.7949193,14179.3215343,109725.9611608,844.9512283,76577.3773247,23610.7949193,23610.7949193,27833.3212133,17603.3379762
-0.4141667,-0.4141667,-0.4325881,21182.9139345,12709.4003783,98586.4242803,762.4928509,68798.4201838,21182.9139345,21182.9139345,24971.2409002,15793.1994490,21182.9139345,12709.4003783,98586.4242803,746.8594952,68798.4201838,21182.9139345,21182.9139345,24971.2409002,15793.1994490
-0.4091667,-0.4091667,-0.4275881,18879.9428204,11315.3436248,88017.0973976,669.6619938,61417.7482549,18879.9428204,18879.9428204,22256.4091893,14076.1891150,18879.9428204,11315.3436248,88017.0973976,654.0406986,61417.7482549,18879.9428204,18879.9428204,22256.4091893,14076.1891150
-0.4041667,-0.4041667,-0.4225881,16735.3819126,10017.4157399,78171.9006197,583.4247836,54542.8398248,16735.3819126,16735.3819126,19728.3175764,12477.2835889,16735.3819126,10017.4157399,78171.9006197,567.8315535,54542.8398248,16735.3819126,16735.3819126,19728.3175764,12477.2835889
-0.3991667,-0.3991667,-0.4175881,14773.5608569,8830.3139530,69162.8585597,504.7177742,48251.9107083,14773.5608569,14773.5608569,17415.6467921,11014.6221576,14773.5608569,8830.3139530,69162.8585597,489.1841082,48251.9107083,14773.5608569,14773.5608569,17415.6467921,11014.6221576
-0.3941667,-0.3941667,-0.4125881,13010.6135469,7763.7620364,61064.5309716,434.1293629,42597.0096621,13010.6135469,13010.6135469,15337.4160959,9700.2336570,13010.6135469,7763.7620364,61064.5309716,418.7084562,42597.0096621,13010.6135469,13010.6135469,15337.4160959,9700.2336570
-0.3891667,-0.3891667,-0.4075881,11455.7753957,6823.2995705,53919.9182899,371.9616620,37608.1438881,11455.7753957,11455.7753957,13504.5125514,8541.0036706,11455.7753957,6823.2995705,53919.9182899,356.7287856,37608.1438881,11455.7753957,11455.7753957,13504.5125514,8541.0036706
-0.3841667,-0.3841667,-0.4025881,10112.8433365,6011.1697356,47747.1137215,318.3023707,33297.9258708,10112.8433365,10112.8433365,11921.4121306,7539.7630516,10112.8433365,6011.1697356,47747.1137215,303.3460081,33297.9258708,10112.8433365,10112.8433365,11921.4121306,7539.7630516
-0.3791667,-0.3791667,-0.3975881,8981.6649369,5327.2244876,42546.0918575,273.0939529,29666.3154512,8981.6649369,8981.6649369,10587.9351404,6696.3981524,8981.6649369,5327.2244876,42546.0918575,258.5013356,29666.3154512,8981.6649369,8981.6649369,10587.9351404,6696.3981524
-0.3741667,-0.3741667,-0.3925881,8059.5541222,4769.7848935,38305.1654641,236.1914021,26705.1300211,8059.5541222,8059.5541222,9500.9151317,6008.9063344,8059.5541222,4769.7848935,38305.1654641,222.0365070,26705.1300211,8059.5541222,8059.5541222,9500.9151317,6008.9063344
-0.3691667,-0.3691667,-0.3875881,7342.5617553,4336.4130967,35006.7823292,207.4087626,24402.0936652,7342.5617553,7342.5617553,8655.6967083,5474.3432668,7342.5617553,4336.4130967,35006.7823292,193.7476839,24402.0936652,7342.5617553,7342.5617553,8655.6967083,5474.3432668
-0.3641667,-0.3641667,-0.3825881,6819.6436978,4020.8308030,32595.3357680,186.5570990,22718.5392504,6819.6436978,6819.6436978,8039.2606115,5084.4748472,6819.6436978,4020.8308030,32595.3357680,173.4311660,22718.5392504,6819.6436978,6819.6436978,8039.2606115,5084.4748472
-0.3591667,-0.3591667,-0.3775881,6481.3297608,3816.3361839,31039.0790790,173.4737650,21631.9081715,6481.3297608,6481.3297608,7640.4430150,4832.2404520,6481.3297608,3816.3361839,31039.0790790,160.2187841,21631.9081715,6481.3297608,6481.3297608,7640.4430150,4832.2404520
-0.3541667,-0.3541667,-0.3725881,6337.9821607,3729.6789635,30379.8010072,168.0424117,21171.5737270,6337.9821607,6337.9821607,7471.4593018,4725.3657678,6337.9821607,3729.6789635,30379.8010072,154.5501794,21171.5737270,6337.9821607,6337.9821607,7471.4593018,4725.3657678
-0.3491667,-0.3491667,-0.3675881,6387.8849942,3759.8108780,30609.7422885,170.2048497,21332.1136924,6387.8849942,6387.8849942,7530.2866983,4762.5714802,6387.8849942,3759.8108780,30609.7422885,156.4899566,21332.1136924,6387.8849942,6387.8849942,7530.2866983,4762.5714802
-0.3441667,-0.3441667,-0.3625881,6631.2026462,3906.8338846,31729.6277423,179.9667941,22114.0352015,6631.2026462,6631.2026462,7817.1189879,4943.9801485,6631.2026462,3906.8338846,31729.6277423,166.0470536,22114.0352015,6631.2026462,6631.2026462,7817.1189879,4943.9801485
-0.3391667,-0.3391667,-0.3575881,7069.9061477,4171.9554404,33748.3300164,197.4007592,23523.5398782,7069.9061477,7069.9061477,8334.2796983,5271.0613007,7069.9061477,4171.9554404,33748.3300164,183.3144404,23523.5398782,7069.9061477,7069.9061477,8334.2796983,5271.0613007
-0.3341667,-0.3341667,-0.3525881,7707.4706667,4557.3048131,36681.4881541,222.6485046,25571.5589379,7707.4706667,7707.4706667,9085.8654925,5746.4058941,7707.4706667,4557.3048131,36681.4881541,208.4563873,25571.5589379,7707.4706667,7707.4706667,9085.8654925,5746.4058941
-0.3291667,-0.3291667,-0.3475881,8548.3433235,5065.6099096,40549.0775564,255.9163616,28272.0558547,8548.3433235,8548.3433235,10077.1188084,6373.3295374,8548.3433235,5065.6099096,40549.0775564,241.6860486,28272.0558547,8548.3433235,8548.3433235,10077.1188084,6373.3295374
-0.3241667,-0.3241667,-0.3425881,9597.1813311,5699.7345833,45371.9318016,297.4485311,31639.5969021,9597.1813311,9597.1813311,11313.5297496,7155.3044770,9597.1813311,5699.7345833,45371.9318016,283.2333254,31639.5969021,9597.1813311,9597.1813311,11313.5297496,7155.3044770
-0.3191667,-0.3191667,-0.3375881,10857.8656756,6462.0795395,51167.2407340,347.4745870,35686.2065990,10857.8656756,10857.8656756,12799.6733728,8095.2242328,10857.8656756,6462.0795395,51167.2407340,333.3031820,35686.2065990,10857.8656756,10857.8656756,12799.6733728,8095.2242328
-0.3141667,-0.3141667,-0.3325881,12332.3066281,7353.8566742,57943.0999063,406.1449795,40417.5604819,12332.3066281,12332.3066281,14537.8015799,9194.5130328,12332.3066281,7353.8566742,57943.0999063,392.0250467,40417.5604819,12332.3066281,12332.3066281,14537.8015799,9194.5130328
-0.3091667,-0.3091667,-0.3275881,14019.0752150,8374.2575120,65692.2678767,473.4671575,45828.6244940,14019.0752150,14019.0752150,16526.2298414,10452.1054868,14019.0752150,8374.2575120,65692.2678767,459.3946812,45828.6244940,14019.0752150,14019.0752150,16526.2298414,10452.1054868
-0.3041667,-0.3041667,-0.3225881,15911.9193197,9519.5513260,74385.3998763,549.2440156,51898.9285240,15911.9193197,15911.9193197,18757.5879194,11863.3402472,15911.9193197,9519.5513260,74385.3998763,535.2109446,51898.9285240,15911.9193197,15911.9193197,18757.5879194,11863.3402472
-0.2991667,-0.2991667,-0.3175881,17998.2530468,10782.1667271,83964.1629381,633.0129931,58587.7570296,17998.2530468,17998.2530468,21217.0390723,13418.8337346,17998.2530468,10782.1667271,83964.1629381,619.0111541,58587.7570296,17998.2530468,17998.2530468,21217.0390723,13418.8337346
-0.2941667,-0.2941667,-0.3125881,20257.7403870,12149.8302155,94334.7852599,723.9877384,65829.6428427,20257.7403870,20257.7403870,23880.6104230,15103.4241704,20257.7403870,12149.8302155,94334.7852599,710.0101327,65829.6428427,20257.7403870,20257.7403870,23880.6104230,15103.4241704
-0.2891667,-0.2891667,-0.3075881,22661.1243335,13604.8535063,105362.7297200,821.0083667,73530.6460601,22661.1243335,22661.1243335,26713.8126769,16895.2986092,22661.1243335,13604.8535063,105362.7297200,807.0493316,73530.6460601,22661.1243335,22661.1243335,26713.8126769,16895.2986092
-0.2841667,-0.2841667,-0.3025881,25169.4740688,15123.6745047,116869.2790651,922.0866148,81565.9681089,25169.4740688,25169.4740688,29670.7526757,18765.4316693,25169.4740688,15123.6745047,116869.2790651,908.5633524,81565.9681089,25169.4740688,25169.4740688,29670.7526757,18765.4316693
-0.2791667,-0.2791667,-0.2975881,27014.3774517,16228.7476106,125477.7839131,985.7882623,87572.6743864,27014.3774517,27014.3774517,31845.5963707,20140.9235955,27014.3774517,16228.7476106,125477.7839131,971.8747778,87572.6743864,27014.3774517,27014.3774517,31845.5963707,20140.9235955
-0.2741667,-0.2741667,-0.2925881,28674.9858470,17235.5771513,133079.5215996,1054.2415600,92881.6963102,28674.9858470,28674.9858470,33803.1859831,21379.0119754,28674.9858470,17235.5771513,133079.5215996,1040.3273202,92881.6963102,28674.9858470,28674.9858470,33803.1859831,21379.0119754
-0.2691667,-0.2691667,-0.2875881,30433.7672279,18301.9187367,141130.7896722,1126.7318169,98504.6641941,30433.7672279,30433.7672279,35876.5057204,22690.2945129,30433.7672279,18301.9187367,141130.7896722,1112.8168754,98504.6641941,30433.7672279,30433.7672279,35876.5057204,22690.2945129
-0.2641667,-0.2641667,-0.2825881,32179.8750460,19360.5909877,149123.8649063,1198.7134672,104086.9963521,32179.8750460,32179.8750460,37934.8853700,23992.1281093,32179.8750460,19360.5909877,149123.8649063,1184.7978537,104086.9963521,32179.8750460,32179.8750460,37934.8853700,23992.1281093
-0.2591667,-0.2591667,-0.2775881,33816.8108618,20353.1093649,156616.7346785,1266.2300719,109320.0021244,33816.8108618,33816.8108618,39864.5688273,25212.5670869,33816.8108618,20353.1093649,156616.7346785,1252.3138089,109320.0021244,33816.8108618,33816.8108618,39864.5688273,25212.5670869
-0.2541667,-0.2541667,-0.2725881,35260.4386733,21228.4799200,163224.0353901,1325.8302775,113934.5523699,35260.4386733,35260.4386733,41566.3733080,26288.8827452,35260.4386733,21228.4799200,163224.0353901,1311.9133847,113934.5523699,35260.4386733,35260.4386733,41566.3733080,26288.8827452
-0.2491667,-0.2491667,-0.2675881,36439.0221992,21943.2220603,168617.2212145,1374.5695079,117701.1973833,36439.0221992,36439.0221992,42955.7333006,27167.5911585,36439.0221992,21943.2220603,168617.2212145,1360.6520017,117701.1973833,36439.0221992,36439.0221992,42955.7333006,27167.5911585
-0.2441667,-0.2441667,-0.2625881,37294.3722254,22462.0657322,172529.7975956,1410.0587189,120433.8225713,37294.3722254,37294.3722254,43964.0531014,27805.3085946,37294.3722254,22462.0657322,172529.7975956,1396.1406120,120433.8225713,37294.3722254,37294.3722254,43964.0531014,27805.3085946
-0.2391667,-0.2391667,-0.2575881,37783.3848189,22758.8861360,174764.3374036,1430.5297820,121994.5493498,37783.3848189,37783.3848189,44540.5201216,28169.8983506,37783.3848189,22758.8861360,174764.3374036,1416.6110818,121994.5493498,37783.3848189,37783.3848189,44540.5201216,28169.8983506
-0.2341667,-0.2341667,-0.2525881,37879.4028797,22817.5312274,175198.6896253,1434.8934889,122298.0720696,37879.4028797,37879.4028797,44653.7099374,28241.4858757,37879.4028797,22817.5312274,175198.6896253,1420.9741956,122298.0720696,37879.4028797,37879.4028797,44653.7099374,28241.4858757
-0.2291667,-0.2291667,-0.2475881,37572.9782488,22632.2851978,173789.4509801,1422.7723003,121314.0831476,37572.9782488,37572.9782488,44292.4846925,28013.0269713,37572.9782488,22632.2851978,173789.4509801,1408.8524046,121314.0831476,37572.9782488,37572.9782488,44292.4846925,28013.0269713
-0.2241667,-0.2241667,-0.2425881,36871.7633244,22207.8032977,170571.4632733,1394.4963860,119066.9222370,36871.7633244,36871.7633244,43465.8653305,27490.2269829,36871.7633244,22207.8032977,170571.4632733,1380.5758661,119066.9222370,36871.7633244,36871.7633244,43465.8653305,27490.2269829
-0.2191667,-0.2191667,-0.2375881,35799.4183355,21558.4488680,165652.8166552,1351.0581600,115632.0863442,35799.4183355,35799.4183355,42201.7434477,26690.7261049,35799.4183355,21558.4488680,165652.8166552,1337.1369776,115632.0863442,35799.4183355,35799.4183355,42201.7434477,26690.7261049
-0.2141667,-0.2141667,-0.2325881,34393.5716874,20707.0553294,159205.5292218,1294.0269161,111129.7199503,34393.5716874,34393.5716874,40544.4768683,25642.5786887,34393.5716874,20707.0553294,159205.5292218,1280.1050115,111129.7199503,34393.5716874,34393.5716874,40544.4768683,25642.5786887
-0.2091667,-0.2091667,-0.2275881,32703.0004947,19683.2146727,151452.6653231,1225.4306602,105715.6176612,32703.0004947,32703.0004947,38551.5659477,24382.1511522,32703.0004947,19683.2146727,151452.6653231,1211.5079455,105715.6176612,32703.0004947,32703.0004947,38551.5659477,24382.1511522
-0.2041667,-0.2041667,-0.2225881,30784.2920721,18521.2508741,142653.0824332,1147.6161904,99570.5705006,30784.2920721,30784.2920721,36289.7180080,22951.6329101,30784.2920721,18521.2508741,142653.0824332,1133.6925416,99570.5705006,30784.2920721,30784.2920721,36289.7180080,22951.6329101
-0.1991667,-0.1991667,-0.2175881,28698.2955183,17258.0660284,133085.2173290,1063.1005082,92889.0412559,28698.2955183,28698.2955183,33830.6643281,21396.3908067,28698.2955183,17258.0660284,133085.2173290,1049.1757556,92889.0412559,28698.2955183,28698.2955183,33830.6643281,21396.3908067
-0.1941667,-0.1941667,-0.2125881,26506.6738936,15931.0477987,123031.3287966,974.4266831,85868.1587908,26506.6738936,26506.6738936,31247.0957161,19762.3985456,26506.6738936,15931.0477987,123031.3287966,960.5006030,85868.1587908,26506.6738936,26506.6738936,31247.0957161,19762.3985456
-0.1891667,-0.1891667,-0.2075881,24268.8277266,14576.2026047,112763.4329021,884.0355819,78697.8946817,24268.8277266,24268.8277266,28609.0358200,18093.9429705,24268.8277266,14576.2026047,112763.4329021,870.1078993,78697.8946817,24268.8277266,24268.8277266,28609.0358200,18093.9429705
-0.1841667,-0.1841667,-0.2025881,22039.3914044,13226.6369242,102531.8514000,794.1619102,71553.0651690,22039.3914044,22039.3914044,25980.8897753,16431.7574655,22039.3914044,13226.6369242,102531.8514000,780.2323435,71553.0651690,22039.3914044,22039.3914044,25980.8897753,16431.7574655
-0.1791667,-0.1791667,-0.1975881,19866.4200082,11911.4580425,92556.9107510,706.7594225,64587.5338157,19866.4200082,19866.4200082,23419.3067762,14811.6701270,19866.4200082,11911.4580425,92556.9107510,692.8278470,64587.5338157,19866.4200082,19866.4200082,23419.3067762,14811.6701270
-0.1741667,-0.1741667,-0.1925881,17790.2997761,10655.1143203,83023.9442190,623.4565523,57930.7213370,17790.2997761,17790.2997761,20971.8956876,13263.7914448,17790.2997761,10655.1143203,83023.9442190,609.5234294,57930.7213370,17790.2997761,17790.2997761,20971.8956876,13263.7914448
-0.1691667,-0.1691667,-0.1875881,15843.3422624,9477.1506391,74081.4158361,545.5406614,51686.2959937,15843.3422624,15843.3422624,18676.7466232,11812.2117223,15843.3422624,9477.1506391,74081.4158361,531.6079122,51686.2959937,15843.3422624,15843.3422624,18676.7466232,11812.2117223
-0.1641667,-0.1641667,-0.1825881,14049.9678604,8392.3216494,65841.7366069,473.9669959,45932.7444223,14049.9678604,14049.9678604,16562.6472904,10475.1379040,14049.9678604,8392.3216494,65841.7366069,460.0393506,45932.7444223,14049.9678604,14049.9678604,16562.6472904,10475.1379040
-0.1591667,-0.1591667,-0.1775881,12427.3515496,7410.9855359,58384.1933643,409.3873949,40725.4180410,12427.3515496,12427.3515496,14649.8442214,9265.3750212,12427.3515496,7410.9855359,58384.1933643,395.4737737,40725.4180410,12427.3515496,12427.3515496,14649.8442214,9265.3750212
-0.1541667,-0.1541667,-0.1725881,10986.3914787,6539.6935977,51759.3545057,352.1934598,36099.6109361,10986.3914787,10986.3914787,12951.1845767,8191.0483319,10986.3914787,6539.6935977,51759.3545057,338.3073077,36099.6109361,10986.3914787,10986.3914787,12951.1845767,8191.0483319
-0.1491667,-0.1491667,-0.1675881,9732.8655438,5781.8937301,45994.3372878,302.5686373,32074.2394230,9732.8655438,9732.8655438,11473.4795644,7256.4656222,9732.8655438,5781.8937301,45994.3372878,288.7259714,32074.2394230,9732.8655438,9732.8655438,11473.4795644,7256.4656222
-0.1441667,-0.1441667,-0.1625881,8668.6573249,5138.6757580,41098.3950427,260.5432624,28655.7449595,8668.6573249,8668.6573249,10218.9496219,6463.0312199,8668.6573249,5138.6757580,41098.3950427,246.7581427,28655.7449595,8668.6573249,8668.6573249,10218.9496219,6463.0312199
-0.1391667,-0.1391667,-0.1575881,7792.9553023,4609.5002939,37068.3853918,226.0468922,25841.9138374,7792.9553023,7792.9553023,9186.6380980,5810.1400859,7792.9553023,4609.5002939,37068.3853918,212.3256638,25841.9138374,7792.9553023,7792.9553023,9186.6380980,5810.1400859
