# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
-0.8890250,-0.8890250,-0.6828214,1469.5242162,-5124.7482216,11894.7939148,73.4999673,4381.0055978,-1505.8216427,4278.6748475,1729.5349320,1099.6027349
-0.8840250,-0.8840250,-0.6778214,1522.6267191,-5105.6861595,12117.8552631,76.0150352,4537.7015741,-1474.9019721,4331.7243002,1792.1342291,1139.1938540
-0.8790250,-0.8790250,-0.6728214,1595.1885874,-5080.1983563,12431.6944477,79.2926782,4758.0020822,-1433.6298757,4406.3674718,1863.7373449,1192.8569798
-0.8740250,-0.8740250,-0.6678214,1647.8781297,-5048.7329444,12838.3670653,82.9121302,4910.6255549,-1382.7273340,4446.3590324,1924.1443466,1232.5768338
-0.8690250,-0.8690250,-0.6628214,1707.9072659,-5011.8385924,12848.9235742,86.1291981,5088.9485375,-1323.0793132,4447.9125085,1994.9090216,1277.3323456
-0.8640250,-0.8640250,-0.6578214,1672.3271847,-4970.1546378,12815.3884781,86.4738018,4895.3159266,-1278.1317269,4461.4961211,1952.9658414,1250.8051494
-0.8590250,-0.8590250,-0.6528214,1466.2715735,-5049.5545094,11987.9419323,77.0176884,4305.8559393,-1461.6447676,4311.7316867,1725.7005907,1097.1776848
-0.8540250,-0.8540250,-0.6478214,1305.2099656,-5128.1981864,11333.9238268,68.1805748,3844.4681059,-1623.6073278,4176.3730480,1535.8349176,977.0960895
-0.8490250,-0.8490250,-0.6428214,1179.2775500,-5187.4700492,10822.0536384,61.1310043,3483.2192874,-1750.3647499,4074.2720711,1387.3808996,883.2055245
-0.8440250,-0.8440250,-0.6378214,1080.8488888,-5231.9260704,10421.5979450,55.5264151,3200.4695502,-1865.1879810,3936.7610247,1271.3493745,809.8207446
-0.8390250,-0.8390250,-0.6328214,1004.0046467,-5265.1442199,10009.7271823,51.0401287,2979.3818510,-1942.7184074,3828.3189064,1180.7624001,752.5285113
-0.8340250,-0.8340250,-0.6278214,944.1354817,-5290.8717259,9660.6554053,47.4238955,2806.8145030,-2003.2101496,3743.5711445,1110.1863348,707.8917806
-0.8290250,-0.8290250,-0.6228214,897.5774907,-5321.4837639,9391.6253802,44.5130875,2672.5014135,-2050.2589573,3678.2698126,1055.3480328,673.0612474
-0.8240250,-0.8240250,-0.6178214,856.2589394,-5345.2222354,9189.2184860,42.1944658,2535.0712343,-2086.6595318,3629.1375244,1006.7335449,642.1146442
-0.8190250,-0.8190250,-0.6128214,820.2805538,-5363.4638828,9043.1578103,40.3836116,2431.1901281,-2114.5642253,3593.6706996,964.1886600,615.5197821
-0.8140250,-0.8140250,-0.6078214,795.8100129,-5389.4627680,8945.7391080,39.0490133,2361.4905890,-2135.5988745,3569.9964038,935.3362356,597.2957469
-0.8090250,-0.8090250,-0.6028214,781.7709328,-5422.8665459,8891.4279134,38.2108075,2322.0811790,-2150.9466078,3556.7709907,918.7871840,586.8254516
-0.8040250,-0.8040250,-0.5978214,777.2653710,-5438.8384768,8876.5902387,37.8652419,2310.4073169,-2161.4074338,3553.1122429,913.4934538,583.4150619
-0.7990250,-0.7990250,-0.5928214,780.5677110,-5437.8621468,8899.3344574,37.9381106,2325.1396920,-2167.4389481,3545.3227327,917.6680099,585.5090295
-0.7940250,-0.7940250,-0.5878214,781.2377332,-5419.7475480,8959.4499551,38.3297318,2328.3796215,-2169.1814317,3537.7004950,918.1626724,586.4134187
-0.7890250,-0.7890250,-0.5828214,784.1595899,-5397.8500762,9058.4348089,38.9918757,2334.8929894,-2166.4688275,3535.6050770,921.6005193,588.6200628
-0.7840250,-0.7840250,-0.5778214,791.9778325,-5393.0322541,9199.6108526,39.8994126,2355.4939911,-2158.8254813,3539.5144751,930.8169644,594.4491379
-0.7790250,-0.7790250,-0.5728214,805.5100401,-5384.5459623,9281.4352297,40.9264961,2392.5880150,-2145.4470278,3550.4413872,946.7692557,604.5382529
-0.7740250,-0.7740250,-0.5678214,825.9328210,-5371.6626702,9362.6862973,41.9188926,2449.6553601,-2125.1623096,3569.9980405,970.8444246,619.7646544
-0.7690250,-0.7690250,-0.5628214,854.6721206,-5355.8519865,9479.0698479,42.9001755,2531.4301599,-2096.3716530,3600.4901425,1004.8205999,640.9891609
-0.7640250,-0.7640250,-0.5578214,874.2240045,-5349.7375757,9582.1816744,44.0820197,2598.0144407,-2080.7345972,3645.0454940,1027.7726679,655.7634200
-0.7590250,-0.7590250,-0.5528214,900.9722898,-5334.6321923,9699.1682935,45.7384376,2678.9836148,-2054.7327875,3707.7858659,1059.3038599,675.7113835
-0.7540250,-0.7540250,-0.5478214,943.4012843,-5309.3529302,9879.6344094,48.1209684,2804.7341362,-2012.9693684,3794.0542094,1109.3208049,707.3448794
-0.7490250,-0.7490250,-0.5428214,1003.8368282,-5272.3960324,10132.9842774,51.4534098,2981.8951870,-1953.1110355,3910.7132676,1180.5645691,752.4033922
-0.7440250,-0.7440250,-0.5378214,1085.1768142,-5221.8839920,10470.8606010,55.9530599,3218.6757595,-1872.2508359,4011.3222655,1276.4513008,813.0474861
-0.7390250,-0.7390250,-0.5328214,1191.0025228,-5155.4918004,10907.5540019,61.6851654,3525.1546832,-1751.1563291,4117.5202753,1401.2027525,891.9472318
-0.7340250,-0.7340250,-0.5278214,1290.3648963,-5152.3910589,11425.2360507,65.6135550,3846.7998253,-1680.1950545,4245.2837513,1518.3349759,966.0280907
-0.7290250,-0.7290250,-0.5228214,1269.4173513,-5165.3777224,11333.4350670,65.1640759,3782.4863761,-1701.1625938,4224.3561970,1493.6411950,950.4104362
-0.7240250,-0.7240250,-0.5178214,1266.2457275,-5167.0875332,11315.3259461,65.1255037,3769.9756107,-1704.3404374,4221.1907931,1489.9023619,948.0457905
-0.7190250,-0.7190250,-0.5128214,1284.6624071,-5155.1178482,11386.7202657,66.0901732,3820.3700405,-1685.9221473,4239.6058621,1511.6126583,961.7765876
-0.7140250,-0.7140250,-0.5078214,1327.1276821,-5175.4888738,11565.0438002,66.4648052,3945.9098806,-1665.1168182,4205.3457969,1561.9815275,992.9972749
-0.7090250,-0.7090250,-0.5028214,1258.0591486,-5219.8001155,11340.9173755,63.8143327,3754.6091299,-1735.8610263,4112.2507517,1480.2517050,941.9421792
-0.7040250,-0.7040250,-0.4978214,1205.6749447,-5252.7309116,11075.9974046,61.0449516,3598.7299061,-1803.9449399,4036.2992725,1418.4991727,902.8864485
-0.6990250,-0.6990250,-0.4928214,1172.2617712,-5273.9269693,10823.3862843,59.1628001,3499.0095976,-1837.5086118,3976.6020157,1379.1104273,877.9748186
-0.6940250,-0.6940250,-0.4878214,1158.3324061,-5283.0749898,10635.1540150,58.1500154,3456.9474086,-1851.6856679,3932.1917948,1362.6899513,867.5895974
-0.6890250,-0.6890250,-0.4828214,1164.3541824,-5279.8843932,10506.9705123,57.8352595,3473.9070656,-1846.0097370,3902.0409013,1369.7911889,872.0653104
-0.6840250,-0.6840250,-0.4778214,1163.7812789,-5264.0810754,10434.2823562,57.9549415,3478.7873609,-1820.0455814,3885.0702464,1369.1133455,871.6513321
-0.6790250,-0.6790250,-0.4728214,1158.3051338,-5235.4145066,10412.3238215,58.2962355,3462.5802578,-1773.4002079,3880.1517274,1362.6578016,867.5692644
-0.6740250,-0.6740250,-0.4678214,1163.6219503,-5193.6787935,10436.1063597,58.7554953,3478.3682592,-1690.1149479,3886.1054250,1368.9254712,871.5332867
-0.6690250,-0.6690250,-0.4628214,1178.4972319,-5149.2034594,10434.9152904,58.2618142,3522.4821262,-1670.1636101,3867.5093786,1386.4613430,882.6207519
-0.6640250,-0.6640250,-0.4578214,1103.9158387,-5203.5504108,10127.8722974,54.7402203,3270.1706963,-1804.7543123,3801.6041547,1298.5416055,827.0183120
-0.6590250,-0.6590250,-0.4528214,1021.7561472,-5326.3840357,9793.4266776,50.2335262,3018.9173886,-1932.0306354,3742.1760896,1201.9697209,765.3492949
-0.6540250,-0.6540250,-0.4478214,899.7492335,-5433.9504632,9544.8332259,45.5528661,2658.2082521,-2058.1608569,3683.1520078,1057.8620736,674.7995201
