# r[nm],ssd(r)[nm]
-1.4853504,-1.4853504
-1.4803504,-1.4803504
-1.4753504,-1.4753504
-1.4703504,-1.4703504
-1.4653504,-1.4653504
-1.4603504,-1.4603504
-1.4553504,-1.4553504
-1.4503504,-1.4503504
-1.4453504,-1.4453504
-1.4403504,-1.4403504
-1.4353504,-1.4353504
-1.4303504,-1.4303504
-1.4253504,-1.4253504
-1.4203504,-1.4203504
-1.4153504,-1.4153504
-1.4103504,-1.4103504
-1.4053504,-1.4053504
-1.4003504,-1.4003504
-1.3953504,-1.3953504
-1.3903504,-1.3903504
-1.3853504,-1.3853504
-1.3803504,-1.3803504
-1.3753504,-1.3753504
-1.3703504,-1.3703504
-1.3653504,-1.3653504
-1.3603504,-1.3603504
-1.3553504,-1.3553504
-1.3503504,-1.3503504
-1.3453504,-1.3453504
-1.3403504,-1.3403504
-1.3353504,-1.3353504
-1.3303504,-1.3303504
-1.3253504,-1.3253504
-1.3203504,-1.3203504
-1.3153504,-1.3153504
-1.3103504,-1.3103504
-1.3053504,-1.3053504
-1.3003504,-1.3003504
-1.2953504,-1.2953504
-1.2903504,-1.2903504
-1.2853504,-1.2853504
-1.2803504,-1.2803504
-1.2753504,-1.2753504
-1.2703504,-1.2703504
-1.2653504,-1.2653504
-1.2603504,-1.2603504
-1.2553504,-1.2553504
-1.2503504,-1.2503504
-1.2453504,-1.2453504
-1.2403504,-1.2403504
-1.2353504,-1.2353504
-1.2303504,-1.2303504
-1.2253504,-1.2253504
-1.2203504,-1.2203504
-1.2153504,-1.2153504
-1.2103504,-1.2103504
-1.2053504,-1.2053504
-1.2003504,-1.2003504
-1.1953504,-1.1953504
-1.1903504,-1.1903504
-1.1853504,-1.1853504
-1.1803504,-1.1803504
-1.1753504,-1.1753504
-1.1703504,-1.1703504
-1.1653504,-1.1653504
-1.1603504,-1.1603504
-1.1553504,-1.1553504
-1.1503504,-1.1503504
-1.1453504,-1.1453504
-1.1403504,-1.1403504
-1.1353504,-1.1353504
-1.1303504,-1.1303504
-1.1253504,-1.1253504
-1.1203504,-1.1203504
-1.1153504,-1.1153504
-1.1103504,-1.1103504
-1.1053504,-1.1053504
-1.1003504,-1.1003504
-1.0953504,-1.0953504
-1.0903504,-1.0903504
-1.0853504,-1.0853504
-1.0803504,-1.0803504
-1.0753504,-1.0753504
-1.0703504,-1.0703504
-1.0653504,-1.0653504
-1.0603504,-1.0603504
-1.0553504,-1.0553504
-1.0503504,-1.0503504
-1.0453504,-1.0453504
-1.0403504,-1.0403504
-1.0353504,-1.0353504
-1.0303504,-1.0303504
-1.0253504,-1.0253504
-1.0203504,-1.0203504
-1.0153504,-1.0153504
-1.0103504,-1.0103504
-1.0053504,-1.0053504
-1.0003504,-1.0003504
-0.9953504,-0.9953504
-0.9903504,-0.9903504
-0.9853504,-0.9853504
-0.9803504,-0.9803504
-0.9753504,-0.9753504
-0.9703504,-0.9703504
-0.9653504,-0.9653504
-0.9603504,-0.9603504
-0.9553504,-0.9553504
-0.9503504,-0.9503504
-0.9453504,-0.9453504
-0.9403504,-0.9403504
-0.9353504,-0.9353504
-0.9303504,-0.9303504
-0.9253504,-0.9253504
-0.9203504,-0.9203504
-0.9153504,-0.9153504
-0.9103504,-0.9103504
-0.9053504,-0.9053504
-0.9003504,-0.9003504
-0.8953504,-0.8953504
-0.8903504,-0.8903504
-0.8853504,-0.8853504
-0.8803504,-0.8803504
-0.8753504,-0.8753504
-0.8703504,-0.8703504
-0.8653504,-0.8653504
-0.8603504,-0.8603504
-0.8553504,-0.8553504
-0.8503504,-0.8503504
-0.8453504,-0.8453504
-0.8403504,-0.8403504
-0.8353504,-0.8353504
-0.8303504,-0.8303504
-0.8253504,-0.8253504
-0.8203504,-0.8203504
-0.8153504,-0.8153504
-0.8103504,-0.8103504
-0.8053504,-0.8053504
-0.8003504,-0.8003504
-0.7953504,-0.7953504
-0.7903504,-0.7903504
-0.7853504,-0.7853504
-0.7803504,-0.7803504
-0.7753504,-0.7753504
-0.7703504,-0.7703504
-0.7653504,-0.7653504
-0.7603504,-0.7603504
-0.7553504,-0.7553504
-0.7503504,-0.7503504
-0.7453504,-0.7453504
-0.7403504,-0.7403504
-0.7353504,-0.7353504
-0.7303504,-0.7303504
