# r[nm],ssd(r)[nm]
-0.2141708,-0.2141708
-0.2091708,-0.2091708
-0.2041708,-0.2041708
-0.1991708,-0.1991708
-0.1941708,-0.1941708
-0.1891708,-0.1891708
-0.1841708,-0.1841708
-0.1791708,-0.1791708
-0.1741708,-0.1741708
-0.1691708,-0.1691708
-0.1641708,-0.1641708
-0.1591708,-0.1591708
-0.1541708,-0.1541708
-0.1491708,-0.1491708
-0.1441708,-0.1441708
-0.1391708,-0.1391708
-0.1341708,-0.1341708
-0.1291708,-0.1291708
-0.1241708,-0.1241708
-0.1191708,-0.1191708
-0.1141708,-0.1141708
-0.1091708,-0.1091708
-0.1041708,-0.1041708
-0.0991708,-0.0991708
-0.0941708,-0.0941708
-0.0891708,-0.0891708
-0.0841708,-0.0841708
-0.0791708,-0.0791708
-0.0741708,-0.0741708
-0.0691708,-0.0691708
-0.0641708,-0.0641708
-0.0591708,-0.0591708
-0.0541708,-0.0541708
-0.0491708,-0.0491708
-0.0441708,-0.0441708
-0.0391708,-0.0391708
-0.0341708,-0.0341708
-0.0291708,-0.0291708
-0.0241708,-0.0241708
-0.0191708,-0.0191708
-0.0141708,-0.0141708
-0.0091708,-0.0091708
-0.0041708,-0.0041708
0.0008292,0.0008292
0.0058292,0.0058292
0.0108292,0.0061708
0.0158292,0.0011708
0.0208292,0.0001708
0.0258292,0.0008292
0.0308292,0.0021708
0.0358292,0.0018292
0.0408292,0.0001708
0.0458292,0.0001708
0.0508292,0.0008292
0.0558292,0.0058292
0.0608292,0.0108292
0.0658292,0.0158292
0.0708292,0.0208292
0.0758292,0.0258292
0.0808292,0.0308292
0.0858292,0.0358292
0.0908292,0.0408292
0.0958292,0.0458292
0.1008292,0.0508292
0.1058292,0.0558292
0.1108292,0.0608292
0.1158292,0.0658292
0.1208292,0.0708292
0.1258292,0.0758292
0.1308292,0.0808292
0.1358292,0.0858292
0.1408292,0.0908292
0.1458292,0.0958292
0.1508292,0.1008292
0.1558292,0.1058292
0.1608292,0.1108292
0.1658292,0.1158292
0.1708292,0.1208292
0.1758292,0.1258292
0.1808292,0.1308292
0.1858292,0.1358292
0.1908292,0.1408292
0.1958292,0.1458292
0.2008292,0.1508292
0.2058292,0.1558292
0.2108292,0.1608292
0.2158292,0.1658292
0.2208292,0.1708292
0.2258292,0.1758292
0.2308292,0.1808292
0.2358292,0.1858292
0.2408292,0.1908292
0.2458292,0.1958292
0.2508292,0.2008292
0.2558292,0.2058292
0.2608292,0.2108292
0.2658292,0.2158292
0.2708292,0.2208292
0.2758292,0.2258292
0.2808292,0.2308292
0.2858292,0.2358292
0.2908292,0.2408292
0.2958292,0.2458292
0.3008292,0.2508292
0.3058292,0.2558292
0.3108292,0.2608292
0.3158292,0.2658292
0.3208292,0.2708292
0.3258292,0.2758292
0.3308292,0.2808292
0.3358292,0.2858292
0.3408292,0.2908292
0.3458292,0.2958292
0.3508292,0.3008292
0.3558292,0.3058292
0.3608292,0.3108292
0.3658292,0.3158292
0.3708292,0.3208292
0.3758292,0.3258292
0.3808292,0.3308292
0.3858292,0.3358292
0.3908292,0.3408292
0.3958292,0.3458292
0.4008292,0.3508292
0.4058292,0.3558292
0.4108292,0.3608292
0.4158292,0.3658292
0.4208292,0.3708292
0.4258292,0.3758292
0.4308292,0.3808292
0.4358292,0.3858292
0.4408292,0.3908292
0.4458292,0.3958292
0.4508292,0.4008292
0.4558292,0.4058292
0.4608292,0.4108292
0.4658292,0.4158292
0.4708292,0.4208292
0.4758292,0.4258292
0.4808292,0.4308292
0.4858292,0.4358292
0.4908292,0.4408292
0.4958292,0.4458292
0.5008292,0.4508292
0.5058292,0.4558292
0.5108292,0.4608292
0.5158292,0.4658292
0.5208292,0.4708292
0.5258292,0.4758292
0.5308292,0.4808292
0.5358292,0.4858292
0.5408292,0.4908292
0.5458292,0.4958292
0.5508292,0.5008292
0.5558292,0.5058292
0.5608292,0.5108292
0.5658292,0.5158292
0.5708292,0.5208292
