# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
-1.5652449,-1.5652449,-1.5776404,2301.8134298,1415.1280260,10282.1137912,97.7616808,7193.6247807,2300.6124677,2303.0143918,2713.4669876,1731.7883066
-1.5602449,-1.5602449,-1.5726404,2336.2998074,1436.5557461,10431.0332427,99.4684330,7297.9889586,2335.0867772,2337.5128375,2754.1208677,1757.5000780
-1.5552449,-1.5552449,-1.5676404,2433.5988138,1497.0564619,10851.1336970,104.2794920,7592.4306037,2432.3736912,2434.8239363,2868.8207118,1830.0426146
-1.5502449,-1.5502449,-1.5626404,2594.3257456,1597.0179307,11545.0142055,112.2179533,8078.7734011,2593.0884961,2595.5629950,3058.2918557,1934.2336027
-1.5452449,-1.5452449,-1.5576404,2819.3778025,1737.0062244,12516.4571453,123.3277372,8759.6716096,2818.1283813,2820.6272237,3323.5919530,2102.0241169
-1.5402449,-1.5402449,-1.5526404,3109.7669062,1902.0202134,13769.7112580,137.6684200,9638.1073624,3108.5052579,3111.0285545,3665.9138963,2318.5275237
-1.5352449,-1.5352449,-1.5476404,3466.3893161,2123.9120577,15308.5037882,155.3000741,10716.6980182,3465.1153750,3467.6632571,4086.3142310,2584.4120410
-1.5302449,-1.5302449,-1.5426404,3889.7362243,2387.3598189,17134.7997815,176.2641550,11996.8262248,3888.4499144,3891.0225343,4585.3719935,2900.0438837
-1.5252449,-1.5252449,-1.5376404,4379.5531412,2692.2190434,19247.3421842,200.5641990,13477.6162747,4378.2543759,4380.8519065,5162.7871813,3265.2333135
-1.5202449,-1.5202449,-1.5326404,4934.4609361,3037.6448527,21640.0280577,228.1464147,15154.7955346,4933.1496189,4935.7722534,5816.9340219,3678.9521016
-1.5152449,-1.5152449,-1.5276404,5551.5577223,3421.8431085,24300.2033121,258.8795462,17019.4987197,5550.2337467,5552.8816979,6544.3916584,4139.0367082
-1.5102449,-1.5102449,-1.5226404,6226.0278829,3841.8259722,27206.9888229,292.5346934,19057.0941479,6224.6911330,6227.3646329,7339.4832550,4641.8967869
-1.5052449,-1.5052449,-1.5176404,6950.7916169,4293.1927040,30329.7810955,328.7669139,21246.1323501,6949.4419674,6952.1412665,8193.8628675,5182.2538993
-1.5002449,-1.5002449,-1.5126404,7716.2342442,4769.9602132,33627.0957173,367.1008153,23557.5350042,7714.8715611,7717.5969273,9096.1963377,5752.9396942
-1.4952449,-1.4952449,-1.5076404,8510.0577271,5264.4698880,37045.9355628,406.9224118,25954.1517788,8508.6818682,8511.4335860,10031.9862618,6344.7852086
-1.4902449,-1.4902449,-1.5026404,9317.2959171,5767.3966451,40521.8615707,447.4794254,28390.8097737,9315.9067324,9318.6851019,10983.5899633,6946.6322339
-1.4852449,-1.4852449,-1.4976404,10120.5286053,6267.8821317,43979.9162966,487.8918699,30814.9608803,10119.1259375,10121.9312730,11930.4718237,7545.4929047
-1.4802449,-1.4802449,-1.4926404,10900.3167820,6753.8060953,47336.4960584,527.1741053,33167.9942540,10898.9004675,10901.7330964,12849.7163842,8126.8742123
-1.4752449,-1.4752449,-1.4876404,11635.8627275,7212.1982077,50502.1869351,564.2685728,35387.2246077,11634.4325969,11637.2928582,13716.8064860,8675.2701439
-1.4702449,-1.4702449,-1.4826404,12305.8749568,7629.7778860,53385.4787238,598.0901981,37408.4961089,12304.4308353,12307.3190783,14506.6429002,9174.8065535
-1.4652449,-1.4652449,-1.4776404,12889.5921704,7993.5934887,55897.1600698,627.5790991,39169.2639085,12888.1338791,12891.0504617,15194.7514013,9610.0045817
-1.4602449,-1.4602449,-1.4726404,13367.8957845,8291.7169082,57955.0926644,651.7579581,40611.9414827,13366.4231409,13369.3684282,15758.5942612,9966.6101175
-1.4552449,-1.4552449,-1.4676404,13724.4214198,8513.9375812,59488.9801786,669.7894121,41687.2443109,13722.9342386,13725.9086011,16178.8805142,10232.4224833
-1.4502449,-1.4502449,-1.4626404,13946.5697795,8652.3937237,60444.7050131,681.0282943,42357.2305510,13945.0678735,13948.0716856,16440.7576206,10398.0481080
-1.4452449,-1.4452449,-1.4576404,14026.3194233,8702.0798855,60787.8148852,685.0636627,42597.7456399,14024.8026041,14027.8362425,16534.7695951,10457.5065014
-1.4402449,-1.4402449,-1.4526404,13960.7589824,8661.1793133,60505.8057780,681.7463317,42400.0229736,13959.2270617,13962.2909031,16457.4844035,10408.6270543
-1.4352449,-1.4352449,-1.4476404,13752.2830701,8531.1862969,59608.9622802,671.1990088,41771.2731097,13750.7358601,13753.8302802,16211.7249087,10253.1951023
-1.4302449,-1.4302449,-1.4426404,13408.4310393,8316.8054736,58129.6659520,653.8079512,40734.1988295,13406.8683537,13409.9937249,15806.3787924,9996.8317087
-1.4252449,-1.4252449,-1.4376404,12941.3857585,8025.6388172,56120.2453214,630.1970376,39325.4876713,12939.8074134,12942.9641035,15255.8076927,9648.6199709
-1.4202449,-1.4202449,-1.4326404,12367.1850239,7667.6931857,53649.5930702,601.1869873,37593.4400899,12365.5908388,12368.7792090,14578.9175862,9220.5170785
-1.4152449,-1.4152449,-1.4276404,11704.7259214,7254.7585995,50798.8947033,567.7439035,35594.9746476,11703.1157198,11706.3361231,13797.9850911,8726.6120018
-1.4102449,-1.4102449,-1.4226404,10974.6587282,6799.7175907,47656.8828072,530.9221549,33392.3005948,10973.0323384,10976.2851180,12937.3535551,8182.3008258
-1.4052449,-1.4052449,-1.4176404,10198.2702822,6315.8480431,44315.0453478,491.8067848,31049.5582528,10196.6275384,10199.9130261,12022.1167291,7603.4542320
-1.4002449,-1.4002449,-1.4126404,9396.4478798,5816.1763994,40863.1785043,451.4601653,28629.7009963,9394.7886225,9398.1071372,11076.8973682,7005.6450183
-1.3952449,-1.3952449,-1.4076404,8588.7963121,5312.9265806,37385.5955040,410.8766554,26191.8372199,8587.1203889,8590.4722352,10124.8063611,6403.4897938
-1.3902449,-1.3902449,-1.4026404,7792.9564172,4817.0948188,33958.1990789,370.9477549,23789.1778556,7791.2636840,7794.6491504,9186.6394123,5810.1409171
-1.3852449,-1.3852449,-1.3976404,7024.1476097,4338.1644127,30646.5140887,332.4388966,21467.6571284,7022.4379306,7025.8572887,8280.3377581,5236.9454222
-1.3802449,-1.3802449,-1.3926404,6294.9328949,3883.9594510,27504.6741843,295.9777783,19265.2222431,6293.2061434,6296.6596465,7420.7111569,4693.2698228
-1.3752449,-1.3752449,-1.3876404,5615.1855456,3460.6244747,24575.2734743,262.0531275,17211.7295662,5613.4416047,5616.9294866,6619.3986055,4186.4752668
-1.3702449,-1.3702449,-1.3826404,4992.2233200,3072.7087452,21889.9371139,231.0221112,15329.3448691,4990.4620832,4993.9845568,5885.0265614,3722.0176049
-1.3652449,-1.3652449,-1.3776404,4431.0690832,2723.3294089,19470.4345855,203.1242296,13633.3240600,4429.2904547,4432.8477118,5223.5161727,3303.6417001
-1.3602449,-1.3602449,-1.3726404,3934.7952610,2414.3869562,17330.1532243,178.4994239,12133.0464781,3932.9991563,3936.5913658,4638.4893344,2933.6382398
-1.3552449,-1.3552449,-1.3676404,3504.9124273,2146.8081787,15475.7617925,157.2081725,10833.1814153,3503.0987733,3506.7260814,4131.7267694,2613.1334522
-1.3502449,-1.3502449,-1.3626404,3141.7680001,1920.7953727,13908.9181635,139.2516875,9734.8855387,3139.9367359,3143.5992644,3703.6380276,2342.3863592
-1.3452449,-1.3452449,-1.3576404,2844.9280348,1751.7060253,12627.9052023,124.5913801,8836.9499440,2843.0791116,2846.7769580,3353.7115583,2121.0734279
-1.3402449,-1.3402449,-1.3526404,2613.5222561,1607.7039935,11629.1095606,113.1681410,8136.8370493,2611.6556378,2615.3888744,3080.9214472,1948.5458131
-1.3352449,-1.3352449,-1.3476404,2446.5388945,1503.7902882,10908.2856360,104.9215638,7631.5668405,2444.6545577,2448.4232313,2884.0749811,1839.6915640
