# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.8562106,1.8562106,1.8751089,-0.0107151,-2.5654246,-5.4608384
1.8612106,1.8612106,1.8801089,-0.0105951,-2.5443686,-5.4309715
1.8662106,1.8662106,1.8851089,-0.0104766,-2.5234571,-5.4012826
1.8712106,1.8712106,1.8901089,-0.0103598,-2.5026892,-5.3717707
1.8762106,1.8762106,1.8951089,-0.0102445,-2.4820640,-5.3424346
1.8812106,1.8812106,1.9001089,-0.0101307,-2.4615806,-5.3132732
1.8862106,1.8862106,1.9051089,-0.0100184,-2.4412382,-5.2842856
1.8912106,1.8912106,1.9101089,-0.0099077,-2.4210358,-5.2554707
1.8962106,1.8962106,1.9151089,-0.0097983,-2.4009727,-5.2268275
1.9012106,1.9012106,1.9201089,-0.0096904,-2.3810479,-5.1983548
1.9062106,1.9062106,1.9251089,-0.0095840,-2.3612606,-5.1700518
1.9112106,1.9112106,1.9301089,-0.0094789,-2.3416100,-5.1419173
1.9162106,1.9162106,1.9351089,-0.0093752,-2.3220951,-5.1139504
1.9212106,1.9212106,1.9401089,-0.0092728,-2.3027151,-5.0861501
1.9262106,1.9262106,1.9451089,-0.0091717,-2.2834693,-5.0585153
1.9312106,1.9312106,1.9501089,-0.0090720,-2.2643567,-5.0310450
1.9362106,1.9362106,1.9551089,-0.0089736,-2.2453766,-5.0037384
1.9412106,1.9412106,1.9601089,-0.0088764,-2.2265281,-4.9765943
1.9462106,1.9462106,1.9651089,-0.0087805,-2.2078104,-4.9496119
1.9512106,1.9512106,1.9701089,-0.0086858,-2.1892227,-4.9227901
1.9562106,1.9562106,1.9751089,-0.0085923,-2.1707642,-4.8961280
1.9612106,1.9612106,1.9801089,-0.0085001,-2.1524340,-4.8696247
1.9662106,1.9662106,1.9851089,-0.0084090,-2.1342314,-4.8432791
1.9712106,1.9712106,1.9901089,-0.0083190,-2.1161556,-4.8170903
1.9762106,1.9762106,1.9951089,-0.0082302,-2.0982058,-4.7910575
1.9812106,1.9812106,2.0001089,-0.0081426,-2.0803812,-4.7651796
1.9862106,1.9862106,2.0051089,-0.0080560,-2.0626810,-4.7394557
1.9912106,1.9912106,2.0101089,-0.0079705,-2.0451045,-4.7138850
1.9962106,1.9962106,2.0151089,-0.0078861,-2.0276508,-4.6884664
