# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
0.9716496,0.9716496,1.1622101,-0.0908627,-556.2116875,193.3150274,-0.0203403,-0.1591959,-274.0111361,100.6680635,-0.1071126,-0.0677438,-0.0931247,-566.3266804,184.1994135,-0.0208438,-0.1631684,-283.2181213,92.1179326,-0.1097790,-0.0694304
0.9766496,0.9766496,1.1672101,-0.0893356,-554.5604053,193.4446290,-0.0199979,-0.1565231,-273.1868854,100.7278835,-0.1053123,-0.0666052,-0.0915732,-564.6733242,184.3393432,-0.0204959,-0.1604526,-282.3905183,92.1875909,-0.1079500,-0.0682736
0.9816496,0.9816496,1.1722101,-0.0878398,-552.9150567,193.5723037,-0.0196624,-0.1539052,-272.3656667,100.7867524,-0.1035491,-0.0654900,-0.0900532,-563.0258136,184.4774901,-0.0201552,-0.1577919,-281.5658574,92.2563642,-0.1061582,-0.0671403
0.9866496,0.9866496,1.1772101,-0.0863747,-551.2756393,193.6980583,-0.0193339,-0.1513408,-271.5474779,100.8446754,-0.1018219,-0.0643977,-0.0885639,-561.3841491,184.6138589,-0.0198213,-0.1551851,-280.7441381,92.3242545,-0.1044026,-0.0660300
0.9916496,0.9916496,1.1822101,-0.0849394,-549.6421504,193.8219001,-0.0190121,-0.1488286,-270.7323166,100.9016575,-0.1001300,-0.0633276,-0.0871047,-559.7483303,184.7484542,-0.0194942,-0.1526307,-279.9253599,92.3912641,-0.1026824,-0.0649420
0.9966496,0.9966496,1.1872101,-0.0835333,-548.0145867,193.9438363,-0.0186968,-0.1463673,-269.9201802,100.9577041,-0.0984724,-0.0622793,-0.0856748,-558.1183564,184.8812809,-0.0191736,-0.1501275,-279.1095219,92.4573952,-0.1009967,-0.0638759
1.0016496,1.0016496,1.1922101,-0.0821556,-546.3929446,194.0638744,-0.0183879,-0.1439558,-269.1110658,101.0128201,-0.0968483,-0.0612521,-0.0842734,-556.4942260,185.0123438,-0.0188595,-0.1476744,-278.2966229,92.5226502,-0.0993448,-0.0628312
1.0066496,1.0066496,1.1972101,-0.0808056,-544.7772201,194.1820219,-0.0180853,-0.1415927,-268.3049706,101.0670110,-0.0952569,-0.0602456,-0.0829000,-554.8759373,185.1416482,-0.0185517,-0.1452700,-277.4866617,92.5870314,-0.0977257,-0.0618072
1.0116496,1.0116496,1.2022101,-0.0794827,-543.1674087,194.2982866,-0.0177887,-0.1392769,-267.5018914,101.1202820,-0.0936974,-0.0592593,-0.0815538,-553.2634878,185.2691992,-0.0182499,-0.1429132,-276.6796366,92.6505415,-0.0961388,-0.0608035
1.0166496,1.0166496,1.2072101,-0.0781862,-541.5635057,194.4126765,-0.0174980,-0.1370074,-266.7018248,101.1726383,-0.0921690,-0.0582927,-0.0802342,-551.6568746,185.3950023,-0.0179542,-0.1406030,-275.8755457,92.7131829,-0.0945832,-0.0598197
1.0216496,1.0216496,1.2122101,-0.0769155,-539.9655056,194.5251995,-0.0172132,-0.1347829,-265.9047673,101.2240853,-0.0906711,-0.0573453,-0.0789406,-550.0560944,185.5190630,-0.0176642,-0.1383381,-275.0743870,92.7749582,-0.0930582,-0.0588552
1.0266496,1.0266496,1.2172101,-0.0756700,-538.3734031,194.6358640,-0.0169340,-0.1326024,-265.1107151,101.2746282,-0.0892028,-0.0564167,-0.0776723,-548.4611434,185.6413869,-0.0173800,-0.1361176,-274.2761582,92.8358702,-0.0915631,-0.0579096
1.0316496,1.0316496,1.2222101,-0.0744491,-536.7871919,194.7446783,-0.0166603,-0.1304649,-264.3196645,101.3242724,-0.0877635,-0.0555064,-0.0764288,-546.8720171,185.7619797,-0.0171013,-0.1339404,-273.4808568,92.8959217,-0.0900972,-0.0569825
1.0366496,1.0366496,1.2272101,-0.0732521,-535.2068659,194.8516509,-0.0163920,-0.1283693,-263.5316113,101.3730233,-0.0863525,-0.0546140,-0.0752094,-545.2893323,185.8808473,-0.0168281,-0.1318055,-272.6888179,92.9551153,-0.0886598,-0.0560734
1.0416496,1.0416496,1.2322101,-0.0720786,-533.6324182,194.9567905,-0.0161290,-0.1263148,-262.7465514,101.4208861,-0.0849691,-0.0537391,-0.0740137,-543.7134405,185.9979958,-0.0165601,-0.1297119,-271.9001619,93.0134541,-0.0872502,-0.0551819
1.0466496,1.0466496,1.2372101,-0.0709280,-532.0638418,195.0601058,-0.0158711,-0.1243002,-261.9644803,101.4678664,-0.0836127,-0.0528812,-0.0728411,-542.1433141,186.1134310,-0.0162974,-0.1276586,-271.1144025,93.0709409,-0.0858679,-0.0543076
1.0516496,1.0516496,1.2422101,-0.0697997,-530.5011292,195.1616057,-0.0156182,-0.1223247,-261.1853935,101.5139694,-0.0822826,-0.0520400,-0.0716910,-540.5789483,186.2271593,-0.0160396,-0.1256448,-270.3315369,93.1275787,-0.0845121,-0.0534502
1.0566496,1.0566496,1.2472101,-0.0686932,-528.9442727,195.2612994,-0.0153703,-0.1203874,-260.4092864,101.5592006,-0.0809783,-0.0512151,-0.0705629,-539.0203379,186.3391869,-0.0157869,-0.1236695,-269.5515624,93.1833705,-0.0831823,-0.0526091
1.0616496,1.0616496,1.2522101,-0.0676081,-527.3932642,195.3591960,-0.0151271,-0.1184874,-259.6361540,101.6035652,-0.0796991,-0.0504060,-0.0694564,-537.4674774,186.4495201,-0.0155390,-0.1217319,-268.7744758,93.2383194,-0.0818779,-0.0517841
1.0666496,1.0666496,1.2572101,-0.0665438,-525.8480952,195.4553049,-0.0148886,-0.1166239,-258.8659914,101.6470688,-0.0784445,-0.0496125,-0.0683709,-535.9203607,186.5581655,-0.0152957,-0.1198310,-268.0002738,93.2924286,-0.0805982,-0.0509748
1.0716496,1.0716496,1.2622101,-0.0654998,-524.3087570,195.5496354,-0.0146546,-0.1147959,-258.0987935,101.6897168,-0.0772138,-0.0488342,-0.0673059,-534.3789815,186.6651294,-0.0150571,-0.1179661,-267.2289529,93.3457011,-0.0793428,-0.0501808
1.0766496,1.0766496,1.2672101,-0.0644758,-522.7752407,195.6421971,-0.0144252,-0.1130028,-257.3345548,101.7315144,-0.0760066,-0.0480707,-0.0662610,-532.8433328,186.7704185,-0.0148231,-0.1161364,-266.4605094,93.3981403,-0.0781111,-0.0494018
1.0816496,1.0816496,1.2722101,-0.0634712,-521.2475367,195.7329996,-0.0142001,-0.1112436,-256.5732702,101.7724672,-0.0748223,-0.0473217,-0.0652358,-531.3134075,186.8740396,-0.0145934,-0.1143410,-265.6949394,93.4497493,-0.0769025,-0.0486374
1.0866496,1.0866496,1.2772101,-0.0624856,-519.7256355,195.8220528,-0.0139792,-0.1095177,-255.8149339,101.8125804,-0.0736605,-0.0465869,-0.0642298,-529.7891980,186.9759994,-0.0143680,-0.1125792,-264.9322389,93.5005315,-0.0757166,-0.0478874
1.0916496,1.0916496,1.2822101,-0.0615185,-518.2095272,195.9093665,-0.0137626,-0.1078242,-255.0595402,101.8518595,-0.0725205,-0.0458659,-0.0632425,-528.2706965,187.0763046,-0.0141468,-0.1108502,-264.1724035,93.5504902,-0.0745528,-0.0471513
1.0966496,1.0966496,1.2872101,-0.0605697,-516.6992014,195.9949506,-0.0135500,-0.1061626,-254.3070835,101.8903099,-0.0714019,-0.0451585,-0.0622736,-526.7578945,187.1749623,-0.0139298,-0.1091534,-263.4154291,93.5996287,-0.0734106,-0.0464289
1.1016496,1.1016496,1.2922101,-0.0596385,-515.1946478,196.0788152,-0.0133414,-0.1045319,-253.5575576,101.9279369,-0.0703043,-0.0444642,-0.0613227,-525.2507835,187.2719793,-0.0137168,-0.1074880,-262.6613109,93.6479505,-0.0722896,-0.0457199
1.1066496,1.1066496,1.2972101,-0.0587247,-513.6958555,196.1609705,-0.0131366,-0.1029317,-252.8109566,101.9647459,-0.0692270,-0.0437830,-0.0603893,-523.7493545,187.3673628,-0.0135077,-0.1058532,-261.9100442,93.6954589,-0.0711893,-0.0450240
1.1116496,1.1116496,1.3022101,-0.0578279,-512.2028135,196.2414267,-0.0129357,-0.1013611,-252.0672742,102.0007422,-0.0681698,-0.0431143,-0.0594731,-522.2535983,187.4611197,-0.0133025,-0.1042485,-261.1616243,93.7421575,-0.0701092,-0.0443409
1.1166496,1.1166496,1.3072101,-0.0569477,-510.7155106,196.3201941,-0.0127386,-0.0998195,-251.3265042,102.0359311,-0.0671322,-0.0424581,-0.0585736,-520.7635052,187.5532573,-0.0131011,-0.1026732,-260.4160459,93.7880498,-0.0690489,-0.0436703
1.1216496,1.1216496,1.3122101,-0.0560837,-509.2339352,196.3972831,-0.0125450,-0.0983063,-250.5886401,102.0703181,-0.0661137,-0.0418139,-0.0576906,-519.2790653,187.6437827,-0.0129034,-0.1011266,-259.6733040,93.8331393,-0.0680080,-0.0430120
1.1266496,1.1266496,1.3172101,-0.0552356,-507.7580756,196.4727042,-0.0123550,-0.0968209,-249.8536754,102.1039083,-0.0651139,-0.0411816,-0.0568237,-517.8002684,187.7327032,-0.0127092,-0.0996082,-258.9333933,93.8774294,-0.0669860,-0.0423657
1.1316496,1.1316496,1.3222101,-0.0544030,-506.2879197,196.5464678,-0.0121685,-0.0953627,-249.1216034,102.1367072,-0.0641324,-0.0405608,-0.0559725,-516.3271041,187.8200260,-0.0125186,-0.0981172,-258.1963083,93.9209239,-0.0659825,-0.0417310
1.1366496,1.1366496,1.3272101,-0.0535856,-504.8234552,196.6185846,-0.0119854,-0.0939310,-248.3924175,102.1687199,-0.0631688,-0.0399514,-0.0551366,-514.8595615,187.9057586,-0.0123315,-0.0966532,-257.4620434,93.9636263,-0.0649972,-0.0411079
1.1416496,1.1416496,1.3322101,-0.0527830,-503.3646698,196.6890653,-0.0118057,-0.0925253,-247.6661107,102.1999517,-0.0622227,-0.0393530,-0.0543159,-513.3976297,187.9899083,-0.0121477,-0.0952155,-256.7305928,94.0055402,-0.0640297,-0.0404959
1.1466496,1.1466496,1.3372101,-0.0519950,-501.9115508,196.7579204,-0.0116292,-0.0911451,-246.9426762,102.2304078,-0.0612937,-0.0387655,-0.0535098,-511.9412973,188.0724825,-0.0119672,-0.0938036,-256.0019508,94.0466693,-0.0630795,-0.0398949
1.1516496,1.1516496,1.3422101,-0.0512212,-500.4640851,196.8251608,-0.0114559,-0.0897897,-246.2221068,102.2600936,-0.0603815,-0.0381886,-0.0527182,-510.4905527,188.1534888,-0.0117900,-0.0924170,-255.2761113,94.0870173,-0.0621462,-0.0393047
1.1566496,1.1566496,1.3472101,-0.0504613,-499.0222599,196.8907973,-0.0112857,-0.0884587,-245.5043954,102.2890140,-0.0594857,-0.0376220,-0.0519407,-509.0453842,188.2329345,-0.0116159,-0.0910550,-254.5530683,94.1265878,-0.0612297,-0.0387250
1.1616496,1.1616496,1.3522101,-0.0497150,-497.5860616,196.9548405,-0.0111185,-0.0871515,-244.7895349,102.3171745,-0.0586060,-0.0370656,-0.0511770,-507.6057797,188.3108274,-0.0114449,-0.0897172,-253.8328156,94.1653846,-0.0603294,-0.0381557
