# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.0874400,0.0874400,0.0943547,1662.4649118,959.4820172,inf
0.0924400,0.0924400,0.0993547,1468.3274476,844.5180200,inf
0.0974400,0.0974400,0.1043547,1290.4014792,739.3112599,inf
0.1024400,0.1024400,0.1093547,1128.5413483,643.7563562,inf
0.1074400,0.1074400,0.1143547,982.3167030,557.5753944,inf
0.1124400,0.1124400,0.1193547,851.0713939,480.3557784,inf
0.1174400,0.1174400,0.1243547,733.9797838,411.5868538,inf
0.1224400,0.1224400,0.1293547,630.0990757,350.6935651,inf
0.1274400,0.1274400,0.1343547,538.4165132,297.0659144,inf
0.1324400,0.1324400,0.1393547,457.8903130,250.0832669,inf
0.1374400,0.1374400,0.1443547,387.4835454,209.1327463,inf
0.1424400,0.1424400,0.1493547,326.1906541,173.6216619,1789.3838841
0.1474400,0.1474400,0.1543547,273.0564303,142.9850394,1526.4099450
0.1524400,0.1524400,0.1593547,227.1874834,116.6900315,1298.0383385
0.1574400,0.1574400,0.1643547,187.7572208,94.2387357,1100.3483865
0.1624400,0.1624400,0.1693547,154.0064740,75.1701801,929.7204898
0.1674400,0.1674400,0.1743547,125.2420627,59.0615996,782.8490438
0.1724400,0.1724400,0.1793547,100.8347316,45.5288838,656.7455670
0.1774400,0.1774400,0.1843547,80.2168864,34.2260308,548.7331826
0.1824400,0.1824400,0.1893547,62.8800241,24.8433190,456.4337517
0.1874400,0.1874400,0.1943547,48.3716386,17.1038708,377.7486748
0.1924400,0.1924400,0.1993547,36.2913372,10.7591903,310.8346645
0.1974400,0.1974400,0.2043547,26.2857809,5.5859237,254.0770146
0.2024400,0.2024400,0.2093547,18.0425115,1.3861962,206.0634445
0.2074400,0.2074400,0.2143547,11.2842283,-2.0092988,165.5605706
0.2124400,0.2124400,0.2193547,5.7660486,-4.7404379,131.4934655
0.2174400,0.2174400,0.2243547,1.2764054,-6.9232137,102.9278040
0.2224400,0.2224400,0.2293547,-2.3618571,-8.6581454,79.0539037
0.2274400,0.2274400,0.2343547,-5.2951994,-10.0337256,59.1720354
0.2324400,0.2324400,0.2393547,-7.6476931,-11.1242981,42.6783833
0.2374400,0.2374400,0.2443547,-9.5272889,-11.9887076,29.0513446
0.2424400,0.2424400,0.2493547,-11.0263034,-12.6721748,17.8390832
0.2474400,0.2474400,0.2543547,-12.2201781,-13.2085251,8.6503555
0.2524400,0.2524400,0.2593547,-13.1686583,-13.6211923,1.1495251
0.2574400,0.2574400,0.2643547,-13.9181996,-13.9247371,-4.9465746
0.2624400,0.2624400,0.2693547,-14.5033166,-14.1283365,-9.8741809
0.2674400,0.2674400,0.2743547,-14.9476813,-14.2395506,-13.8316720
0.2724400,0.2724400,0.2793547,-15.2669621,-14.2658543,-16.9880582
0.2774400,0.2774400,0.2843547,-15.4727779,-14.2141163,-19.4872261
0.2824400,0.2824400,0.2893547,-15.5752660,-14.0902270,-21.4495357
0.2874400,0.2874400,0.2943547,-15.5835625,-13.8999249,-22.9740054
0.2924400,0.2924400,0.2993547,-15.5057655,-13.6499557,-24.1411585
0.2974400,0.2974400,0.3043547,-15.3495990,-13.3485245,-25.0149052
0.3024400,0.3024400,0.3093547,-15.1233958,-13.0049118,-25.6438595
0.3074400,0.3074400,0.3143547,-14.8365732,-12.6287010,-26.0639376
0.3124400,0.3124400,0.3193547,-14.4993905,-12.2290462,-26.3022488
0.3174400,0.3174400,0.3243547,-14.1223090,-11.8141765,-26.3804987
0.3224400,0.3224400,0.3293547,-13.7153311,-11.3911527,-26.3170350
0.3274400,0.3274400,0.3343547,-13.2875233,-10.9658154,-26.1281282
0.3324400,0.3324400,0.3393547,-12.8467628,-10.5428513,-25.8290417
0.3374400,0.3374400,0.3443547,-12.3996671,-10.1259198,-25.4347861
0.3424400,0.3424400,0.3493547,-11.9516438,-9.7178015,-24.9603410
0.3474400,0.3474400,0.3543547,-11.5070061,-9.3205456,-24.4204107
0.3524400,0.3524400,0.3593547,-11.0691162,-8.9356048,-23.8289768
0.3574400,0.3574400,0.3643547,-10.6405326,-8.5639534,-23.1988775
0.3624400,0.3624400,0.3693547,-10.2231481,-8.2061864,-22.5415285
0.3674400,0.3674400,0.3743547,-9.8183125,-7.8626024,-21.8668050
0.3724400,0.3724400,0.3793547,-9.4269386,-7.5332707,-21.1830521
0.3774400,0.3774400,0.3843547,-9.0495911,-7.2180857,-20.4971811
0.3824400,0.3824400,0.3893547,-8.6865598,-6.9168104,-19.8148126
0.3874400,0.3874400,0.3943547,-8.3379204,-6.6291112,-19.1404377
0.3924400,0.3924400,0.3993547,-8.0035837,-6.3545852,-18.4775803
0.3974400,0.3974400,0.4043547,-7.6833346,-6.0927819,-17.8289483
0.4024400,0.4024400,0.4093547,-7.3768641,-5.8432200,-17.1965703
0.4074400,0.4074400,0.4143547,-7.0837949,-5.6054004,-16.5819148
0.4124400,0.4124400,0.4193547,-6.8037011,-5.3788167,-15.9859922
0.4174400,0.4174400,0.4243547,-6.5361247,-5.1629624,-15.4094417
0.4224400,0.4224400,0.4293547,-6.2805876,-4.9573373,-14.8526036
0.4274400,0.4274400,0.4343547,-6.0366018,-4.7614512,-14.3155799
0.4324400,0.4324400,0.4393547,-5.8036767,-4.5748278,-13.7982838
0.4374400,0.4374400,0.4443547,-5.5813252,-4.3970063,-13.3004812
0.4424400,0.4424400,0.4493547,-5.3690680,-4.2275433,-12.8218241
0.4474400,0.4474400,0.4543547,-5.1664369,-4.0660135,-12.3618782
0.4524400,0.4524400,0.4593547,-4.9729772,-3.9120102,-11.9201449
0.4574400,0.4574400,0.4643547,-4.7882494,-3.7651456,-11.4960801
0.4624400,0.4624400,0.4693547,-4.6118303,-3.6250504,-11.0891082
