# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.3991708,-1.3991708,-1.2732607,13301.4730277,7614.1175546,53923.6678714,831.9204964,37323.9014365,12828.5925911,13774.3534644,15680.2925381,9917.0877596,13301.4730277,7614.1175546,53923.6678714,816.2937256,37323.9014365,12828.5925911,13774.3534644,15680.2925381,9917.0877596
-1.3941708,-1.3941708,-1.2682607,13601.3877558,7807.8590948,55104.7904115,851.6945772,38156.1823768,13128.2526042,14074.5229074,16033.8436570,10140.6931206,13601.3877558,7807.8590948,55104.7904115,836.0733158,38156.1823768,13128.2526042,14074.5229074,16033.8436570,10140.6931206
-1.3891708,-1.3891708,-1.2632607,14494.9519809,8390.8848302,58619.6311146,909.8550718,40636.9903678,14024.0036084,14965.9003533,17087.2118382,10806.9016541,14494.9519809,8390.8848302,58619.6311146,894.9585993,40636.9903678,14024.0036084,14965.9003533,17087.2118382,10806.9016541
-1.3841708,-1.3841708,-1.2582607,15460.0335975,9015.9357811,62424.9434785,971.7750729,43319.5531786,14989.2954812,15930.7717139,18224.8874957,11526.4309173,15460.0335975,9015.9357811,62424.9434785,958.3023194,43319.5531786,14989.2954812,15930.7717139,18224.8874957,11526.4309173
-1.3791708,-1.3791708,-1.2532607,16398.2512262,9595.3567320,66176.1703710,1033.9936576,45943.8424492,15914.3191757,16882.1832767,19330.8948418,12225.9313818,16398.2512262,9595.3567320,66176.1703710,1019.2244739,45943.8424492,15914.3191757,16882.1832767,19330.8948418,12225.9313818
-1.3741708,-1.3741708,-1.2482607,17051.7038237,10021.2217138,68791.9060281,1075.1823424,47789.3362726,16570.5531784,17532.8544690,20101.2101194,12713.1215406,17051.7038237,10021.2217138,68791.9060281,1060.7558927,47789.3362726,16570.5531784,17532.8544690,20101.2101194,12713.1215406
-1.3691708,-1.3691708,-1.2432607,17400.8775484,10252.6506509,70216.9691929,1097.3748085,48797.3016332,16924.1663989,17877.5886979,20512.8296550,12973.4525929,17400.8775484,10252.6506509,70216.9691929,1081.7711503,48797.3016332,16924.1663989,17877.5886979,20512.8296550,12973.4525929
-1.3641708,-1.3641708,-1.2382607,17380.3079530,10246.0940082,70207.7983233,1090.5439436,48798.0142520,16909.6128988,17849.0682848,20488.5814178,12958.1166612,17380.3079530,10246.0940082,70207.7983233,1077.6428298,48798.0142520,16909.6128988,17849.0682848,20488.5814178,12958.1166612
-1.3591708,-1.3591708,-1.2332607,17078.5438679,10052.9757748,69112.5948551,1068.6761450,48023.9760207,16611.9470759,17545.1406600,20132.8502050,12733.1324878,17078.5438679,10052.9757748,69112.5948551,1054.4143401,48023.9760207,16611.9470759,17545.1406600,20132.8502050,12733.1324878
-1.3541708,-1.3541708,-1.2282607,16899.6913637,9940.7033188,68504.5861903,1053.6322503,47597.3097778,16438.1360040,17361.2467233,19922.0119330,12599.7866563,16899.6913637,9940.7033188,68504.5861903,1038.8376800,47597.3097778,16438.1360040,17361.2467233,19922.0119330,12599.7866563
-1.3491708,-1.3491708,-1.2232607,16898.4461080,9943.1065873,68612.6784588,1049.6106445,47675.0775141,16442.2762732,17354.6159427,19920.5439773,12598.8582396,16898.4461080,9943.1065873,68612.6784588,1034.4217012,47675.0775141,16442.2762732,17354.6159427,19920.5439773,12598.8582396
-1.3441708,-1.3441708,-1.2182607,17103.9798354,10078.8480088,69554.0576623,1058.4763487,48339.7032035,16653.4873790,17554.4722918,20162.8351105,12752.0966071,17103.9798354,10078.8480088,69554.0576623,1043.0323130,48339.7032035,16653.4873790,17554.4722918,20162.8351105,12752.0966071
-1.3391708,-1.3391708,-1.2132607,17549.1189347,10368.9477908,71460.4065442,1082.3511872,49683.8208752,17104.5409534,17993.6969161,20687.5823533,13083.9759038,17549.1189347,10368.9477908,71460.4065442,1066.7774830,49683.8208752,17104.5409534,17993.6969161,20687.5823533,13083.9759038
-1.3341708,-1.3341708,-1.2082607,18269.9280462,10836.5199947,74476.1874517,1123.6061027,51809.0686801,17831.4449325,18708.4111600,21537.3001033,13621.3845954,18269.9280462,10836.5199947,74476.1874517,1107.9823644,51809.0686801,17831.4449325,18708.4111600,21537.3001033,13621.3845954
-1.3291708,-1.3291708,-1.2032607,19304.7355067,11506.1485586,78754.7014516,1184.7659686,54823.3167235,18872.4695992,19737.0014141,22757.1712910,14392.8988764,19304.7355067,11506.1485586,78754.7014516,1169.1280752,54823.3167235,18872.4695992,19737.0014141,22757.1712910,14392.8988764
