# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.7500000,0.0000000,-0.0298671,261592.0368011,168329.3751343,1045320.7699188,16452.0164815,736241.2427305,13031172.9817789,132004193.1263081,918502214.2035979
0.7550000,0.0050000,-0.0248671,240846.8960385,154978.6760082,962473.9146498,15141.2535186,677891.0700769,11999117.8448818,121551150.2011251,845771635.3843410
0.7600000,0.0100000,-0.0198671,217493.7005034,139942.9136914,869265.4168388,13659.8938820,612240.0379155,10838624.3380988,109798744.2276267,764003313.7894487
0.7650000,0.0150000,-0.0148671,194017.1287649,124828.3304246,775557.9714584,12171.4374831,546237.7986265,9671835.7729915,97982399.5925390,681789761.4231892
0.7700000,0.0200000,-0.0098671,171089.0287474,110067.5845947,684032.2061817,10718.5993564,481772.4803792,8532116.3715004,86439973.0790548,601481594.4361180
0.7750000,0.0250000,-0.0048671,149248.8054443,96008.0114053,596840.6493234,9335.6361604,420360.2271029,7446261.7090520,75442815.0275969,524966734.1593558
0.7800000,0.0300000,0.0001329,128894.7945779,82906.0709681,515573.2765030,8047.8016182,363120.9321391,6434069.4518299,65191421.4799677,453640155.1985231
0.7850000,0.0350000,0.0051329,110288.6323029,70930.1682069,441274.8834861,6871.6312613,310790.4771616,5508554.7998823,55817614.0378726,388419048.1172372
0.7900000,0.0400000,0.0101329,93569.1899436,60169.6339146,374500.6077384,5815.8369912,263759.8420743,4676640.5534303,47391525.4720061,329791416.9487522
0.7950000,0.0450000,0.0151329,78772.3844533,50647.4900185,315394.8901159,4882.5756119,222130.7253425,3940138.8793310,39931539.0763898,277885226.9886909
0.8000000,0.0500000,0.0201329,65853.5002327,42334.8315706,263780.4624484,4068.8763899,185778.2259658,3296857.9369511,33415492.5547051,232546350.8131364
0.8050000,0.0550000,0.0251329,54709.3382710,35165.0963873,219246.6582736,3368.0562805,154413.0482802,2741700.2334968,27791798.5059110,193415934.7334362
0.8100000,0.0600000,0.0301329,45198.3265721,29047.0203228,181229.6046791,2771.0038114,127637.9875895,2267660.1241759,22989544.0635145,160000663.6617418
0.8150000,0.0650000,0.0351329,37157.5141387,23875.5840728,149079.9959056,2267.2630232,104995.6683142,1866666.9546914,18927027.9254369,131732155.1470794
0.8200000,0.0700000,0.0401329,30416.0265716,19540.6799010,122116.7639651,1845.8907765,86006.3480285,1530252.8614986,15518522.2428301,108014003.8374833
0.8250000,0.0750000,0.0451329,24805.0410843,15933.5357377,99666.8744920,1496.0913699,70195.9482206,1250048.0398525,12679287.7538175,88256673.7246236
0.8300000,0.0800000,0.0501329,20164.6429415,12951.1300561,81092.6892899,1207.6518112,57115.3271857,1018121.3835331,10329023.3782336,71901498.8026791
0.8350000,0.0850000,0.0551329,16348.0807371,10498.9310142,65808.9570705,971.2109674,46352.2471950,827192.1170722,8394009.6329163,58435596.4498959
0.8400000,0.0900000,0.0601329,13223.9822306,8492.3218514,53291.6709663,778.3986039,37537.6127992,670740.2491496,6808227.5931334,47399653.4686205
0.8450000,0.0950000,0.0651329,10677.0636405,6857.0559230,43080.9168559,621.8784365,30347.4764346,543042.2562551,5513720.7643180,38390444.8280804
0.8500000,0.1000000,0.0701329,8607.7955406,5529.0397893,34779.5587831,495.3248259,24502.1118361,439154.9552537,4460432.3030811,31059702.1944771
0.8550000,0.1050000,0.0751329,6931.4019442,4453.6869803,28049.2628642,393.3571872,19763.2128196,354866.2372831,3605706.6373731,25110647.4848212
0.8600000,0.1100000,0.0801329,5576.4818386,3585.0287866,22605.0131105,311.4505827,15930.0298901,286627.0099526,2913600.7471657,20293202.0500194
