# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.8758788,0.8758788,1.0473590,-0.1292104,-0.7026654,0.2899140
0.8808788,0.8808788,1.0523590,-0.1264789,-0.6971371,0.2930343
0.8858788,0.8858788,1.0573590,-0.1238169,-0.6916885,0.2960156
0.8908788,0.8908788,1.0623590,-0.1212224,-0.6863175,0.2988625
0.8958788,0.8958788,1.0673590,-0.1186933,-0.6810225,0.3015795
0.9008788,0.9008788,1.0723590,-0.1162276,-0.6758016,0.3041708
0.9058788,0.9058788,1.0773590,-0.1138236,-0.6706531,0.3066408
0.9108788,0.9108788,1.0823590,-0.1114793,-0.6655754,0.3089933
0.9158788,0.9158788,1.0873590,-0.1091930,-0.6605668,0.3112322
0.9208788,0.9208788,1.0923590,-0.1069632,-0.6556257,0.3133613
0.9258788,0.9258788,1.0973590,-0.1047880,-0.6507507,0.3153842
0.9308788,0.9308788,1.1023590,-0.1026659,-0.6459403,0.3173043
0.9358788,0.9358788,1.1073590,-0.1005955,-0.6411931,0.3191250
0.9408788,0.9408788,1.1123590,-0.0985752,-0.6365077,0.3208497
0.9458788,0.9458788,1.1173590,-0.0966036,-0.6318827,0.3224813
0.9508788,0.9508788,1.1223590,-0.0946793,-0.6273169,0.3240229
0.9558788,0.9558788,1.1273590,-0.0928010,-0.6228090,0.3254775
0.9608788,0.9608788,1.1323590,-0.0909674,-0.6183577,0.3268479
0.9658788,0.9658788,1.1373590,-0.0891773,-0.6139619,0.3281368
0.9708788,0.9708788,1.1423590,-0.0874294,-0.6096205,0.3293469
0.9758788,0.9758788,1.1473590,-0.0857225,-0.6053323,0.3304807
0.9808788,0.9808788,1.1523590,-0.0840556,-0.6010962,0.3315407
0.9858788,0.9858788,1.1573590,-0.0824276,-0.5969111,0.3325292
0.9908788,0.9908788,1.1623590,-0.0808373,-0.5927762,0.3334486
0.9958788,0.9958788,1.1673590,-0.0792837,-0.5886902,0.3343012
1.0008788,1.0008788,1.1723590,-0.0777660,-0.5846524,0.3350890
1.0058788,1.0058788,1.1773590,-0.0762830,-0.5806617,0.3358142
1.0108788,1.0108788,1.1823590,-0.0748338,-0.5767172,0.3364787
1.0158788,1.0158788,1.1873590,-0.0734176,-0.5728180,0.3370846
1.0208788,1.0208788,1.1923590,-0.0720335,-0.5689634,0.3376338
1.0258788,1.0258788,1.1973590,-0.0706805,-0.5651523,0.3381280
1.0308788,1.0308788,1.2023590,-0.0693580,-0.5613841,0.3385690
1.0358788,1.0358788,1.2073590,-0.0680651,-0.5576578,0.3389585
1.0408788,1.0408788,1.2123590,-0.0668009,-0.5539728,0.3392983
1.0458788,1.0458788,1.2173590,-0.0655648,-0.5503282,0.3395899
1.0508788,1.0508788,1.2223590,-0.0643561,-0.5467234,0.3398349
1.0558788,1.0558788,1.2273590,-0.0631740,-0.5431576,0.3400347
1.0608788,1.0608788,1.2323590,-0.0620178,-0.5396302,0.3401909
1.0658788,1.0658788,1.2373590,-0.0608869,-0.5361403,0.3403049
1.0708788,1.0708788,1.2423590,-0.0597806,-0.5326874,0.3403779
1.0758788,1.0758788,1.2473590,-0.0586983,-0.5292709,0.3404114
1.0808788,1.0808788,1.2523590,-0.0576394,-0.5258901,0.3404067
1.0858788,1.0858788,1.2573590,-0.0566033,-0.5225443,0.3403649
