# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm]
0.0131980,0.0131980,-0.0284675,1848.4712429,-21.3319604
0.0181980,0.0181980,-0.0234675,1820.1018182,-21.3530870
0.0231980,0.0231980,-0.0184675,1783.5471733,-21.3688780
0.0281980,0.0281980,-0.0134675,1739.3632517,-21.3777667
0.0331980,0.0331980,-0.0084675,1688.2544198,-21.3798381
0.0381980,0.0381980,-0.0034675,1631.0121247,-21.3751975
0.0431980,0.0431980,0.0015325,1568.4921455,-21.3639692
0.0481980,0.0481980,0.0065325,1501.5911438,-21.3462948
0.0531980,0.0531980,0.0115325,1431.2234738,-21.3223323
0.0581980,0.0581980,0.0165325,1358.2991267,-21.2922540
0.0631980,0.0631980,0.0215325,1283.7035567,-21.2562448
0.0681980,0.0681980,0.0265325,1208.2799799,-21.2145006
0.0731980,0.0731980,0.0315325,1132.8145646,-21.1672250
0.0781980,0.0781980,0.0365325,1058.0247513,-21.1146254
0.0831980,0.0831980,0.0415325,984.5507742,-21.0569033
0.0881980,0.0881980,0.0465325,912.9503006,-20.9942365
0.0931980,0.0931980,0.0515325,843.6959777,-20.9267421
0.0981980,0.0981980,0.0565325,777.1755755,-20.8544129
0.1031980,0.1031980,0.0615325,713.6943510,-20.7770171
0.1081980,0.1081980,0.0665325,653.4792333,-20.6939712
0.1131980,0.1131980,0.0715325,596.6844360,-20.6042150
0.1181980,0.1181980,0.0765325,543.3981421,-20.5061525
0.1231980,0.1231980,0.0815325,493.6499447,-20.3977386
0.1281980,0.1281980,0.0865325,447.4187564,-20.2767707
0.1331980,0.1331980,0.0915325,404.6408919,-20.1413745
0.1381980,0.1381980,0.0965325,365.2180038,-19.9905617
0.1431980,0.1431980,0.1015325,329.0245319,-19.8246553
0.1481980,0.1481980,0.1065325,295.9143626,-19.6453903
0.1531980,0.1531980,0.1115325,265.7265111,-19.4556326
0.1581980,0.1581980,0.1165325,238.2898201,-19.2588397
0.1631980,0.1631980,0.1215325,213.4268432,-19.0584947
0.1681980,0.1681980,0.1265325,190.9571773,-18.8577134
0.1731980,0.1731980,0.1315325,170.7004601,-18.6590903
0.1781980,0.1781980,0.1365325,152.4790426,-18.4647381
0.1831980,0.1831980,0.1415325,136.1201296,-18.2764584
0.1881980,0.1881980,0.1465325,121.4571653,-18.0960366
0.1931980,0.1931980,0.1515325,108.3305773,-17.9256383
0.1981980,0.1981980,0.1565325,96.5884206,-17.7681251
0.2031980,0.2031980,0.1615325,86.0875953,-17.6269287
0.2081980,0.2081980,0.1665325,76.6959219,-17.5051966
0.2131980,0.2131980,0.1715325,68.2945669,-17.4044186
0.2181980,0.2181980,0.1765325,60.7795896,-17.3233714
0.2231980,0.2231980,0.1815325,54.0614301,-17.2582340
0.2281980,0.2281980,0.1865325,48.0621888,-17.2038518
0.2331980,0.2331980,0.1915325,42.7118217,-17.1552224
0.2381980,0.2381980,0.1965325,37.9448303,-17.1083133
0.2431980,0.2431980,0.2015325,33.6985120,-17.0600770
0.2481980,0.2481980,0.2065325,29.9129635,-17.0081279
0.2531980,0.2531980,0.2115325,26.5323410,-16.9505575
0.2581980,0.2581980,0.2165325,23.5064894,-16.8860346
0.2631980,0.2631980,0.2215325,20.7920460,-16.8140157
0.2681980,0.2681980,0.2265325,18.3525474,-16.7348190
0.2731980,0.2731980,0.2315325,16.1576796,-16.6494417
0.2781980,0.2781980,0.2365325,14.1821499,-16.5591835
0.2831980,0.2831980,0.2415325,12.4045858,-16.4652375
0.2881980,0.2881980,0.2465325,10.8066181,-16.3684156
0.2931980,0.2931980,0.2515325,9.3721407,-16.2690855
0.2981980,0.2981980,0.2565325,8.0867088,-16.1672946
0.3031980,0.3031980,0.2615325,6.9370574,-16.0629822
0.3081980,0.3081980,0.2665325,5.9107371,-15.9561708
0.3131980,0.3131980,0.2715325,4.9958682,-15.8470672
0.3181980,0.3181980,0.2765325,4.1810359,-15.7360521
0.3231980,0.3231980,0.2815325,3.4553682,-15.6235897
0.3281980,0.3281980,0.2865325,2.8088050,-15.5101167
0.3331980,0.3331980,0.2915325,2.2324615,-15.3959701
0.3381980,0.3381980,0.2965325,1.7188996,-15.2813826
0.3431980,0.3431980,0.3015325,1.2621384,-15.1665272
0.3481980,0.3481980,0.3065325,0.8573898,-15.0515637
0.3531980,0.3531980,0.3115325,0.5006578,-14.9366550
0.3581980,0.3581980,0.3165325,0.1883711,-14.8219516
0.3631980,0.3631980,0.3215325,-0.0828610,-14.7075689
0.3681980,0.3681980,0.3265325,-0.3163651,-14.5935770
0.3731980,0.3731980,0.3315325,-0.5154366,-14.4800072
0.3781980,0.3781980,0.3365325,-0.6833271,-14.3668676
0.3831980,0.3831980,0.3415325,-0.8232117,-14.2541596
0.3881980,0.3881980,0.3465325,-0.9381509,-14.1418896
0.3931980,0.3931980,0.3515325,-1.0310530,-14.0300741
0.3981980,0.3981980,0.3565325,-1.1046415,-13.9187401
0.4031980,0.4031980,0.3615325,-1.1614320,-13.8079228
0.4081980,0.4081980,0.3665325,-1.2037179,-13.6976620
0.4131980,0.4131980,0.3715325,-1.2335659,-13.5879989
0.4181980,0.4181980,0.3765325,-1.2528192,-13.4789733
0.4231980,0.4231980,0.3815325,-1.2631067,-13.3706220
0.4281980,0.4281980,0.3865325,-1.2658570,-13.2629776
0.4331980,0.4331980,0.3915325,-1.2623146,-13.1560682
0.4381980,0.4381980,0.3965325,-1.2535574,-13.0499169
0.4431980,0.4431980,0.4015325,-1.2405147,-12.9445425
0.4481980,0.4481980,0.4065325,-1.2239839,-12.8399596
0.4531980,0.4531980,0.4115325,-1.2046468,-12.7361792
0.4581980,0.4581980,0.4165325,-1.1830843,-12.6332090
0.4631980,0.4631980,0.4215325,-1.1597899,-12.5310542
0.4681980,0.4681980,0.4265325,-1.1351813,-12.4297173
0.4731980,0.4731980,0.4315325,-1.1096111,-12.3291993
0.4781980,0.4781980,0.4365325,-1.0833757,-12.2294994
0.4831980,0.4831980,0.4415325,-1.0567239,-12.1306153
0.4881980,0.4881980,0.4465325,-1.0298631,-12.0325440
0.4931980,0.4931980,0.4515325,-1.0029659,-11.9352815
0.4981980,0.4981980,0.4565325,-0.9761750,-11.8388230
0.5031980,0.5031980,0.4615325,-0.9496076,-11.7431633
0.5081980,0.5081980,0.4665325,-0.9233593,-11.6482967
0.5131980,0.5131980,0.4715325,-0.8975073,-11.5542173
0.5181980,0.5181980,0.4765325,-0.8721133,-11.4609187
0.5231980,0.5231980,0.4815325,-0.8472257,-11.3683947
0.5281980,0.5281980,0.4865325,-0.8228819,-11.2766386
0.5331980,0.5331980,0.4915325,-0.7991099,-11.1856439
0.5381980,0.5381980,0.4965325,-0.7759295,-11.0954038
0.5431980,0.5431980,0.5015325,-0.7533543,-11.0059118
0.5481980,0.5481980,0.5065325,-0.7313920,-10.9171610
0.5531980,0.5531980,0.5115325,-0.7100459,-10.8291449
0.5581980,0.5581980,0.5165325,-0.6893152,-10.7418568
0.5631980,0.5631980,0.5215325,-0.6691961,-10.6552901
0.5681980,0.5681980,0.5265325,-0.6496822,-10.5694383
0.5731980,0.5731980,0.5315325,-0.6307651,-10.4842950
