# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
1.5850000,0.8350000,0.8092291,-0.1928900,-13.7184996,-18.5157790,-0.0487309,-0.3232030,-1.3498157,-4.1871819,-10.2635627
1.5900000,0.8400000,0.8142291,-0.1880018,-13.6146689,-18.3952371,-0.0474946,-0.3150234,-1.3160777,-4.0869373,-10.0496668
1.5950000,0.8450000,0.8192291,-0.1832638,-13.5129632,-18.2757086,-0.0462963,-0.3070943,-1.2833463,-3.9893901,-9.8393874
1.6000000,0.8500000,0.8242291,-0.1786705,-13.4133227,-18.1571548,-0.0451348,-0.2994068,-1.2515871,-3.8944705,-9.6327859
1.6050000,0.8550000,0.8292291,-0.1742168,-13.3156879,-18.0395402,-0.0440087,-0.2919523,-1.2207672,-3.8021096,-9.4299104
1.6100000,0.8600000,0.8342291,-0.1698977,-13.2199995,-17.9228323,-0.0429167,-0.2847224,-1.1908547,-3.7122390,-9.2307967
1.6150000,0.8650000,0.8392291,-0.1657083,-13.1261985,-17.8070010,-0.0418575,-0.2777092,-1.1618191,-3.6247915,-9.0354688
1.6200000,0.8700000,0.8442291,-0.1616442,-13.0342264,-17.6920187,-0.0408301,-0.2709052,-1.1336307,-3.5397009,-8.8439400
1.6250000,0.8750000,0.8492291,-0.1577008,-12.9440254,-17.5778600,-0.0398332,-0.2643028,-1.1062612,-3.4569021,-8.6562137
1.6300000,0.8800000,0.8542291,-0.1538740,-12.8555378,-17.4645015,-0.0388659,-0.2578953,-1.0796832,-3.3763315,-8.4722841
1.6350000,0.8850000,0.8592291,-0.1501596,-12.7687069,-17.3519216,-0.0379271,-0.2516757,-1.0538704,-3.2979264,-8.2921372
1.6400000,0.8900000,0.8642291,-0.1465540,-12.6834767,-17.2401005,-0.0370158,-0.2456376,-1.0287973,-3.2216258,-8.1157514
1.6450000,0.8950000,0.8692291,-0.1430531,-12.5997916,-17.1290196,-0.0361310,-0.2397749,-1.0044394,-3.1473698,-7.9430987
1.6500000,0.9000000,0.8742291,-0.1396536,-12.5175974,-17.0186621,-0.0352719,-0.2340814,-0.9807733,-3.0751003,-7.7741450
1.6550000,0.9050000,0.8792291,-0.1363519,-12.4368404,-16.9090122,-0.0344375,-0.2285515,-0.9577761,-3.0047602,-7.6088510
1.6600000,0.9100000,0.8842291,-0.1331447,-12.3574680,-16.8000556,-0.0336271,-0.2231797,-0.9354261,-2.9362941,-7.4471728
1.6650000,0.9150000,0.8892291,-0.1300289,-12.2794285,-16.6917787,-0.0328398,-0.2179606,-0.9137021,-2.8696481,-7.2890626
1.6700000,0.9200000,0.8942291,-0.1270014,-12.2026716,-16.5841692,-0.0320748,-0.2128892,-0.8925838,-2.8047694,-7.1344694
1.6750000,0.9250000,0.8992291,-0.1240592,-12.1271477,-16.4772156,-0.0313314,-0.2079604,-0.8720517,-2.7416070,-6.9833389
1.6800000,0.9300000,0.9042291,-0.1211995,-12.0528087,-16.3709072,-0.0306088,-0.2031697,-0.8520868,-2.6801111,-6.8356147
1.6850000,0.9350000,0.9092291,-0.1184195,-11.9796075,-16.2652341,-0.0299065,-0.1985125,-0.8326710,-2.6202333,-6.6912384
1.6900000,0.9400000,0.9142291,-0.1157168,-11.9074985,-16.1601873,-0.0292237,-0.1939844,-0.8137868,-2.5619267,-6.5501500
1.6950000,0.9450000,0.9192291,-0.1130887,-11.8364369,-16.0557581,-0.0285597,-0.1895811,-0.7954172,-2.5051456,-6.4122882
1.7000000,0.9500000,0.9242291,-0.1105328,-11.7663797,-15.9519386,-0.0279140,-0.1852988,-0.7775460,-2.4498456,-6.2775907
1.7050000,0.9550000,0.9292291,-0.1080468,-11.6972849,-15.8487215,-0.0272860,-0.1811333,-0.7601574,-2.3959839,-6.1459949
1.7100000,0.9600000,0.9342291,-0.1056284,-11.6291120,-15.7460999,-0.0266751,-0.1770811,-0.7432362,-2.3435185,-6.0174372
1.7150000,0.9650000,0.9392291,-0.1032755,-11.5618215,-15.6440674,-0.0260808,-0.1731384,-0.7267679,-2.2924091,-5.8918545
1.7200000,0.9700000,0.9442291,-0.1009860,-11.4953757,-15.5426181,-0.0255024,-0.1693019,-0.7107384,-2.2426163,-5.7691832
1.7250000,0.9750000,0.9492291,-0.0987579,-11.4297379,-15.4417463,-0.0249396,-0.1655680,-0.6951339,-2.1941021,-5.6493601
1.7300000,0.9800000,0.9542291,-0.0965892,-11.3648729,-15.3414469,-0.0243918,-0.1619337,-0.6799415,-2.1468293,-5.5323224
1.7350000,0.9850000,0.9592291,-0.0944780,-11.3007468,-15.2417149,-0.0238586,-0.1583958,-0.6651483,-2.1007623,-5.4180075
1.7400000,0.9900000,0.9642291,-0.0924227,-11.2373268,-15.1425458,-0.0233395,-0.1549513,-0.6507423,-2.0558663,-5.3063537
1.7450000,0.9950000,0.9692291,-0.0904214,-11.1745817,-15.0439353,-0.0228340,-0.1515972,-0.6367115,-2.0121075,-5.1972998
1.7500000,1.0000000,0.9742291,-0.0884725,-11.1124814,-14.9458793,-0.0223418,-0.1483309,-0.6230446,-1.9694534,-5.0907853
1.7550000,1.0050000,0.9792291,-0.0865743,-11.0509972,-14.8483740,-0.0218624,-0.1451496,-0.6097306,-1.9278722,-4.9867508
1.7600000,1.0100000,0.9842291,-0.0847253,-10.9901014,-14.7514158,-0.0213954,-0.1420506,-0.5967588,-1.8873334,-4.8851375
1.7650000,1.0150000,0.9892291,-0.0829241,-10.9297679,-14.6550013,-0.0209405,-0.1390316,-0.5841190,-1.8478071,-4.7858878
1.7700000,1.0200000,0.9942291,-0.0811691,-10.8699714,-14.5591273,-0.0204972,-0.1360900,-0.5718012,-1.8092645,-4.6889449
1.7750000,1.0250000,0.9992291,-0.0794590,-10.8106879,-14.4637907,-0.0200653,-0.1332236,-0.5597959,-1.7716777,-4.5942530
1.7800000,1.0300000,1.0042291,-0.0777923,-10.7518947,-14.3689886,-0.0196444,-0.1304301,-0.5480939,-1.7350197,-4.5017576
1.7850000,1.0350000,1.0092291,-0.0761679,-10.6935699,-14.2747183,-0.0192342,-0.1277072,-0.5366861,-1.6992642,-4.4114050
1.7900000,1.0400000,1.0142291,-0.0745845,-10.6356930,-14.1809772,-0.0188343,-0.1250530,-0.5255639,-1.6643857,-4.3231428
1.7950000,1.0450000,1.0192291,-0.0730408,-10.5782442,-14.0877626,-0.0184445,-0.1224654,-0.5147190,-1.6303597,-4.2369196
1.8000000,1.0500000,1.0242291,-0.0715356,-10.5212050,-13.9950722,-0.0180644,-0.1199423,-0.5041433,-1.5971622,-4.1526849
