# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
2.0300000,1.2800000,1.2580385,-0.0305292,-55.6907070,10.3557904
2.0350000,1.2850000,1.2630385,-0.0300019,-55.0201235,10.3105250
2.0400000,1.2900000,1.2680385,-0.0294855,-54.3575101,10.2653058
2.0450000,1.2950000,1.2730385,-0.0289799,-53.7027726,10.2201340
2.0500000,1.3000000,1.2780385,-0.0284846,-53.0558182,10.1750109
2.0550000,1.3050000,1.2830385,-0.0279996,-52.4165550,10.1299375
2.0600000,1.3100000,1.2880385,-0.0275245,-51.7848923,10.0849151
2.0650000,1.3150000,1.2930385,-0.0270590,-51.1607404,10.0399449
2.0700000,1.3200000,1.2980385,-0.0266031,-50.5440107,9.9950280
2.0750000,1.3250000,1.3030385,-0.0261563,-49.9346155,9.9501657
2.0800000,1.3300000,1.3080385,-0.0257186,-49.3324684,9.9053591
2.0850000,1.3350000,1.3130385,-0.0252897,-48.7374837,9.8606094
2.0900000,1.3400000,1.3180385,-0.0248693,-48.1495768,9.8159177
2.0950000,1.3450000,1.3230385,-0.0244574,-47.5686641,9.7712852
2.1000000,1.3500000,1.3280385,-0.0240537,-46.9946630,9.7267131
2.1050000,1.3550000,1.3330385,-0.0236579,-46.4274918,9.6822025
2.1100000,1.3600000,1.3380385,-0.0232700,-45.8670697,9.6377546
2.1150000,1.3650000,1.3430385,-0.0228897,-45.3133168,9.5933705
2.1200000,1.3700000,1.3480385,-0.0225169,-44.7661543,9.5490513
2.1250000,1.3750000,1.3530385,-0.0221513,-44.2255041,9.5047982
2.1300000,1.3800000,1.3580385,-0.0217929,-43.6912892,9.4606123
2.1350000,1.3850000,1.3630385,-0.0214415,-43.1634333,9.4164946
2.1400000,1.3900000,1.3680385,-0.0210968,-42.6418610,9.3724464
2.1450000,1.3950000,1.3730385,-0.0207588,-42.1264979,9.3284687
2.1500000,1.4000000,1.3780385,-0.0204273,-41.6172704,9.2845625
2.1550000,1.4050000,1.3830385,-0.0201021,-41.1141057,9.2407291
2.1600000,1.4100000,1.3880385,-0.0197831,-40.6169320,9.1969694
2.1650000,1.4150000,1.3930385,-0.0194702,-40.1256781,9.1532846
2.1700000,1.4200000,1.3980385,-0.0191633,-39.6402739,9.1096757
2.1750000,1.4250000,1.4030385,-0.0188621,-39.1606499,9.0661437
2.1800000,1.4300000,1.4080385,-0.0185666,-38.6867375,9.0226897
2.1850000,1.4350000,1.4130385,-0.0182766,-38.2184690,8.9793147
2.1900000,1.4400000,1.4180385,-0.0179921,-37.7557775,8.9360198
2.1950000,1.4450000,1.4230385,-0.0177129,-37.2985967,8.8928060
2.2000000,1.4500000,1.4280385,-0.0174389,-36.8468613,8.8496743
2.2050000,1.4550000,1.4330385,-0.0171699,-36.4005067,8.8066257
2.2100000,1.4600000,1.4380385,-0.0169060,-35.9594692,8.7636611
2.2150000,1.4650000,1.4430385,-0.0166468,-35.5236857,8.7207816
2.2200000,1.4700000,1.4480385,-0.0163925,-35.0930940,8.6779881
2.2250000,1.4750000,1.4530385,-0.0161428,-34.6676326,8.6352816
2.2300000,1.4800000,1.4580385,-0.0158976,-34.2472408,8.5926630
2.2350000,1.4850000,1.4630385,-0.0156569,-33.8318587,8.5501333
2.2400000,1.4900000,1.4680385,-0.0154205,-33.4214269,8.5076934
2.2450000,1.4950000,1.4730385,-0.0151885,-33.0158871,8.4653442
