# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
0.9821220,0.9821220,0.9900000,-0.5974362,-0.6028250
0.9921220,0.9921220,1.0000000,-0.5758255,-0.5810668
1.0021220,1.0021220,1.0100000,-0.5551845,-0.5602853
1.0121220,1.0121220,1.0200000,-0.5354607,-0.5404273
1.0221220,1.0221220,1.0300000,-0.5166048,-0.5214431
1.0321220,1.0321220,1.0400000,-0.4985708,-0.5032863
1.0421220,1.0421220,1.0500000,-0.4813153,-0.4859131
1.0521220,1.0521220,1.0600000,-0.4647979,-0.4692827
1.0621220,1.0621220,1.0700000,-0.4489804,-0.4533568
1.0721220,1.0721220,1.0800000,-0.4338272,-0.4380991
1.0821220,1.0821220,1.0900000,-0.4193046,-0.4234760
1.0921220,1.0921220,1.1000000,-0.4053809,-0.4094555
1.1021220,1.1021220,1.1100000,-0.3920265,-0.3960076
1.1121220,1.1121220,1.1200000,-0.3792134,-0.3831042
1.1221220,1.1221220,1.1300000,-0.3669150,-0.3707187
1.1321220,1.1321220,1.1400000,-0.3551067,-0.3588260
1.1421220,1.1421220,1.1500000,-0.3437648,-0.3474024
1.1521220,1.1521220,1.1600000,-0.3328673,-0.3364258
1.1621220,1.1621220,1.1700000,-0.3223932,-0.3258750
1.1721220,1.1721220,1.1800000,-0.3123229,-0.3157302
1.1821220,1.1821220,1.1900000,-0.3026375,-0.3059726
1.1921220,1.1921220,1.2000000,-0.2933195,-0.2965845
1.2021220,1.2021220,1.2100000,-0.2843521,-0.2875489
1.2121220,1.2121220,1.2200000,-0.2757196,-0.2788501
1.2221220,1.2221220,1.2300000,-0.2674070,-0.2704729
1.2321220,1.2321220,1.2400000,-0.2594000,-0.2624031
1.2421220,1.2421220,1.2500000,-0.2516853,-0.2546272
1.2521220,1.2521220,1.2600000,-0.2442500,-0.2471323
1.2621220,1.2621220,1.2700000,-0.2370820,-0.2399063
1.2721220,1.2721220,1.2800000,-0.2301699,-0.2329376
1.2821220,1.2821220,1.2900000,-0.2235028,-0.2262152
1.2921220,1.2921220,1.3000000,-0.2170703,-0.2197288
