# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-2.5201857,-2.5201857,-2.3356246,1508.2288222,568.4135644,6612.4559721,72.0368283,4508.6781011,1416.0933386,1481.4404103,1775.1614235,1128.4594621,1492.5877229,552.7724650,6612.4559721,57.0313329,4508.6781011,1400.4522414,1465.7993124,1759.5203241,1112.8183627
-2.5151857,-2.5151857,-2.3306246,1537.8429903,653.7939598,6446.1066253,72.0582939,4592.2000854,1446.0634265,1405.3921275,1810.0784168,1150.5100414,1522.2100243,638.1528605,6446.1066253,58.7167659,4592.2000854,1430.5972971,1389.7510284,1794.4402425,1134.9036583
-2.5101857,-2.5101857,-2.3256246,1537.7537906,759.7911045,6285.2176544,71.4310732,4604.5780003,1440.6168792,1361.7013457,1810.0888807,1150.2346011,1522.3558838,745.8139286,6285.2176544,57.8596717,4604.5780003,1424.9757799,1346.0602475,1794.6121873,1135.0124057
-2.5051857,-2.5051857,-2.3206246,1535.1345319,756.4688562,6190.0257451,70.8343220,4580.4255072,1455.7756770,1314.1552463,1806.8828547,1148.4987071,1519.4979913,740.8299007,6190.0257451,58.1383732,4580.4255072,1440.1345777,1298.5141497,1791.2431928,1132.8816665
-2.5001857,-2.5001857,-2.3156246,1509.6766650,670.8794399,5982.3233135,70.0475186,4541.7101484,1497.0454200,1261.9153300,1776.8681968,1129.5389166,1494.0355657,655.2383406,5982.3233135,55.2350247,4541.7101484,1481.4043209,1246.2742306,1761.2270974,1113.8978209
-2.4951857,-2.4951857,-2.3106246,1489.8545693,614.3301841,5894.6491964,69.4003382,4484.9417984,1437.5317323,1238.6186215,1753.5011412,1114.7602967,1474.2134699,598.6890848,5894.6491964,53.9992606,4484.9417984,1421.8906330,1222.9775221,1737.8600418,1099.1191974
-2.4901857,-2.4901857,-2.3056246,1496.3507790,583.6015798,5915.5572602,69.4902624,4504.6587226,1378.3341726,1241.5111086,1761.1591252,1119.6036311,1480.7096796,567.9604805,5915.5572602,54.2701059,4504.6587226,1362.6930732,1225.8700093,1745.5180259,1103.9625317
-2.4851857,-2.4851857,-2.3006246,1526.5300674,575.8655738,6034.0965624,69.9962653,4593.1496675,1355.1729423,1267.9723438,1796.7362865,1142.0992187,1510.8896482,560.2244745,6034.0965624,55.8976944,4593.1496675,1339.5318430,1252.3312445,1781.0953439,1126.4636033
-2.4801857,-2.4801857,-2.2956246,1550.1806974,588.6338515,6239.7122048,70.6498102,4670.2941145,1364.2284665,1315.4883312,1824.6159618,1159.7366261,1534.5396357,572.9927521,6239.7122048,55.9251494,4670.2941145,1348.5873672,1299.8472318,1808.9748668,1144.0961618
-2.4751857,-2.4751857,-2.2906246,1582.1853372,619.6981193,6522.1249697,71.9869461,4772.3405702,1402.1115821,1381.5704098,1846.7031337,1183.5987123,1566.5442379,604.0570199,6522.1249697,57.0481897,4772.3405702,1386.4704827,1365.9784564,1846.7031337,1167.9576130
