# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.0509091,0.0509091,0.1148734,1665.2525154,964.0057001,inf
0.0559091,0.0559091,0.1198734,1392.3486935,802.4153298,inf
0.0609091,0.0609091,0.1248734,1129.9783143,646.8495427,inf
0.0659091,0.0659091,0.1298734,909.1268460,515.0182851,inf
0.0709091,0.0709091,0.1348734,710.3841398,397.4613124,inf
0.0759091,0.0759091,0.1398734,555.3244079,306.1342140,inf
0.0809091,0.0809091,0.1448734,437.6601599,237.0788410,inf
0.0859091,0.0859091,0.1498734,347.4360650,184.4172304,inf
0.0909091,0.0909091,0.1548734,277.4815451,143.8546475,1572.6974585
0.0959091,0.0959091,0.1598734,222.6396314,112.2953327,1301.1595167
0.1009091,0.1009091,0.1648734,179.1799380,87.4998057,1083.3747410
0.1059091,0.1059091,0.1698734,144.3853972,67.8379896,906.7091483
0.1109091,0.1109091,0.1748734,116.2621825,52.1148763,761.8704917
0.1159091,0.1159091,0.1798734,93.3353466,39.4474849,641.9674407
0.1209091,0.1209091,0.1848734,74.5041748,29.1777408,541.8432652
0.1259091,0.1259091,0.1898734,58.9393274,20.8105335,457.6016216
0.1309091,0.1309091,0.1948734,46.0093810,13.9694749,386.2674849
0.1359091,0.1359091,0.1998734,35.2281505,8.3651317,325.5436234
0.1409091,0.1409091,0.2048734,26.2167619,3.7720676,273.6349199
0.1459091,0.1459091,0.2098734,18.6762260,0.0121387,229.1210701
0.1509091,0.1509091,0.2148734,12.3674884,-3.0576871,190.8639080
0.1559091,0.1559091,0.2198734,7.0967929,-5.5541035,157.9396155
0.1609091,0.1609091,0.2248734,2.7048199,-7.5735738,129.5888867
0.1659091,0.1659091,0.2298734,-0.9414238,-9.1964048,105.1801169
0.1709091,0.1709091,0.2348734,-3.9545685,-10.4895069,84.1820845
0.1759091,0.1759091,0.2398734,-6.4310330,-11.5086239,66.1435763
0.1809091,0.1809091,0.2448734,-8.4536829,-12.3005489,50.6780891
0.1859091,0.1859091,0.2498734,-10.0935152,-12.9052083,37.4522315
0.1909091,0.1909091,0.2548734,-11.4110671,-13.3569832,26.1768087
0.1959091,0.1959091,0.2598734,-12.4580624,-13.6848907,16.5998347
0.2009091,0.2009091,0.2648734,-13.2791734,-13.9121521,8.5009012
0.2059091,0.2059091,0.2698734,-13.9132176,-14.0561652,1.6864798
