# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
0.0000000,0.0000000,-0.0534502,344145.9883310
0.0100000,0.0100000,-0.0434502,334180.0998428
0.0200000,0.0200000,-0.0334502,306358.0260555
0.0300000,0.0300000,-0.0234502,266204.8076901
0.0400000,0.0400000,-0.0134502,221022.5378185
0.0500000,0.0500000,-0.0034502,178272.7269251
0.0600000,0.0600000,0.0065498,145133.5180827
0.0700000,0.0700000,0.0165498,130419.8813648
0.0800000,0.0800000,0.0265498,149826.6458140
0.0900000,0.0900000,0.0365498,199604.2242568
0.1000000,0.1000000,0.0465498,249225.7185726
0.1100000,0.1100000,0.0565498,264459.2129428
0.1200000,0.1200000,0.0665498,242916.8742771
0.1300000,0.1300000,0.0765498,179805.5826272
0.1400000,0.1400000,0.0865498,137035.7487058
0.1500000,0.1500000,0.0965498,89338.6254486
0.1600000,0.1600000,0.1065498,48585.5064332
0.1700000,0.1700000,0.1165498,27086.9636956
0.1800000,0.1800000,0.1265498,15436.5234443
0.1900000,0.1900000,0.1365498,8964.4080333
0.2000000,0.2000000,0.1465498,5286.6277336
0.2100000,0.2100000,0.1565498,3153.5651588
0.2200000,0.2200000,0.1665498,1893.7398571
0.2300000,0.2300000,0.1765498,1150.4033219
0.2400000,0.2400000,0.1865498,689.2402123
0.2500000,0.2500000,0.1965498,405.0625574
0.2600000,0.2600000,0.2065498,228.6106964
0.2700000,0.2700000,0.2165498,118.8065882
0.2800000,0.2800000,0.2265498,50.6883747
0.2900000,0.2900000,0.2365498,8.8536129
0.3000000,0.3000000,0.2465498,-16.3232651
0.3100000,0.3100000,0.2565498,-30.9144877
0.3200000,0.3200000,0.2665498,-38.7793079
0.3300000,0.3300000,0.2765498,-42.3868950
0.3400000,0.3400000,0.2865498,-43.3261110
0.3500000,0.3500000,0.2965498,-42.6236828
0.3600000,0.3600000,0.3065498,-40.9444701
0.3700000,0.3700000,0.3165498,-38.7186770
0.3800000,0.3800000,0.3265498,-36.2234011
0.3900000,0.3900000,0.3365498,-33.6353685
0.4000000,0.4000000,0.3465498,-31.0653085
0.4100000,0.4100000,0.3565498,-28.5805193
0.4200000,0.4200000,0.3665498,-26.2197688
0.4300000,0.4300000,0.3765498,-24.0031824
0.4400000,0.4400000,0.3865498,-21.9388246
0.4500000,0.4500000,0.3965498,-20.0270896
0.4600000,0.4600000,0.4065498,-18.2636273
0.4700000,0.4700000,0.4165498,-16.6412907
0.4800000,0.4800000,0.4265498,-15.1514222
0.4900000,0.4900000,0.4365498,-13.7846966
0.5000000,0.5000000,0.4465498,-12.5316639
0.5100000,0.5100000,0.4565498,-11.3830891
0.5200000,0.5200000,0.4665498,-10.3301579
0.5300000,0.5300000,0.4765498,-9.3645899
0.5400000,0.5400000,0.4865498,-8.4786931
0.5500000,0.5500000,0.4965498,-7.6653788
0.5600000,0.5600000,0.5065498,-6.9181521
0.5700000,0.5700000,0.5165498,-6.2310864
0.5800000,0.5800000,0.5265498,-5.5987901
0.5900000,0.5900000,0.5365498,-5.0163690
0.6000000,0.6000000,0.5465498,-4.4793863
0.6100000,0.6100000,0.5565498,-3.9838239
0.6200000,0.6200000,0.5665498,-3.5260445
0.6300000,0.6300000,0.5765498,-3.1027644
0.6400000,0.6400000,0.5865498,-2.7144567
0.6500000,0.6500000,0.5965498,-2.5583968
0.6600000,0.6600000,0.6065498,-4.1318810
0.6700000,0.6700000,0.6165498,-6.9763964
0.6800000,0.6800000,0.6265498,-8.9665682
0.6900000,0.6900000,0.6365498,-9.9766094
0.7000000,0.7000000,0.6465498,-10.3056850
0.7100000,0.7100000,0.6565498,-10.2027883
0.7200000,0.7200000,0.6665498,-9.8389748
0.7300000,0.7300000,0.6765498,-9.3270457
0.7400000,0.7400000,0.6865498,-8.7402086
0.7500000,0.7500000,0.6965498,-8.1253589
0.7600000,0.7600000,0.7065498,-7.5120013
0.7700000,0.7700000,0.7165498,-6.9181565
0.7800000,0.7800000,0.7265498,-6.3542703
0.7900000,0.7900000,0.7365498,-5.8258112
0.8000000,0.8000000,0.7465498,-5.3350055
0.8100000,0.8100000,0.7565498,-4.8820028
0.8200000,0.8200000,0.7665498,-4.4656618
0.8300000,0.8300000,0.7765498,-4.0840787
0.8400000,0.8400000,0.7865498,-3.7349421
0.8500000,0.8500000,0.7965498,-3.4157673
0.8600000,0.8600000,0.8065498,-3.1240487
0.8700000,0.8700000,0.8165498,-2.8573554
0.8800000,0.8800000,0.8265498,-2.6133874
0.8900000,0.8900000,0.8365498,-2.3900064
0.9000000,0.9000000,0.8465498,-2.1852484
0.9100000,0.9100000,0.8565498,-1.9973514
0.9200000,0.9200000,0.8665498,-1.8285498
0.9300000,0.9300000,0.8765498,-1.7787043
0.9400000,0.9400000,0.8865498,-2.3781208
0.9500000,0.9500000,0.8965498,-3.7380947
0.9600000,0.9600000,0.9065498,-4.9621228
