# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
-0.9919568,-0.9919568,-0.7814615,225562.9420933
-0.9819568,-0.9819568,-0.7714615,238315.2815330
-0.9719568,-0.9719568,-0.7614615,230817.1531670
-0.9619568,-0.9619568,-0.7514615,201658.1272775
-0.9519568,-0.9519568,-0.7414615,198904.0808270
-0.9419568,-0.9419568,-0.7314615,212420.5755437
-0.9319568,-0.9319568,-0.7214615,229590.0539104
-0.9219568,-0.9219568,-0.7114615,188067.6659674
-0.9119568,-0.9119568,-0.7014615,191510.4290243
-0.9019568,-0.9019568,-0.6914615,238130.5540265
-0.8919568,-0.8919568,-0.6814615,209070.3953404
-0.8819568,-0.8819568,-0.6714615,199635.3046271
-0.8719568,-0.8719568,-0.6614615,213410.9431171
-0.8619568,-0.8619568,-0.6514615,243480.4234858
-0.8519568,-0.8519568,-0.6414615,242306.3632672
-0.8419568,-0.8419568,-0.6314615,219246.0226298
-0.8319568,-0.8319568,-0.6214615,208815.7516158
-0.8219568,-0.8219568,-0.6114615,196859.6446344
-0.8119568,-0.8119568,-0.6014615,199686.1799893
-0.8019568,-0.8019568,-0.5914615,202907.1241357
-0.7919568,-0.7919568,-0.5814615,215362.3848719
-0.7819568,-0.7819568,-0.5714615,235179.0918844
-0.7719568,-0.7719568,-0.5614615,255211.0973088
-0.7619568,-0.7619568,-0.5514615,219109.4009752
-0.7519568,-0.7519568,-0.5414615,199884.2352829
-0.7419568,-0.7419568,-0.5314615,207454.5914333
-0.7319568,-0.7319568,-0.5214615,229760.9114940
-0.7219568,-0.7219568,-0.5114615,200150.6915843
-0.7119568,-0.7119568,-0.5014615,184647.8227194
-0.7019568,-0.7019568,-0.4914615,213697.5402287
-0.6919568,-0.6919568,-0.4814615,220044.0695931
-0.6819568,-0.6819568,-0.4714615,205513.5022857
-0.6719568,-0.6719568,-0.4614615,197561.6614950
-0.6619568,-0.6619568,-0.4514615,221028.9961718
-0.6519568,-0.6519568,-0.4414615,243709.9906779
-0.6419568,-0.6419568,-0.4314615,227875.5783654
-0.6319568,-0.6319568,-0.4214615,222946.3640830
-0.6219568,-0.6219568,-0.4114615,210096.0135204
-0.6119568,-0.6119568,-0.4014615,218683.1280642
-0.6019568,-0.6019568,-0.3914615,209569.1512020
-0.5919568,-0.5919568,-0.3814615,222941.1947382
-0.5819568,-0.5819568,-0.3714615,227380.3183591
-0.5719568,-0.5719568,-0.3614615,242728.7188713
-0.5619568,-0.5619568,-0.3514615,222787.2528293
-0.5519568,-0.5519568,-0.3414615,198171.5617199
-0.5419568,-0.5419568,-0.3314615,203963.7906723
-0.5319568,-0.5319568,-0.3214615,218435.7230901
-0.5219568,-0.5219568,-0.3114615,216440.3844611
-0.5119568,-0.5119568,-0.3014615,185053.3344496
-0.5019568,-0.5019568,-0.2914615,198263.0176962
-0.4919568,-0.4919568,-0.2814615,231797.6831551
-0.4819568,-0.4819568,-0.2714615,207496.2062798
-0.4719568,-0.4719568,-0.2614615,199592.7877985
-0.4619568,-0.4619568,-0.2514615,217848.8749799
-0.4519568,-0.4519568,-0.2414615,252846.1376583
-0.4419568,-0.4419568,-0.2314615,236661.8652116
-0.4319568,-0.4319568,-0.2214615,216042.6522836
-0.4219568,-0.4219568,-0.2114615,204103.1959109
-0.4119568,-0.4119568,-0.2014615,198946.9239471
-0.4019568,-0.4019568,-0.1914615,197189.4428229
-0.3919568,-0.3919568,-0.1814615,208584.2547317
