# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
-0.2991708,-0.2991708,-0.1732607,1206334.0568477
-0.2891708,-0.2891708,-0.1632607,1092829.0903074
-0.2791708,-0.2791708,-0.1532607,806061.5473866
-0.2691708,-0.2691708,-0.1432607,698711.5176309
-0.2591708,-0.2591708,-0.1332607,646639.4773244
-0.2491708,-0.2491708,-0.1232607,727596.0108980
-0.2391708,-0.2391708,-0.1132607,918289.1418935
-0.2291708,-0.2291708,-0.1032607,1134593.3922848
-0.2191708,-0.2191708,-0.0932607,1304608.8380262
-0.2091708,-0.2091708,-0.0832607,1225951.3329141
-0.1991708,-0.1991708,-0.0732607,1185177.6805201
-0.1891708,-0.1891708,-0.0632607,1155042.0669927
-0.1791708,-0.1791708,-0.0532607,1011519.6207721
-0.1691708,-0.1691708,-0.0432607,825711.9708749
-0.1591708,-0.1591708,-0.0332607,700261.3830035
-0.1491708,-0.1491708,-0.0232607,670287.2462806
-0.1391708,-0.1391708,-0.0132607,530653.0295890
-0.1291708,-0.1291708,-0.0032607,282550.9035219
-0.1191708,-0.1191708,0.0067393,168928.9180532
-0.1091708,-0.1091708,0.0167393,113635.4450590
-0.0991708,-0.0991708,0.0267393,83742.7034208
-0.0891708,-0.0891708,0.0367393,67171.0864851
-0.0791708,-0.0791708,0.0467393,57972.8834769
-0.0691708,-0.0691708,0.0567393,53582.0635231
-0.0591708,-0.0591708,0.0667393,52704.2422703
-0.0491708,-0.0491708,0.0767393,54345.3887360
-0.0391708,-0.0391708,0.0867393,57471.2076646
-0.0291708,-0.0291708,0.0967393,39975.4479523
-0.0191708,-0.0191708,0.1067393,27602.9116334
-0.0091708,-0.0091708,0.1167393,18562.5705961
0.0008292,0.0008292,0.1267393,12685.0376427
0.0108292,0.0108292,0.1367393,8817.8760454
0.0208292,0.0208292,0.1467393,6224.4339549
0.0308292,0.0308292,0.1567393,4444.3997413
0.0408292,0.0408292,0.1667393,3193.8557492
0.0508292,0.0508292,0.1767393,2297.8459703
0.0608292,0.0608292,0.1867393,1665.9446288
0.0708292,0.0708292,0.1967393,1174.4449486
0.0808292,0.0808292,0.2067393,720.4693679
0.0908292,0.0908292,0.2167393,440.2682335
0.1008292,0.1008292,0.2267393,264.2957554
0.1108292,0.1108292,0.2367393,153.3757747
0.1208292,0.1208292,0.2467393,83.2901671
0.1308292,0.1308292,0.2567393,38.7735977
0.1408292,0.1408292,0.2667393,9.5707282
0.1508292,0.1508292,0.2767393,-10.4108228
0.1608292,0.1608292,0.2867393,-22.8515915
0.1708292,0.1708292,0.2967393,-29.8398459
0.1808292,0.1808292,0.3067393,-33.2929994
0.1908292,0.1908292,0.3167393,-34.5274687
0.2008292,0.2008292,0.3267393,-34.3966418
0.2108292,0.2108292,0.3367393,-33.4598004
0.2208292,0.2208292,0.3467393,-32.0870963
0.2308292,0.2308292,0.3567393,-30.5081250
0.2408292,0.2408292,0.3667393,-28.8723269
0.2508292,0.2508292,0.3767393,-27.2918985
0.2608292,0.2608292,0.3867393,-25.8691832
0.2708292,0.2708292,0.3967393,-24.6811218
0.2808292,0.2808292,0.4067393,-23.6216057
0.2908292,0.2908292,0.4167393,-22.4821456
0.3008292,0.3008292,0.4267393,-21.1851907
0.3108292,0.3108292,0.4367393,-19.7720772
0.3208292,0.3208292,0.4467393,-18.3142076
0.3308292,0.3308292,0.4567393,-16.8712669
0.3408292,0.3408292,0.4667393,-15.4828331
0.3508292,0.3508292,0.4767393,-14.1713617
0.3608292,0.3608292,0.4867393,-12.9472475
0.3708292,0.3708292,0.4967393,-11.8131699
0.3808292,0.3808292,0.5067393,-10.7672204
0.3908292,0.3908292,0.5167393,-9.8049726
0.4008292,0.4008292,0.5267393,-8.9207835
0.4108292,0.4108292,0.5367393,-8.1085771
0.4208292,0.4208292,0.5467393,-7.3622964
0.4308292,0.4308292,0.5567393,-6.6761493
0.4408292,0.4408292,0.5667393,-6.0447300
0.4508292,0.4508292,0.5767393,-5.4630679
0.4608292,0.4608292,0.5867393,-4.9266718
0.4708292,0.4708292,0.5967393,-4.4325845
0.4808292,0.4808292,0.6067393,-3.9938919
0.4908292,0.4908292,0.6167393,-3.7300724
0.5008292,0.5008292,0.6267393,-3.9849696
0.5108292,0.5108292,0.6367393,-4.8668295
0.5208292,0.5208292,0.6467393,-5.9186420
0.5308292,0.5308292,0.6567393,-6.7589193
0.5408292,0.5408292,0.6667393,-7.2733620
0.5508292,0.5508292,0.6767393,-7.4901484
0.5608292,0.5608292,0.6867393,-7.4873538
0.5708292,0.5708292,0.6967393,-7.3475995
0.5808292,0.5808292,0.7067393,-7.1393716
0.5908292,0.5908292,0.7167393,-6.9133675
0.6008292,0.6008292,0.7267393,-6.7025339
