# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.8065780,0.8065780,0.9799999,-0.3085351,-0.3257846
0.8165780,0.8165780,0.9899999,-0.2962163,-0.3123696
0.8265780,0.8265780,0.9999999,-0.2845025,-0.2996863
0.8365780,0.8365780,1.0099999,-0.2733581,-0.2876467
0.8465780,0.8465780,1.0199999,-0.2627499,-0.2762105
0.8565780,0.8565780,1.0299999,-0.2526469,-0.2653408
0.8665780,0.8665780,1.0399999,-0.2430202,-0.2550034
0.8765780,0.8765780,1.0499999,-0.2338429,-0.2451667
0.8865780,0.8865780,1.0599999,-0.2250898,-0.2358010
0.8965780,0.8965780,1.0699999,-0.2167374,-0.2268875
0.9065780,0.9065780,1.0799999,-0.2087637,-0.2184087
0.9165780,0.9165780,1.0899999,-0.2011482,-0.2103374
0.9265780,0.9265780,1.0999999,-0.1938717,-0.2026336
0.9365780,0.9365780,1.1099999,-0.1869160,-0.1952772
0.9465780,0.9465780,1.1199999,-0.1802643,-0.1882493
0.9565780,0.9565780,1.1299999,-0.1739007,-0.1815320
0.9665780,0.9665780,1.1399999,-0.1678103,-0.1751089
0.9765780,0.9765780,1.1499999,-0.1619791,-0.1689710
0.9865780,0.9865780,1.1599999,-0.1563939,-0.1631144
0.9965780,0.9965780,1.1699999,-0.1510424,-0.1575055
1.0065780,1.0065780,1.1799999,-0.1459129,-0.1521318
1.0165780,1.0165780,1.1899999,-0.1409944,-0.1469813
1.0265780,1.0265780,1.1999999,-0.1362767,-0.1420429
1.0365780,1.0365780,1.2099999,-0.1317498,-0.1373063
1.0465780,1.0465780,1.2199999,-0.1274048,-0.1327615
1.0565780,1.0565780,1.2299999,-0.1232328,-0.1284047
1.0665780,1.0665780,1.2399999,-0.1192258,-0.1242247
1.0765780,1.0765780,1.2499999,-0.1153758,-0.1202128
1.0865780,1.0865780,1.2599999,-0.1116758,-0.1163574
1.0965780,1.0965780,1.2699999,-0.1081187,-0.1126513
1.1065780,1.1065780,1.2799999,-0.1046979,-0.1090874
1.1165780,1.1165780,1.2899999,-0.1014074,-0.1056595
1.1265780,1.1265780,1.2999999,-0.0982412,-0.1023612
1.1365780,1.1365780,1.3099999,-0.0951937,-0.0991868
1.1465780,1.1465780,1.3199999,-0.0922597,-0.0961307
1.1565780,1.1565780,1.3299999,-0.0894343,-0.0931901
1.1665780,1.1665780,1.3399999,-0.0867125,-0.0903581
1.1765780,1.1765780,1.3499999,-0.0840901,-0.0876293
1.1865780,1.1865780,1.3599999,-0.0815626,-0.0849993
1.1965780,1.1965780,1.3699999,-0.0791261,-0.0824637
1.2065780,1.2065780,1.3799999,-0.0767766,-0.0800187
1.2165780,1.2165780,1.3899999,-0.0745105,-0.0776603
1.2265780,1.2265780,1.3999999,-0.0723244,-0.0753850
1.2365780,1.2365780,1.4099999,-0.0702148,-0.0731893
1.2465780,1.2465780,1.4199999,-0.0681787,-0.0710700
1.2565780,1.2565780,1.4299999,-0.0662130,-0.0690248
1.2665780,1.2665780,1.4399999,-0.0643149,-0.0670498
1.2765780,1.2765780,1.4499999,-0.0624816,-0.0651419
1.2865780,1.2865780,1.4599999,-0.0607105,-0.0632987
1.2965780,1.2965780,1.4699999,-0.0589992,-0.0615175
1.3065780,1.3065780,1.4799999,-0.0573453,-0.0597959
1.3165780,1.3165780,1.4899999,-0.0557465,-0.0581314
1.3265780,1.3265780,1.4999999,-0.0542008,-0.0565220
1.3365780,1.3365780,1.5099999,-0.0527059,-0.0549655
1.3465780,1.3465780,1.5199999,-0.0512600,-0.0534598
1.3565780,1.3565780,1.5299999,-0.0498611,-0.0520029
1.3665780,1.3665780,1.5399999,-0.0485076,-0.0505931
1.3765780,1.3765780,1.5499999,-0.0471976,-0.0492286
1.3865780,1.3865780,1.5599999,-0.0459296,-0.0479076
1.3965780,1.3965780,1.5699999,-0.0447019,-0.0466285
1.4065780,1.4065780,1.5799999,-0.0435131,-0.0453900
1.4165780,1.4165780,1.5899999,-0.0423617,-0.0441906
1.4265780,1.4265780,1.5999999,-0.0412463,-0.0430287
1.4365780,1.4365780,1.6099999,-0.0401657,-0.0419028
1.4465780,1.4465780,1.6199999,-0.0391186,-0.0408117
1.4565780,1.4565780,1.6299999,-0.0381037,-0.0397541
1.4665780,1.4665780,1.6399999,-0.0371200,-0.0387288
1.4765780,1.4765780,1.6499999,-0.0361662,-0.0377347
1.4865780,1.4865780,1.6599999,-0.0352413,-0.0367706
1.4965780,1.4965780,1.6699999,-0.0343444,-0.0358355
1.5065780,1.5065780,1.6799999,-0.0334744,-0.0349284
1.5165780,1.5165780,1.6899999,-0.0326304,-0.0340484
1.5265780,1.5265780,1.6999999,-0.0318115,-0.0331944
1.5365780,1.5365780,1.7099999,-0.0310168,-0.0323656
1.5465780,1.5465780,1.7199999,-0.0302454,-0.0315611
1.5565780,1.5565780,1.7299999,-0.0294967,-0.0307801
1.5665780,1.5665780,1.7399999,-0.0287698,-0.0300218
1.5765780,1.5765780,1.7499999,-0.0280640,-0.0292854
1.5865780,1.5865780,1.7599999,-0.0273785,-0.0285703
1.5965780,1.5965780,1.7699999,-0.0267127,-0.0278756
