# r[nm],ssd(r)[nm]
-1.6372000,-1.6372000
-1.6322000,-1.6322000
-1.6272000,-1.6272000
-1.6222000,-1.6222000
-1.6172000,-1.6172000
-1.6122000,-1.6122000
-1.6072000,-1.6072000
-1.6022000,-1.6022000
-1.5972000,-1.5972000
-1.5922000,-1.5922000
-1.5872000,-1.5872000
-1.5822000,-1.5822000
-1.5772000,-1.5772000
-1.5722000,-1.5722000
-1.5672000,-1.5672000
-1.5622000,-1.5622000
-1.5572000,-1.5572000
-1.5522000,-1.5522000
-1.5472000,-1.5472000
-1.5422000,-1.5422000
-1.5372000,-1.5372000
-1.5322000,-1.5322000
-1.5272000,-1.5272000
-1.5222000,-1.5222000
-1.5172000,-1.5172000
-1.5122000,-1.5122000
-1.5072000,-1.5072000
-1.5022000,-1.5022000
-1.4972000,-1.4972000
-1.4922000,-1.4922000
-1.4872000,-1.4872000
-1.4822000,-1.4822000
-1.4772000,-1.4772000
-1.4722000,-1.4722000
-1.4672000,-1.4672000
-1.4622000,-1.4622000
-1.4572000,-1.4572000
-1.4522000,-1.4522000
-1.4472000,-1.4472000
-1.4422000,-1.4422000
-1.4372000,-1.4372000
-1.4322000,-1.4322000
-1.4272000,-1.4272000
-1.4222000,-1.4222000
-1.4172000,-1.4172000
-1.4122000,-1.4122000
-1.4072000,-1.4072000
-1.4022000,-1.4022000
-1.3972000,-1.3972000
-1.3922000,-1.3922000
-1.3872000,-1.3872000
-1.3822000,-1.3822000
-1.3772000,-1.3772000
-1.3722000,-1.3722000
-1.3672000,-1.3672000
-1.3622000,-1.3622000
-1.3572000,-1.3572000
-1.3522000,-1.3522000
-1.3472000,-1.3472000
-1.3422000,-1.3422000
-1.3372000,-1.3372000
-1.3322000,-1.3322000
-1.3272000,-1.3272000
-1.3222000,-1.3222000
-1.3172000,-1.3172000
-1.3122000,-1.3122000
-1.3072000,-1.3072000
-1.3022000,-1.3022000
-1.2972000,-1.2972000
-1.2922000,-1.2922000
-1.2872000,-1.2872000
-1.2822000,-1.2822000
-1.2772000,-1.2772000
-1.2722000,-1.2722000
-1.2672000,-1.2672000
-1.2622000,-1.2622000
-1.2572000,-1.2572000
-1.2522000,-1.2522000
-1.2472000,-1.2472000
-1.2422000,-1.2422000
-1.2372000,-1.2372000
-1.2322000,-1.2322000
