# r[nm],ssd(r)[nm]
-0.8156111,-0.8156111
-0.8106111,-0.8106111
-0.8056111,-0.8056111
-0.8006111,-0.8006111
-0.7956111,-0.7956111
-0.7906111,-0.7906111
-0.7856111,-0.7856111
-0.7806111,-0.7806111
-0.7756111,-0.7756111
-0.7706111,-0.7706111
-0.7656111,-0.7656111
-0.7606111,-0.7606111
-0.7556111,-0.7556111
-0.7506111,-0.7506111
-0.7456111,-0.7456111
-0.7406111,-0.7406111
-0.7356111,-0.7356111
-0.7306111,-0.7306111
-0.7256111,-0.7256111
-0.7206111,-0.7206111
-0.7156111,-0.7156111
-0.7106111,-0.7106111
-0.7056111,-0.7056111
-0.7006111,-0.7006111
-0.6956111,-0.6956111
-0.6906111,-0.6906111
-0.6856111,-0.6856111
-0.6806111,-0.6806111
-0.6756111,-0.6756111
-0.6706111,-0.6706111
-0.6656111,-0.6656111
-0.6606111,-0.6606111
-0.6556111,-0.6556111
-0.6506111,-0.6506111
-0.6456111,-0.6456111
-0.6406111,-0.6406111
-0.6356111,-0.6356111
-0.6306111,-0.6306111
-0.6256111,-0.6256111
-0.6206111,-0.6206111
-0.6156111,-0.6156111
-0.6106111,-0.6106111
-0.6056111,-0.6056111
-0.6006111,-0.6006111
-0.5956111,-0.5956111
-0.5906111,-0.5906111
-0.5856111,-0.5856111
-0.5806111,-0.5806111
-0.5756111,-0.5756111
-0.5706111,-0.5706111
-0.5656111,-0.5656111
-0.5606111,-0.5606111
-0.5556111,-0.5556111
-0.5506111,-0.5506111
-0.5456111,-0.5456111
-0.5406111,-0.5406111
-0.5356111,-0.5356111
-0.5306111,-0.5306111
-0.5256111,-0.5256111
-0.5206111,-0.5206111
-0.5156111,-0.5156111
-0.5106111,-0.5106111
-0.5056111,-0.5056111
-0.5006111,-0.5006111
-0.4956111,-0.4956111
-0.4906111,-0.4906111
-0.4856111,-0.4856111
-0.4806111,-0.4806111
-0.4756111,-0.4756111
-0.4706111,-0.4706111
-0.4656111,-0.4656111
-0.4606111,-0.4606111
-0.4556111,-0.4556111
-0.4506111,-0.4506111
-0.4456111,-0.4456111
-0.4406111,-0.4406111
-0.4356111,-0.4356111
-0.4306111,-0.4306111
-0.4256111,-0.4256111
-0.4206111,-0.4206111
-0.4156111,-0.4156111
-0.4106111,-0.4106111
-0.4056111,-0.4056111
-0.4006111,-0.4006111
-0.3956111,-0.3956111
-0.3906111,-0.3906111
-0.3856111,-0.3856111
-0.3806111,-0.3806111
-0.3756111,-0.3756111
-0.3706111,-0.3706111
-0.3656111,-0.3656111
-0.3606111,-0.3606111
-0.3556111,-0.3556111
-0.3506111,-0.3506111
-0.3456111,-0.3456111
-0.3406111,-0.3406111
-0.3356111,-0.3356111
-0.3306111,-0.3306111
-0.3256111,-0.3256111
-0.3206111,-0.3206111
-0.3156111,-0.3156111
-0.3106111,-0.3106111
-0.3056111,-0.3056111
-0.3006111,-0.3006111
-0.2956111,-0.2956111
-0.2906111,-0.2906111
-0.2856111,-0.2856111
-0.2806111,-0.2806111
-0.2756111,-0.2756111
-0.2706111,-0.2706111
-0.2656111,-0.2656111
-0.2606111,-0.2606111
-0.2556111,-0.2556111
-0.2506111,-0.2506111
-0.2456111,-0.2456111
-0.2406111,-0.2406111
-0.2356111,-0.2356111
-0.2306111,-0.2306111
-0.2256111,-0.2256111
-0.2206111,-0.2206111
-0.2156111,-0.2156111
-0.2106111,-0.2106111
-0.2056111,-0.2056111
-0.2006111,-0.2006111
-0.1956111,-0.1956111
-0.1906111,-0.1906111
-0.1856111,-0.1856111
-0.1806111,-0.1806111
-0.1756111,-0.1756111
-0.1706111,-0.1706111
-0.1656111,-0.1656111
-0.1606111,-0.1606111
-0.1556111,-0.1556111
-0.1506111,-0.1506111
-0.1456111,-0.1456111
-0.1406111,-0.1406111
-0.1356111,-0.1356111
-0.1306111,-0.1306111
-0.1256111,-0.1256111
-0.1206111,-0.1206111
-0.1156111,-0.1156111
-0.1106111,-0.1106111
