# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol],UMincline3(d)[kj/mol]
-0.1845611,-0.1845611,0.0000000,14058.5607595,14058.5607595
-0.1745611,-0.1745611,0.0100000,12651.2205657,12651.2205657
-0.1645611,-0.1645611,0.0200000,11879.6132835,11879.6132835
-0.1545611,-0.1545611,0.0300000,11585.4529969,11585.4529969
-0.1445611,-0.1445611,0.0400000,10775.0194085,10775.0194085
-0.1345611,-0.1345611,0.0500000,8499.0913814,8499.0913814
-0.1245611,-0.1245611,0.0600000,7065.5782894,7065.5782894
-0.1145611,-0.1145611,0.0700000,6164.4761059,6164.4761059
-0.1045611,-0.1045611,0.0800000,5243.0994917,5243.0994917
-0.0945611,-0.0945611,0.0900000,4326.8760358,4326.8760358
-0.0845611,-0.0845611,0.1000000,3806.5679896,3806.5679896
-0.0745611,-0.0745611,0.1100000,3587.7004768,3587.7004768
-0.0645611,-0.0645611,0.1200000,3629.9635212,3629.9635212
-0.0545611,-0.0545611,0.1300000,3918.2622596,3918.2622596
-0.0445611,-0.0445611,0.1400000,3970.4083968,3970.4083968
-0.0345611,-0.0345611,0.1500000,3711.3208781,3711.3208781
-0.0245611,-0.0245611,0.1600000,3545.9521907,3545.9521907
-0.0145611,-0.0145611,0.1700000,3259.3026882,3259.3026882
-0.0045611,-0.0045611,0.1800000,2045.4645165,2045.4645165
0.0054389,0.0054389,0.1900000,1293.8655557,1274.9450065
0.0154389,0.0154389,0.2000000,813.9163608,795.0164245
0.0254389,0.0254389,0.2100000,512.3374931,494.1074246
0.0354389,0.0354389,0.2200000,320.5314288,303.6429039
0.0454389,0.0454389,0.2300000,198.2768960,181.1169559
0.0554389,0.0554389,0.2400000,121.0187195,103.4620080
0.0654389,0.0654389,0.2500000,72.2996660,54.8006687
0.0754389,0.0754389,0.2600000,41.5759594,24.3118679
0.0854389,0.0854389,0.2700000,22.2660799,5.3188830
0.0954389,0.0954389,0.2800000,10.1945428,-6.3461849
0.1054389,0.1054389,0.2900000,2.5944684,-13.3140132
0.1154389,0.1154389,0.3000000,-2.3281065,-17.2620264
0.1254389,0.1254389,0.3100000,-5.5899880,-19.2695935
0.1354389,0.1354389,0.3200000,-7.6874627,-20.0366733
0.1454389,0.1454389,0.3300000,-8.9611985,-20.0199980
0.1554389,0.1554389,0.3400000,-9.7526879,-19.5188723
0.1654389,0.1654389,0.3500000,-10.3113994,-18.7298234
0.1754389,0.1754389,0.3600000,-10.6488600,-17.7817746
0.1854389,0.1854389,0.3700000,-10.7022617,-16.7717835
0.1954389,0.1954389,0.3800000,-10.5011529,-15.7521427
0.2054389,0.2054389,0.3900000,-10.1435571,-15.1139952
0.2154389,0.2154389,0.4000000,-9.7343543,-15.1621286
0.2254389,0.2254389,0.4100000,-9.3477377,-14.8780729
0.2354389,0.2354389,0.4200000,-9.0181651,-14.3794134
0.2454389,0.2454389,0.4300000,-8.7520605,-13.8115984
0.2554389,0.2554389,0.4400000,-8.5328147,-13.1568418
0.2654389,0.2654389,0.4500000,-8.3247841,-12.5135726
0.2754389,0.2754389,0.4600000,-8.1018531,-11.9123458
0.2854389,0.2854389,0.4700000,-7.8619142,-11.2691097
0.2954389,0.2954389,0.4800000,-7.6117184,-10.7555027
0.3054389,0.3054389,0.4900000,-7.3537370,-11.1246142
0.3154389,0.3154389,0.5000000,-7.0895227,-11.1469641
0.3254389,0.3254389,0.5100000,-6.8259858,-10.9369881
0.3354389,0.3354389,0.5200000,-6.5759085,-10.6270720
0.3454389,0.3454389,0.5300000,-6.3493968,-10.2155117
0.3554389,0.3554389,0.5400000,-6.1415938,-9.8457470
0.3654389,0.3654389,0.5500000,-5.9397470,-9.4517019
0.3754389,0.3754389,0.5600000,-5.7375607,-8.9974485
0.3854389,0.3854389,0.5700000,-5.5327102,-8.5402303
0.3954389,0.3954389,0.5800000,-5.3194896,-8.1118259
0.4054389,0.4054389,0.5900000,-5.0918260,-7.6618239
0.4154389,0.4154389,0.6000000,-4.8489020,-7.2194340
0.4254389,0.4254389,0.6100000,-4.5954955,-6.8250306
0.4354389,0.4354389,0.6200000,-4.3388892,-6.4244971
0.4454389,0.4454389,0.6300000,-4.0859639,-6.0581792
0.4554389,0.4554389,0.6400000,-3.8419398,-5.7050532
0.4654389,0.4654389,0.6500000,-3.6102581,-5.3791002
0.4754389,0.4754389,0.6600000,-3.3928172,-5.0501711
0.4854389,0.4854389,0.6700000,-3.1902881,-4.7305045
0.4954389,0.4954389,0.6800000,-3.0021098,-4.4305753
0.5054389,0.5054389,0.6900000,-2.8265367,-4.1437012
0.5154389,0.5154389,0.7000000,-2.6616021,-3.8722299
0.5254389,0.5254389,0.7100000,-2.5060875,-3.6244086
0.5354389,0.5354389,0.7200000,-2.3595638,-3.3977793
0.5454389,0.5454389,0.7300000,-2.2219514,-3.1893928
0.5554389,0.5554389,0.7400000,-2.0931693,-3.0012634
0.5654389,0.5654389,0.7500000,-1.9729988,-2.8283179
0.5754389,0.5754389,0.7600000,-1.8610793,-2.6685441
0.5854389,0.5854389,0.7700000,-1.7569516,-2.5247870
0.5954389,0.5954389,0.7800000,-1.6601052,-2.3866441
0.6054389,0.6054389,0.7900000,-1.5700149,-2.2487804
0.6154389,0.6154389,0.8000000,-1.4861648,-2.1151667
0.6254389,0.6254389,0.8100000,-1.4080632,-1.9879577
0.6354389,0.6354389,0.8200000,-1.3352495,-1.8683183
0.6454389,0.6454389,0.8300000,-1.2672976,-1.7564840
0.6554389,0.6554389,0.8400000,-1.2038160,-1.6523332
0.6654389,0.6654389,0.8500000,-1.1444470,-1.5555995
0.6754389,0.6754389,0.8600000,-1.0888642,-1.4658824
0.6854389,0.6854389,0.8700000,-1.0367708,-1.3827188
0.6954389,0.6954389,0.8800000,-0.9878963,-1.3056252
0.7054389,0.7054389,0.8900000,-0.9419950,-1.2341241
0.7154389,0.7154389,0.9000000,-0.8988428,-1.1677587
0.7254389,0.7254389,0.9100000,-0.8582357,-1.1061004
0.7354389,0.7354389,0.9200000,-0.8199877,-1.0487522
0.7454389,0.7454389,0.9300000,-0.7839287,-0.9953501
0.7554389,0.7554389,0.9400000,-0.7499035,-0.9455616
0.7654389,0.7654389,0.9500000,-0.7177700,-0.8990843
0.7754389,0.7754389,0.9600000,-0.6873977,-0.8556441
0.7854389,0.7854389,0.9700000,-0.6586673,-0.8149923
0.7954389,0.7954389,0.9800000,-0.6314688,-0.7769406
0.8054389,0.8054389,0.9900000,-0.6057012,-0.7412659
0.8154389,0.8154389,1.0000000,-0.5812716,-0.7077570
0.8254389,0.8254389,1.0100000,-0.5580941,-0.6762475
0.8354389,0.8354389,1.0200000,-0.5360896,-0.6465864
0.8454389,0.8454389,1.0300000,-0.5151848,-0.6186362
0.8554389,0.8554389,1.0400000,-0.4953120,-0.5922720
0.8654389,0.8654389,1.0500000,-0.4764085,-0.5673797
0.8754389,0.8754389,1.0600000,-0.4584162,-0.5438552
0.8854389,0.8854389,1.0700000,-0.4412811,-0.5216034
0.8954389,0.8954389,1.0800000,-0.4249529,-0.5005372
0.9054389,0.9054389,1.0900000,-0.4093852,-0.4805862
0.9154389,0.9154389,1.1000000,-0.3945343,-0.4617307
0.9254389,0.9254389,1.1100000,-0.3803600,-0.4438303
0.9354389,0.9354389,1.1200000,-0.3668244,-0.4268243
0.9454389,0.9454389,1.1300000,-0.3538924,-0.4106567
0.9554389,0.9554389,1.1400000,-0.3415310,-0.3952756
0.9654389,0.9654389,1.1500000,-0.3297095,-0.3806333
0.9754389,0.9754389,1.1600000,-0.3183990,-0.3666854
