# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
-0.0078780,-0.0078780,0.0000000,4319.5372133,4319.5372133
0.0021220,0.0021220,0.0100000,3861.3731101,3861.3731101
0.0121220,0.0121220,0.0200000,3510.7823193,3510.7823193
0.0221220,0.0221220,0.0300000,3181.4389338,3181.4389338
0.0321220,0.0321220,0.0400000,2838.7819317,2838.7819317
0.0421220,0.0421220,0.0500000,2475.3947282,2475.3947282
0.0521220,0.0521220,0.0600000,2100.4827019,2100.4827019
0.0621220,0.0621220,0.0700000,1763.3137404,1738.8438527
0.0721220,0.0721220,0.0800000,1429.2504457,1404.7815850
0.0821220,0.0821220,0.0900000,1132.6013738,1108.1814196
0.0921220,0.0921220,0.1000000,877.8020764,854.0286808
0.1021220,0.1021220,0.1100000,664.8710622,641.7882791
0.1121220,0.1121220,0.1200000,492.5991934,469.2631502
0.1221220,0.1221220,0.1300000,357.1277170,334.3954487
0.1321220,0.1321220,0.1400000,252.9315027,231.3052950
0.1421220,0.1421220,0.1500000,174.3878592,154.1267514
0.1521220,0.1521220,0.1600000,116.3071198,97.4844559
0.1621220,0.1621220,0.1700000,74.1558281,56.7317572
0.1721220,0.1721220,0.1800000,44.1289096,28.0211689
0.1821220,0.1821220,0.1900000,23.1293093,8.2710274
0.1921220,0.1921220,0.2000000,8.6951283,-4.9224773
0.2021220,0.2021220,0.2100000,-1.0998515,-13.3942898
0.2121220,0.2121220,0.2200000,-7.6680071,-18.5199746
0.2221220,0.2221220,0.2300000,-11.9628690,-21.3147786
0.2321220,0.2321220,0.2400000,-14.6663882,-22.5405692
0.2421220,0.2421220,0.2500000,-16.2952559,-22.8404680
0.2521220,0.2521220,0.2600000,-17.2141117,-22.7557043
0.2621220,0.2621220,0.2700000,-17.6392880,-22.3204386
0.2721220,0.2721220,0.2800000,-17.6754054,-21.4594337
0.2821220,0.2821220,0.2900000,-17.3852937,-20.3214591
0.2921220,0.2921220,0.3000000,-16.8212984,-19.0374679
0.3021220,0.3021220,0.3100000,-16.0370718,-17.6981058
0.3121220,0.3121220,0.3200000,-15.1004252,-16.3651817
0.3221220,0.3221220,0.3300000,-14.0837101,-15.0774339
0.3321220,0.3321220,0.3400000,-13.0475511,-13.8577338
0.3421220,0.3421220,0.3500000,-12.0344395,-12.7181922
0.3521220,0.3521220,0.3600000,-11.0703830,-11.6848308
0.3621220,0.3621220,0.3700000,-10.1691862,-10.7313727
0.3721220,0.3721220,0.3800000,-9.3365253,-9.8583338
0.3821220,0.3821220,0.3900000,-8.5730193,-9.0641373
0.3921220,0.3921220,0.4000000,-7.8763248,-8.3304820
0.4021220,0.4021220,0.4100000,-7.2424943,-7.6581440
0.4121220,0.4121220,0.4200000,-6.6668253,-7.0448378
0.4221220,0.4221220,0.4300000,-6.1443790,-6.4870024
0.4321220,0.4321220,0.4400000,-5.6702845,-5.9803758
0.4421220,0.4421220,0.4500000,-5.2399096,-5.5204987
0.4521220,0.4521220,0.4600000,-4.8489475,-5.1029995
0.4621220,0.4621220,0.4700000,-4.4934526,-4.7237466
0.4721220,0.4721220,0.4800000,-4.1698455,-4.3789212
0.4821220,0.4821220,0.4900000,-3.8749008,-4.0650434
0.4921220,0.4921220,0.5000000,-3.6057243,-3.7789708
0.5021220,0.5021220,0.5100000,-3.3597273,-3.5178827
0.5121220,0.5121220,0.5200000,-3.1345975,-3.2792567
0.5221220,0.5221220,0.5300000,-2.9282725,-3.0608422
0.5321220,0.5321220,0.5400000,-2.7389125,-2.8606339
0.5421220,0.5421220,0.5500000,-2.5648769,-2.6768474
0.5521220,0.5521220,0.5600000,-2.4047017,-2.5078874
0.5621220,0.5621220,0.5700000,-2.2570797,-2.3523353
0.5721220,0.5721220,0.5800000,-2.1208425,-2.2089256
0.5821220,0.5821220,0.5900000,-1.9949451,-2.0765283
0.5921220,0.5921220,0.6000000,-1.8784515,-1.9541683
0.6021220,0.6021220,0.6100000,-1.7705222,-1.8409144
0.6121220,0.6121220,0.6200000,-1.6704038,-1.7359371
0.6221220,0.6221220,0.6300000,-1.5774185,-1.6385133
0.6321220,0.6321220,0.6400000,-1.4909565,-1.5480039
0.6421220,0.6421220,0.6500000,-1.4104680,-1.4638026
0.6521220,0.6521220,0.6600000,-1.3354566,-1.3853809
0.6621220,0.6621220,0.6700000,-1.2654737,-1.3122613
0.6721220,0.6721220,0.6800000,-1.2001132,-1.2440123
0.6821220,0.6821220,0.6900000,-1.1390071,-1.1802426
0.6921220,0.6921220,0.7000000,-1.0818214,-1.1205977
0.7021220,0.7021220,0.7100000,-1.0282524,-1.0647556
0.7121220,0.7121220,0.7200000,-0.9780241,-1.0124234
0.7221220,0.7221220,0.7300000,-0.9308848,-0.9633347
0.7321220,0.7321220,0.7400000,-0.8866049,-0.9172464
0.7421220,0.7421220,0.7500000,-0.8449748,-0.8739369
0.7521220,0.7521220,0.7600000,-0.8058028,-0.8332034
0.7621220,0.7621220,0.7700000,-0.7689134,-0.7948605
0.7721220,0.7721220,0.7800000,-0.7341457,-0.7587386
0.7821220,0.7821220,0.7900000,-0.7013522,-0.7246818
0.7921220,0.7921220,0.8000000,-0.6703971,-0.6925473
0.8021220,0.8021220,0.8100000,-0.6411558,-0.6622037
0.8121220,0.8121220,0.8200000,-0.6135136,-0.6335301
0.8221220,0.8221220,0.8300000,-0.5873646,-0.6064153
0.8321220,0.8321220,0.8400000,-0.5626112,-0.5807566
0.8421220,0.8421220,0.8500000,-0.5391633,-0.5564594
0.8521220,0.8521220,0.8600000,-0.5169377,-0.5334361
0.8621220,0.8621220,0.8700000,-0.4958572,-0.5116059
0.8721220,0.8721220,0.8800000,-0.4758505,-0.4908939
0.8821220,0.8821220,0.8900000,-0.4568515,-0.4712308
0.8921220,0.8921220,0.9000000,-0.4387987,-0.4525523
0.9021220,0.9021220,0.9100000,-0.4216353,-0.4347986
0.9121220,0.9121220,0.9200000,-0.4053081,-0.4179145
0.9221220,0.9221220,0.9300000,-0.3897681,-0.4018483
0.9321220,0.9321220,0.9400000,-0.3749693,-0.3865521
0.9421220,0.9421220,0.9500000,-0.3608690,-0.3719812
0.9521220,0.9521220,0.9600000,-0.3474275,-0.3580941
0.9621220,0.9621220,0.9700000,-0.3346075,-0.3448520
0.9721220,0.9721220,0.9800000,-0.3223743,-0.3322186
0.9821220,0.9821220,0.9900000,-0.3106956,-0.3201602
0.9921220,0.9921220,1.0000000,-0.2995410,-0.3086451
1.0021220,1.0021220,1.0100000,-0.2888822,-0.2976437
1.0121220,1.0121220,1.0200000,-0.2786925,-0.2871284
1.0221220,1.0221220,1.0300000,-0.2689472,-0.2770732
1.0321220,1.0321220,1.0400000,-0.2596227,-0.2674539
1.0421220,1.0421220,1.0500000,-0.2506973,-0.2582476
1.0521220,1.0521220,1.0600000,-0.2421504,-0.2494329
1.0621220,1.0621220,1.0700000,-0.2339627,-0.2409899
1.0721220,1.0721220,1.0800000,-0.2261159,-0.2328995
1.0821220,1.0821220,1.0900000,-0.2185930,-0.2251440
1.0921220,1.0921220,1.1000000,-0.2113780,-0.2177068
1.1021220,1.1021220,1.1100000,-0.2044557,-0.2105720
1.1121220,1.1121220,1.1200000,-0.1978118,-0.2037250
1.1221220,1.1221220,1.1300000,-0.1914328,-0.1971517
1.1321220,1.1321220,1.1400000,-0.1853062,-0.1908390
1.1421220,1.1421220,1.1500000,-0.1794198,-0.1847744
1.1521220,1.1521220,1.1600000,-0.1737625,-0.1789463
1.1621220,1.1621220,1.1700000,-0.1683235,-0.1733435
1.1721220,1.1721220,1.1800000,-0.1630927,-0.1679556
1.1821220,1.1821220,1.1900000,-0.1580605,-0.1627728
1.1921220,1.1921220,1.2000000,-0.1532180,-0.1577855
1.2021220,1.2021220,1.2100000,-0.1485566,-0.1529850
1.2121220,1.2121220,1.2200000,-0.1440681,-0.1483630
1.2221220,1.2221220,1.2300000,-0.1397449,-0.1439114
1.2321220,1.2321220,1.2400000,-0.1355797,-0.1396227
1.2421220,1.2421220,1.2500000,-0.1315657,-0.1354898
1.2521220,1.2521220,1.2600000,-0.1276962,-0.1315059
1.2621220,1.2621220,1.2700000,-0.1239650,-0.1276645
1.2721220,1.2721220,1.2800000,-0.1203663,-0.1239597
1.2821220,1.2821220,1.2900000,-0.1168944,-0.1203856
1.2921220,1.2921220,1.3000000,-0.1135440,-0.1169366
1.3021220,1.3021220,1.3100000,-0.1103101,-0.1136075
1.3121220,1.3121220,1.3200000,-0.1071877,-0.1103935
1.3221220,1.3221220,1.3300000,-0.1041724,-0.1072896
1.3321220,1.3321220,1.3400000,-0.1012597,-0.1042915
1.3421220,1.3421220,1.3500000,-0.0984455,-0.1013948
1.3521220,1.3521220,1.3600000,-0.0957259,-0.0985954
1.3621220,1.3621220,1.3700000,-0.0930970,-0.0958895
1.3721220,1.3721220,1.3800000,-0.0905553,-0.0932733
1.3821220,1.3821220,1.3900000,-0.0880973,-0.0907433
1.3921220,1.3921220,1.4000000,-0.0857198,-0.0882961
1.4021220,1.4021220,1.4100000,-0.0834195,-0.0859285
1.4121220,1.4121220,1.4200000,-0.0811937,-0.0836375
1.4221220,1.4221220,1.4300000,-0.0790393,-0.0814200
1.4321220,1.4321220,1.4400000,-0.0769537,-0.0792732
1.4421220,1.4421220,1.4500000,-0.0749342,-0.0771946
1.4521220,1.4521220,1.4600000,-0.0729785,-0.0751815
1.4621220,1.4621220,1.4700000,-0.0710840,-0.0732315
1.4721220,1.4721220,1.4800000,-0.0692486,-0.0713422
1.4821220,1.4821220,1.4900000,-0.0674701,-0.0695114
1.4921220,1.4921220,1.5000000,-0.0657463,-0.0677370
1.5021220,1.5021220,1.5100000,-0.0640753,-0.0660169
1.5121220,1.5121220,1.5200000,-0.0624552,-0.0643491
1.5221220,1.5221220,1.5300000,-0.0608841,-0.0627318
1.5321220,1.5321220,1.5400000,-0.0593603,-0.0611631
1.5421220,1.5421220,1.5500000,-0.0578821,-0.0596413
1.5521220,1.5521220,1.5600000,-0.0564480,-0.0581648
1.5621220,1.5621220,1.5700000,-0.0550563,-0.0567320
1.5721220,1.5721220,1.5800000,-0.0537056,-0.0553414
1.5821220,1.5821220,1.5900000,-0.0523944,-0.0539914
1.5921220,1.5921220,1.6000000,-0.0511214,-0.0526807
