# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.0838333,0.0838333,0.0915394,1666.1195518,965.1541400,inf
0.0888333,0.0888333,0.0965394,1477.5100111,853.3135176,inf
0.0938333,0.0938333,0.1015394,1303.6374184,750.3492319,inf
0.0988333,0.0988333,0.1065394,1144.5952258,656.3001220,inf
0.1038333,0.1038333,0.1115394,1000.1747839,571.0215618,inf
0.1088333,0.1088333,0.1165394,869.9198110,494.2208587,inf
0.1138333,0.1138333,0.1215394,753.1803865,425.4926583,inf
0.1188333,0.1188333,0.1265394,649.1647085,364.3519963,inf
0.1238333,0.1238333,0.1315394,556.9870994,310.2634863,inf
0.1288333,0.1288333,0.1365394,475.7104545,262.6662304,inf
0.1338333,0.1338333,0.1415394,404.3815329,220.9944230,inf
0.1388333,0.1388333,0.1465394,342.0587645,184.6932227,1842.9614079
0.1438333,0.1438333,0.1515394,287.8335845,153.2294302,1576.3074735
0.1488333,0.1488333,0.1565394,240.8462503,126.0974716,1344.1200767
0.1538333,0.1538333,0.1615394,200.2960648,102.8222942,1142.6211427
0.1588333,0.1588333,0.1665394,165.4458007,82.9608940,968.2930630
0.1638333,0.1638333,0.1715394,135.6214414,66.1034186,817.9005213
0.1688333,0.1688333,0.1765394,110.2094959,51.8739839,688.5000802
0.1738333,0.1738333,0.1815394,88.6538455,39.9309455,577.4383435
0.1788333,0.1788333,0.1865394,70.4529152,29.9662234,482.3410356
0.1838333,0.1838333,0.1915394,55.1570536,21.7031702,401.0975182
0.1888333,0.1888333,0.1965394,42.3656526,14.8929297,331.8440757
0.1938333,0.1938333,0.2015394,31.7234033,9.3107845,272.9459050
0.1988333,0.1988333,0.2065394,22.9152629,4.7551492,222.9762419
0.2038333,0.2038333,0.2115394,15.6608856,1.0502065,180.6929109
0.2088333,0.2088333,0.2165394,9.7108501,-1.9509043,145.0148938
0.2138333,0.2138333,0.2215394,4.8465995,-4.3674876,115.0014593
0.2188333,0.2188333,0.2265394,0.8826557,-6.2981301,89.8346740
0.2238333,0.2238333,0.2315394,-2.3335767,-7.8278846,68.8046684
0.2288333,0.2288333,0.2365394,-4.9273505,-9.0325803,51.2964799
