# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm]
0.1115691,0.1115691,0.0961795,1590.2370055,-19.5320878
0.1165691,0.1165691,0.1011795,1339.0306435,-19.4525496
0.1215691,0.1215691,0.1061795,1125.0181752,-19.3674295
0.1265691,0.1265691,0.1111795,943.3792089,-19.2773316
0.1315691,0.1315691,0.1161795,789.7391726,-19.1828765
0.1365691,0.1365691,0.1211795,660.1762205,-19.0847961
0.1415691,0.1415691,0.1261795,551.2111960,-18.9840849
0.1465691,0.1465691,0.1311795,459.7854208,-18.8822042
0.1515691,0.1515691,0.1361795,383.2304077,-18.7813090
0.1565691,0.1565691,0.1411795,319.2306940,-18.6842369
0.1615691,0.1615691,0.1461795,265.7803850,-18.5936467
0.1665691,0.1665691,0.1511795,221.1520796,-18.5100577
0.1715691,0.1715691,0.1561795,183.8908791,-18.4297907
0.1765691,0.1765691,0.1611795,152.7960272,-18.3454882
0.1815691,0.1815691,0.1661795,126.8713126,-18.2496398
0.1865691,0.1865691,0.1711795,105.2764331,-18.1378170
0.1915691,0.1915691,0.1761795,87.2978361,-18.0092020
0.1965691,0.1965691,0.1811795,72.3292772,-17.8639693
0.2015691,0.2015691,0.1861795,59.8521528,-17.6999500
0.2065691,0.2065691,0.1911795,49.4197685,-17.5140383
0.2115691,0.2115691,0.1961795,40.6545538,-17.3093497
0.2165691,0.2165691,0.2011795,33.2542121,-17.0990207
0.2215691,0.2215691,0.2061795,26.9903989,-16.8995079
0.2265691,0.2265691,0.2111795,21.6923860,-16.7210886
0.2315691,0.2315691,0.2161795,17.2250968,-16.5654207
0.2365691,0.2365691,0.2211795,13.4727221,-16.4289047
0.2415691,0.2415691,0.2261795,10.3308609,-16.3064316
0.2465691,0.2465691,0.2311795,7.7047394,-16.1933650
0.2515691,0.2515691,0.2361795,5.5101701,-16.0860953
0.2565691,0.2565691,0.2411795,3.6747729,-15.9819130
0.2615691,0.2615691,0.2461795,2.1381949,-15.8787512
0.2665691,0.2665691,0.2511795,0.8513020,-15.7750769
0.2715691,0.2715691,0.2561795,-0.2249708,-15.6699140
0.2765691,0.2765691,0.2611795,-1.1208622,-15.5628444
0.2815691,0.2815691,0.2661795,-1.8595836,-15.4539089
0.2865691,0.2865691,0.2711795,-2.4597351,-15.3434371
0.2915691,0.2915691,0.2761795,-2.9375669,-15.2318772
0.2965691,0.2965691,0.2811795,-3.3083461,-15.1196751
0.3015691,0.3015691,0.2861795,-3.5867649,-15.0072118
0.3065691,0.3065691,0.2911795,-3.7867747,-14.8947864
0.3115691,0.3115691,0.2961795,-3.9212559,-14.7826211
0.3165691,0.3165691,0.3011795,-4.0017554,-14.6708760
0.3215691,0.3215691,0.3061795,-4.0383655,-14.5596646
0.3265691,0.3265691,0.3111795,-4.0397291,-14.4490656
0.3315691,0.3315691,0.3161795,-4.0131324,-14.3391339
0.3365691,0.3365691,0.3211795,-3.9646439,-14.2299066
0.3415691,0.3415691,0.3261795,-3.8992705,-14.1214090
0.3465691,0.3465691,0.3311795,-3.8211130,-14.0136577
0.3515691,0.3515691,0.3361795,-3.7335092,-13.9066631
0.3565691,0.3565691,0.3411795,-3.6391613,-13.8004316
0.3615691,0.3615691,0.3461795,-3.5402462,-13.6949661
0.3665691,0.3665691,0.3511795,-3.4385085,-13.5902675
0.3715691,0.3715691,0.3561795,-3.3353385,-13.4863352
0.3765691,0.3765691,0.3611795,-3.2318376,-13.3831671
0.3815691,0.3815691,0.3661795,-3.1288710,-13.2807606
0.3865691,0.3865691,0.3711795,-3.0271124,-13.1791121
0.3915691,0.3915691,0.3761795,-2.9270799,-13.0782180
0.3965691,0.3965691,0.3811795,-2.8291653,-12.9780739
0.4015691,0.4015691,0.3861795,-2.7336585,-12.8786755
0.4065691,0.4065691,0.3911795,-2.6407674,-12.7800181
0.4115691,0.4115691,0.3961795,-2.5506333,-12.6820970
0.4165691,0.4165691,0.4011795,-2.4633447,-12.5849074
0.4215691,0.4215691,0.4061795,-2.3789480,-12.4884443
0.4265691,0.4265691,0.4111795,-2.2974558,-12.3927030
0.4315691,0.4315691,0.4161795,-2.2188544,-12.2976783
0.4365691,0.4365691,0.4211795,-2.1431094,-12.2033653
0.4415691,0.4415691,0.4261795,-2.0701706,-12.1097592
0.4465691,0.4465691,0.4311795,-1.9999758,-12.0168548
0.4515691,0.4515691,0.4361795,-1.9324536,-11.9246473
0.4565691,0.4565691,0.4411795,-1.8675265,-11.8331317
