# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
-0.2029315,-0.2029315,-0.2009095,2338.0735120,1485.9966853,9700.5921923,122.7358209,6819.6605132,2338.0735120,2338.0735120,2756.2117795,1758.8224867
-0.1979315,-0.1979315,-0.1959095,2447.1667665,1555.8411531,10140.1798753,129.1853225,7129.1373139,2447.1667665,2447.1667665,2884.8151410,1840.1568791
-0.1929315,-0.1929315,-0.1909095,2702.0945650,1719.2434133,11165.3972060,143.2340602,7850.9765346,2702.0945650,2702.0945650,3185.3339217,2014.5820602
-0.1879315,-0.1879315,-0.1859095,2839.8419185,1807.1454993,11723.4721782,152.2269198,8243.7650858,2839.8419185,2839.8419185,3347.7158470,2117.2814071
-0.1829315,-0.1829315,-0.1809095,3071.1952212,1939.6192551,12655.7429167,166.0010754,8900.0972860,3071.1952212,3071.1952212,3620.4440974,2289.7698978
-0.1779315,-0.1779315,-0.1759095,3485.3946769,2205.0942898,14321.6587800,190.7907208,10073.0361712,3485.3946769,3485.3946769,4108.7184878,2598.5817372
-0.1729315,-0.1729315,-0.1709095,4098.4112826,2598.2132430,16784.9567601,226.6875522,11807.4750786,4098.4112826,4098.4112826,4831.3662493,3055.6243116
-0.1679315,-0.1679315,-0.1659095,4848.5388037,3078.1111838,19811.2983343,271.7056729,13937.9386636,4848.5388037,4848.5388037,5715.6456782,3614.8917283
-0.1629315,-0.1629315,-0.1609095,5802.5269517,3690.2921951,23640.5002459,329.9441124,16634.2750375,5802.5269517,5802.5269517,6840.2439243,4326.1501104
-0.1579315,-0.1579315,-0.1559095,7045.4199310,4488.1172236,28626.6841298,405.9378631,20145.3938975,7045.4199310,7045.4199310,8305.4143959,5252.8052805
-0.1529315,-0.1529315,-0.1509095,8630.8358809,5506.1144012,34983.7936181,503.2272965,24621.9883107,8630.8358809,8630.8358809,10174.3642360,6434.8329460
-0.1479315,-0.1479315,-0.1459095,10626.9593947,6788.1938202,42983.8766410,626.1508781,30255.6782408,10626.9593947,10626.9593947,12527.4720891,7923.0690251
