# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.9825134,0.9825134,0.9900000,-0.3188592,-0.3332662
0.9925134,0.9925134,1.0000000,-0.3072149,-0.3210748
1.0025134,1.0025134,1.0100000,-0.2960919,-0.3094317
1.0125134,1.0125134,1.0200000,-0.2854624,-0.2983073
1.0225134,1.0225134,1.0300000,-0.2753002,-0.2876737
1.0325134,1.0325134,1.0400000,-0.2655805,-0.2775051
1.0425134,1.0425134,1.0500000,-0.2562804,-0.2677768
1.0525134,1.0525134,1.0600000,-0.2473781,-0.2584662
1.0625134,1.0625134,1.0700000,-0.2388534,-0.2495516
1.0725134,1.0725134,1.0800000,-0.2306869,-0.2410129
1.0825134,1.0825134,1.0900000,-0.2228609,-0.2328311
1.0925134,1.0925134,1.1000000,-0.2153582,-0.2249883
1.1025134,1.1025134,1.1100000,-0.2081630,-0.2174676
1.1125134,1.1125134,1.1200000,-0.2012602,-0.2102533
1.1225134,1.1225134,1.1300000,-0.1946356,-0.2033305
1.1325134,1.1325134,1.1400000,-0.1882759,-0.1966849
1.1425134,1.1425134,1.1500000,-0.1821685,-0.1903035
1.1525134,1.1525134,1.1600000,-0.1763014,-0.1841735
1.1625134,1.1625134,1.1700000,-0.1706633,-0.1782833
1.1725134,1.1725134,1.1800000,-0.1652437,-0.1726216
1.1825134,1.1825134,1.1900000,-0.1600324,-0.1671778
1.1925134,1.1925134,1.2000000,-0.1550200,-0.1619419
1.2025134,1.2025134,1.2100000,-0.1501974,-0.1569046
1.2125134,1.2125134,1.2200000,-0.1455561,-0.1520567
1.2225134,1.2225134,1.2300000,-0.1410880,-0.1473899
1.2325134,1.2325134,1.2400000,-0.1367855,-0.1428961
1.2425134,1.2425134,1.2500000,-0.1326411,-0.1385676
1.2525134,1.2525134,1.2600000,-0.1286482,-0.1343973
1.2625134,1.2625134,1.2700000,-0.1248001,-0.1303783
1.2725134,1.2725134,1.2800000,-0.1210905,-0.1265041
1.2825134,1.2825134,1.2900000,-0.1175136,-0.1227684
1.2925134,1.2925134,1.3000000,-0.1140638,-0.1191654
1.3025134,1.3025134,1.3100000,-0.1107358,-0.1156896
1.3125134,1.3125134,1.3200000,-0.1075244,-0.1123355
1.3225134,1.3225134,1.3300000,-0.1044248,-0.1090982
1.3325134,1.3325134,1.3400000,-0.1014324,-0.1059729
1.3425134,1.3425134,1.3500000,-0.0985429,-0.1029549
1.3525134,1.3525134,1.3600000,-0.0957521,-0.1000399
1.3625134,1.3625134,1.3700000,-0.0930560,-0.0972238
1.3725134,1.3725134,1.3800000,-0.0904508,-0.0945026
1.3825134,1.3825134,1.3900000,-0.0879329,-0.0918725
1.3925134,1.3925134,1.4000000,-0.0854988,-0.0893300
1.4025134,1.4025134,1.4100000,-0.0831453,-0.0868715
1.4125134,1.4125134,1.4200000,-0.0808693,-0.0844939
1.4225134,1.4225134,1.4300000,-0.0786677,-0.0821939
1.4325134,1.4325134,1.4400000,-0.0765377,-0.0799687
1.4425134,1.4425134,1.4500000,-0.0744765,-0.0778152
1.4525134,1.4525134,1.4600000,-0.0724815,-0.0757309
1.4625134,1.4625134,1.4700000,-0.0705503,-0.0737132
1.4725134,1.4725134,1.4800000,-0.0686804,-0.0717594
1.4825134,1.4825134,1.4900000,-0.0668696,-0.0698673
1.4925134,1.4925134,1.5000000,-0.0651157,-0.0680345
1.5025134,1.5025134,1.5100000,-0.0634165,-0.0662589
1.5125134,1.5125134,1.5200000,-0.0617701,-0.0645384
1.5225134,1.5225134,1.5300000,-0.0601745,-0.0628709
1.5325134,1.5325134,1.5400000,-0.0586280,-0.0612546
1.5425134,1.5425134,1.5500000,-0.0571287,-0.0596877
1.5525134,1.5525134,1.5600000,-0.0556749,-0.0581683
1.5625134,1.5625134,1.5700000,-0.0542651,-0.0566947
1.5725134,1.5725134,1.5800000,-0.0528977,-0.0552655
1.5825134,1.5825134,1.5900000,-0.0515712,-0.0538789
1.5925134,1.5925134,1.6000000,-0.0502842,-0.0525335
