# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
0.7500000,0.0000000,-0.0253408,239306.8265375,153962.1722300,956360.9376819,15042.4649006,673568.1635384,239306.4036019,239307.2494732,282104.1728718,178418.3447425
0.7550000,0.0050000,-0.0203408,216882.8850936,139524.3118988,866860.6343439,13620.1842842,610528.6700828,216882.4053053,216883.3648820,255669.9605884,161699.8809490
0.7600000,0.0100000,-0.0153408,194158.9602245,124893.8904390,776156.8653573,12179.5631192,546641.7334180,194158.4239363,194159.4965128,228882.1162032,144757.7605763
0.7650000,0.0150000,-0.0103408,171807.2578093,110503.7985422,686931.6707009,10763.3409415,483796.4772487,171806.6654108,171807.8502079,202533.0620899,128093.1555385
0.7700000,0.0200000,-0.0053408,150378.2088356,96708.4754544,601381.5377817,9406.4791754,423540.0099444,150377.5607525,150378.8569187,177271.6676549,112116.4468812
0.7750000,0.0250000,-0.0003408,130288.8453051,83776.4258335,521170.9949676,8135.4251218,367044.7386075,130288.1419994,130289.5486108,153589.5464037,97138.5582856
0.7800000,0.0300000,0.0046592,111824.0328133,71891.0186776,447437.4750931,6968.1964011,315111.7966448,111823.2747825,111824.7908441,131822.5089539,83371.8750345
0.7850000,0.0350000,0.0096592,95147.5491524,61157.6284792,380835.4475668,5915.0932198,268202.1311661,95146.7369294,95148.3613755,112163.6229220,70938.5038100
0.7900000,0.0400000,0.0146592,80319.5926597,51614.9175466,321606.1992381,4979.8200415,226485.6565496,80318.7268120,80320.4585074,94683.8524438,59883.3262723
0.7950000,0.0450000,0.0196592,67317.4755006,43248.1690177,269660.3266348,4160.8093392,189899.3612645,67316.5566302,67318.3943711,79356.4522195,50189.4272088
0.8000000,0.0500000,0.0246592,56056.8095478,36002.9361217,224662.2039028,3452.5755173,158206.8059409,56055.8382901,56057.7808054,66081.9422501,41793.8899436
0.8050000,0.0550000,0.0296592,46411.2241464,29797.7446663,186108.6071077,2846.9739254,131053.5049177,46410.2011702,46412.2471227,54711.3519043,34602.4971769
0.8100000,0.0600000,0.0346592,38229.4001690,24535.0658125,153396.6459601,2334.2875421,108014.7758268,38228.3261751,38230.4741629,45066.3003229,28502.4309475
0.8150000,0.0650000,0.0396592,31348.8527975,20110.1937079,125878.7376959,1904.1053282,88634.4616734,31347.7285184,31349.9770766,36955.2440976,23372.5485672
