# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-1.0973057,-1.0973057,-0.9860080,330.6131281,82.0757942,1490.3471267,15.3905932,1045.9012095,21446.4850684,229535.9157369,1649460.2360179
-1.0923057,-1.0923057,-0.9810080,362.9888956,112.6924802,1680.1053247,16.1591438,1144.4250731,23411.6428692,250598.8751743,1801459.7904634
-1.0873057,-1.0873057,-0.9760080,338.0933362,99.9015832,1627.3590377,15.6909606,1074.0018583,22284.1092296,240464.1736488,1737861.4614593
-1.0823057,-1.0823057,-0.9710080,298.6844273,74.7005403,1453.7245155,14.4729902,957.9148047,20036.6108336,216460.8173310,1564593.3080461
-1.0773057,-1.0773057,-0.9660080,268.1546507,56.3700730,1326.5130074,13.2694056,868.2288873,18308.1219181,198040.0671658,1431795.2656697
-1.0723057,-1.0723057,-0.9610080,247.0377419,43.8576409,1238.5936057,12.3474345,806.1806664,17112.2986547,185298.3013796,1339951.5852073
-1.0673057,-1.0673057,-0.9560080,233.9670558,36.3240067,1184.3269881,11.7392353,767.8033413,16373.8851280,177437.8562332,1283327.8809459
-1.0623057,-1.0623057,-0.9510080,227.8713816,33.1111481,1159.2843142,11.3913019,749.9821266,16033.6487097,173830.3750910,1257404.9231514
-1.0573057,-1.0573057,-0.9460080,227.9183848,33.7247553,1160.0163203,11.2020561,750.2918068,16045.3493237,173984.9238884,1258650.4330136
-1.0523057,-1.0523057,-0.9410080,233.4681580,37.8021975,1183.8631713,11.0591423,766.8629791,16373.2305695,177521.5165871,1284329.2251707
-1.0473057,-1.0473057,-0.9360080,241.0503731,45.0638243,1188.9206674,10.8974540,790.0197103,16888.6193878,183568.2226064,1330693.8410362
-1.0423057,-1.0423057,-0.9310080,220.1133416,55.2788481,1097.0969900,10.7260757,727.2752647,15624.7995099,169749.2052150,1229412.7656361
-1.0373057,-1.0373057,-0.9260080,206.9317717,68.2258031,1034.3112240,10.5906139,687.5809351,14817.3787524,160873.8031228,1164150.7106746
-1.0323057,-1.0323057,-0.9210080,200.2785815,75.9922856,1000.7181019,10.5301927,667.3116212,14394.8954478,156167.5427274,1129259.5854661
-1.0273057,-1.0273057,-0.9160080,214.0872055,76.5509134,992.5152818,10.5724674,663.9975744,14308.7045074,155103.8376626,1120902.4206644
-1.0223057,-1.0223057,-0.9110080,203.5141762,80.0822112,1007.2354105,10.7415373,676.0521573,14527.6064478,157345.6518341,1136627.1887734
-1.0173057,-1.0173057,-0.9060080,212.5615550,86.4953768,1043.4388648,11.0568347,702.5719943,15033.9029028,162702.6559561,1175053.8257437
-1.0123057,-1.0123057,-0.9010080,226.3363872,95.7053704,1100.4846418,11.5290816,743.1882823,15820.4601486,171099.3311327,1235641.2283594
