# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
-0.2244515,-0.2244515,-0.0962320,204983.8515564
-0.2144515,-0.2144515,-0.0862320,189291.5633585
-0.2044515,-0.2044515,-0.0762320,189722.5668854
-0.1944515,-0.1944515,-0.0662320,204481.4046037
-0.1844515,-0.1844515,-0.0562320,193286.8780690
-0.1744515,-0.1744515,-0.0462320,156032.8591890
-0.1644515,-0.1644515,-0.0362320,124449.2733010
-0.1544515,-0.1544515,-0.0262320,111286.6462363
-0.1444515,-0.1444515,-0.0162320,99218.7493566
-0.1344515,-0.1344515,-0.0062320,84662.7328143
-0.1244515,-0.1244515,0.0037680,54887.3984302
-0.1144515,-0.1144515,0.0137680,37983.4981906
-0.1044515,-0.1044515,0.0237680,26583.0185636
-0.0944515,-0.0944515,0.0337680,19848.5453745
-0.0844515,-0.0844515,0.0437680,15898.8853646
-0.0744515,-0.0744515,0.0537680,13779.6650096
-0.0644515,-0.0644515,0.0637680,12989.5265866
-0.0544515,-0.0544515,0.0737680,13274.3230914
-0.0444515,-0.0444515,0.0837680,14246.5247050
-0.0344515,-0.0344515,0.0937680,13382.7737156
-0.0244515,-0.0244515,0.1037680,11950.8873141
-0.0144515,-0.0144515,0.1137680,10090.9971857
-0.0044515,-0.0044515,0.1237680,9167.9085155
0.0055485,0.0055485,0.1337680,9195.5511710
0.0155485,0.0155485,0.1437680,10175.6978506
0.0255485,0.0255485,0.1537680,12207.4839347
0.0355485,0.0355485,0.1637680,14505.1299142
0.0455485,0.0455485,0.1737680,15720.7714812
0.0555485,0.0555485,0.1837680,17251.6990230
0.0655485,0.0655485,0.1937680,14546.4445433
0.0755485,0.0755485,0.2037680,12348.5102551
0.0855485,0.0855485,0.2137680,10551.4525429
0.0955485,0.0955485,0.2237680,9091.6179983
0.1055485,0.1055485,0.2337680,7580.4685279
0.1155485,0.1155485,0.2437680,6434.1955732
0.1255485,0.1255485,0.2537680,5648.9972217
0.1355485,0.1355485,0.2637680,5126.1678482
0.1455485,0.1455485,0.2737680,3945.1477656
0.1555485,0.1555485,0.2837680,2862.7855738
0.1655485,0.1655485,0.2937680,2082.8010319
0.1755485,0.1755485,0.3037680,1542.6188366
0.1855485,0.1855485,0.3137680,1130.0442965
0.1955485,0.1955485,0.3237680,828.8039936
0.2055485,0.2055485,0.3337680,608.2371449
0.2155485,0.2155485,0.3437680,446.5009311
0.2255485,0.2255485,0.3537680,327.7063777
0.2355485,0.2355485,0.3637680,233.4631010
0.2455485,0.2455485,0.3737680,159.8289080
0.2555485,0.2555485,0.3837680,109.2196434
0.2655485,0.2655485,0.3937680,72.4420128
0.2755485,0.2755485,0.4037680,47.7398762
0.2855485,0.2855485,0.4137680,31.2047535
0.2955485,0.2955485,0.4237680,20.0320955
0.3055485,0.3055485,0.4337680,12.2685686
0.3155485,0.3155485,0.4437680,6.6771342
0.3255485,0.3255485,0.4537680,2.5440816
0.3355485,0.3355485,0.4637680,-0.5764090
0.3455485,0.3455485,0.4737680,-2.9157914
0.3555485,0.3555485,0.4837680,-4.6035183
0.3655485,0.3655485,0.4937680,-5.7742666
0.3755485,0.3755485,0.5037680,-6.5625143
0.3855485,0.3855485,0.5137680,-7.0781857
0.3955485,0.3955485,0.5237680,-7.4074063
