# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-0.7630668,-0.7630668,-0.7897489,33091.4953078,22704.5872613,117777.9604200,2862.5887814,83804.7213895,33275.9282955,32907.0623200,39009.5387079,24671.7985579,33091.4953078,22704.5872613,117777.9604200,2862.5887814,83804.7213895,33275.9282955,32907.0623200,39009.5387079,24671.7985579
-0.7580668,-0.7580668,-0.7847489,32962.5575225,22616.0483083,117330.4663101,2850.5326630,83486.3794517,33146.7318129,32778.3832320,38857.5418435,24575.6673001,32962.5575225,22616.0483083,117330.4663101,2850.5326630,83486.3794517,33146.7318129,32778.3832320,38857.5418435,24575.6673001
-0.7530668,-0.7530668,-0.7797489,32573.7740469,22349.0411667,115981.5803585,2814.1554919,82526.7734454,32757.1656359,32390.3824579,38399.2287966,24285.8046782,32573.7740469,22349.0411667,115981.5803585,2814.1554919,82526.7734454,32757.1656359,32390.3824579,38399.2287966,24285.8046782
-0.7480668,-0.7480668,-0.7747489,31940.3661373,21913.8726502,113785.4606299,2754.8068841,80964.3331011,32122.4569488,31758.2753258,37652.5429749,23813.5590996,31940.3661373,21913.8726502,113785.4606299,2754.8068841,80964.3331011,32122.4569488,31758.2753258,37652.5429749,23813.5590996
-0.7430668,-0.7430668,-0.7697489,31086.7791880,21327.0951070,110829.0979052,2674.6534605,78860.7855471,31267.0609653,30906.4974107,36646.3015576,23177.1561487,31086.7791880,21327.0951070,110829.0979052,2674.6534605,78860.7855471,31267.0609653,30906.4974107,36646.3015576,23177.1561487
-0.7380668,-0.7380668,-0.7647489,30045.2491893,20610.5352662,107227.2308636,2576.5506531,76297.5470207,30223.2272444,29867.2711341,35418.5055809,22400.6297910,30045.2491893,20610.5352662,107227.2308636,2576.5506531,76297.5470207,30223.2272444,29867.2711341,35418.5055809,22400.6297910
-0.7330668,-0.7330668,-0.7597489,28853.9766589,19790.0574823,103115.8645528,2463.8796884,73371.1236346,29029.1734288,28678.7798889,34014.1872975,21512.4609239,28853.9766589,19790.0574823,103115.8645528,2463.8796884,73371.1236346,29029.1734288,28678.7798889,34014.1872975,21512.4609239
-0.7280668,-0.7280668,-0.7547489,27555.0624896,18894.1662797,98644.9361615,2340.3637969,70187.9074046,27727.0208548,27383.1041244,32482.9768734,20544.0384205,27555.0624896,18894.1662797,98644.9361615,2340.3637969,70187.9074046,27727.0208548,27383.1041244,32482.9768734,20544.0384205
-0.7230668,-0.7230668,-0.7497489,26192.3672142,17952.5578991,93970.6968631,2209.8783427,66858.7713289,26360.6535399,26024.0808885,30876.5788065,19528.0630764,26192.3672142,17952.5578991,93970.6968631,2209.8783427,66858.7713289,26360.6535399,26024.0808885,30876.5788065,19528.0630764
-0.7180668,-0.7180668,-0.7447489,24809.4436892,16994.7227444,89248.3379397,2076.2685229,63493.8385145,24973.6505596,24645.2368188,29246.3348941,18497.0062955,24809.4436892,16994.7227444,89248.3379397,2076.2685229,63493.8385145,24973.6505596,24645.2368188,29246.3348941,18497.0062955
