# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol],UMincline3(d)[kj/mol]
-0.0020220,-0.0020220,0.0000000,150911.5081995,150911.5081995
0.0079780,0.0079780,0.0100000,125236.6764608,125236.6764608
0.0179780,0.0179780,0.0200000,120074.8811976,120074.8811976
0.0279780,0.0279780,0.0300000,120598.8369421,120598.8369421
0.0379780,0.0379780,0.0400000,110046.6508739,110046.6508739
0.0479780,0.0479780,0.0500000,92265.8568153,92265.8568153
0.0579780,0.0579780,0.0600000,101432.0857587,101432.0857587
0.0679780,0.0679780,0.0700000,117256.3379189,117256.3379189
0.0779780,0.0779780,0.0800000,71040.7850564,71040.7850564
0.0879780,0.0879780,0.0900000,39873.4059297,39873.4059297
0.0979780,0.0979780,0.1000000,22760.8238153,22760.8238153
0.1079780,0.1079780,0.1100000,13203.6877145,13203.6877145
0.1179780,0.1179780,0.1200000,7774.5613607,7774.5613607
0.1279780,0.1279780,0.1300000,4638.8052240,4638.8052240
0.1379780,0.1379780,0.1400000,2798.6742604,2798.6742604
0.1479780,0.1479780,0.1500000,1721.5719403,1702.6515595
0.1579780,0.1579780,0.1600000,1058.3227906,1040.8583707
0.1679780,0.1679780,0.1700000,650.9157254,632.4895494
0.1779780,0.1779780,0.1800000,400.4804408,382.0452383
0.1879780,0.1879780,0.1900000,245.1189457,227.0625894
0.1979780,0.1979780,0.2000000,147.6577660,130.4370618
0.2079780,0.2079780,0.2100000,85.8024648,69.9553072
0.2179780,0.2179780,0.2200000,46.2532655,32.1124257
0.2279780,0.2279780,0.2300000,21.0692554,8.5821027
0.2379780,0.2379780,0.2400000,5.1762181,-5.8344486
0.2479780,0.2479780,0.2500000,-4.7259292,-14.4200036
0.2579780,0.2579780,0.2600000,-10.7627798,-19.2679909
0.2679780,0.2679780,0.2700000,-14.3535726,-21.7246122
0.2779780,0.2779780,0.2800000,-16.4500323,-22.6614382
0.2879780,0.2879780,0.2900000,-17.6153075,-22.6934639
0.2979780,0.2979780,0.3000000,-18.1157433,-22.7372797
0.3079780,0.3079780,0.3100000,-18.0737144,-22.6420322
