# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
0.6102876,0.6102876,0.7837095,-3.1383321
0.6202876,0.6202876,0.7937095,-2.9532762
0.6302876,0.6302876,0.8037095,-2.7822716
0.6402876,0.6402876,0.8137095,-2.6240991
0.6502876,0.6502876,0.8237095,-2.4776226
0.6602876,0.6602876,0.8337095,-2.3417995
0.6702876,0.6702876,0.8437095,-2.2156822
0.6802876,0.6802876,0.8537095,-2.0984145
0.6902876,0.6902876,0.8637095,-1.9892245
0.7002876,0.7002876,0.8737095,-1.8874181
0.7102876,0.7102876,0.8837095,-1.7923705
0.7202876,0.7202876,0.8937095,-1.7035197
0.7302876,0.7302876,0.9037095,-1.6203592
0.7402876,0.7402876,0.9137095,-1.5424325
0.7502876,0.7502876,0.9237095,-1.4693267
0.7602876,0.7602876,0.9337095,-1.4006687
0.7702876,0.7702876,0.9437095,-1.3361201
0.7802876,0.7802876,0.9537095,-1.2753737
0.7902876,0.7902876,0.9637095,-1.2181502
0.8002876,0.8002876,0.9737095,-1.1641950
0.8102876,0.8102876,0.9837095,-1.1132761
0.8202876,0.8202876,0.9937095,-1.0651811
0.8302876,0.8302876,1.0037095,-1.0197158
0.8402876,0.8402876,1.0137095,-0.9767021
0.8502876,0.8502876,1.0237095,-0.9359765
0.8602876,0.8602876,1.0337095,-0.8973887
0.8702876,0.8702876,1.0437095,-0.8608002
0.8802876,0.8802876,1.0537095,-0.8260834
0.8902876,0.8902876,1.0637095,-0.7931206
0.9002876,0.9002876,1.0737095,-0.7618029
0.9102876,0.9102876,1.0837095,-0.7320294
0.9202876,0.9202876,1.0937095,-0.7037070
0.9302876,0.9302876,1.1037095,-0.6767490
0.9402876,0.9402876,1.1137095,-0.6510750
0.9502876,0.9502876,1.1237095,-0.6266104
0.9602876,0.9602876,1.1337095,-0.6032857
0.9702876,0.9702876,1.1437095,-0.5810361
0.9802876,0.9802876,1.1537095,-0.5598014
0.9902876,0.9902876,1.1637095,-0.5395252
1.0002876,1.0002876,1.1737095,-0.5201550
1.0102876,1.0102876,1.1837095,-0.5016417
1.0202876,1.0202876,1.1937095,-0.4839394
1.0302876,1.0302876,1.2037095,-0.4670049
1.0402876,1.0402876,1.2137095,-0.4507981
1.0502876,1.0502876,1.2237095,-0.4352811
1.0602876,1.0602876,1.2337095,-0.4204185
1.0702876,1.0702876,1.2437095,-0.4061770
1.0802876,1.0802876,1.2537095,-0.3925253
1.0902876,1.0902876,1.2637095,-0.3794341
1.1002876,1.1002876,1.2737095,-0.3668755
1.1102876,1.1102876,1.2837095,-0.3548236
1.1202876,1.1202876,1.2937095,-0.3432538
1.1302876,1.1302876,1.3037095,-0.3321430
1.1402876,1.1402876,1.3137095,-0.3214694
1.1502876,1.1502876,1.3237095,-0.3112123
1.1602876,1.1602876,1.3337095,-0.3013522
1.1702876,1.1702876,1.3437095,-0.2918709
1.1802876,1.1802876,1.3537095,-0.2827509
1.1902876,1.1902876,1.3637095,-0.2739757
1.2002876,1.2002876,1.3737095,-0.2655299
1.2102876,1.2102876,1.3837095,-0.2573987
1.2202876,1.2202876,1.3937095,-0.2495680
1.2302876,1.2302876,1.4037095,-0.2420247
1.2402876,1.2402876,1.4137095,-0.2347563
1.2502876,1.2502876,1.4237095,-0.2277508
1.2602876,1.2602876,1.4337095,-0.2209969
1.2702876,1.2702876,1.4437095,-0.2144840
1.2802876,1.2802876,1.4537095,-0.2082017
1.2902876,1.2902876,1.4637095,-0.2021404
1.3002876,1.3002876,1.4737095,-0.1962910
1.3102876,1.3102876,1.4837095,-0.1906445
1.3202876,1.3202876,1.4937095,-0.1851928
1.3302876,1.3302876,1.5037095,-0.1799278
1.3402876,1.3402876,1.5137095,-0.1748420
1.3502876,1.3502876,1.5237095,-0.1699282
1.3602876,1.3602876,1.5337095,-0.1651796
1.3702876,1.3702876,1.5437095,-0.1605895
1.3802876,1.3802876,1.5537095,-0.1561517
1.3902876,1.3902876,1.5637095,-0.1518603
1.4002876,1.4002876,1.5737095,-0.1477097
1.4102876,1.4102876,1.5837095,-0.1436942
1.4202876,1.4202876,1.5937095,-0.1398089
1.4302876,1.4302876,1.6037095,-0.1360487
1.4402876,1.4402876,1.6137095,-0.1324088
1.4502876,1.4502876,1.6237095,-0.1288848
1.4602876,1.4602876,1.6337095,-0.1254724
1.4702876,1.4702876,1.6437095,-0.1221673
1.4802876,1.4802876,1.6537095,-0.1189657
1.4902876,1.4902876,1.6637095,-0.1158637
1.5002876,1.5002876,1.6737095,-0.1128577
1.5102876,1.5102876,1.6837095,-0.1099442
1.5202876,1.5202876,1.6937095,-0.1071199
1.5302876,1.5302876,1.7037095,-0.1043816
1.5402876,1.5402876,1.7137095,-0.1017263
1.5502876,1.5502876,1.7237095,-0.0991509
1.5602876,1.5602876,1.7337095,-0.0966527
1.5702876,1.5702876,1.7437095,-0.0942290
1.5802876,1.5802876,1.7537095,-0.0918772
1.5902876,1.5902876,1.7637095,-0.0895948
