# r[nm],ssd(r)[nm]
-1.5140909,-1.5140909
-1.5090909,-1.5090909
-1.5040909,-1.5040909
-1.4990909,-1.4990909
-1.4940909,-1.4940909
-1.4890909,-1.4890909
-1.4840909,-1.4840909
-1.4790909,-1.4790909
-1.4740909,-1.4740909
-1.4690909,-1.4690909
-1.4640909,-1.4640909
-1.4590909,-1.4590909
-1.4540909,-1.4540909
-1.4490909,-1.4490909
-1.4440909,-1.4440909
-1.4390909,-1.4390909
-1.4340909,-1.4340909
-1.4290909,-1.4290909
-1.4240909,-1.4240909
-1.4190909,-1.4190909
-1.4140909,-1.4140909
-1.4090909,-1.4090909
-1.4040909,-1.4040909
-1.3990909,-1.3990909
-1.3940909,-1.3940909
-1.3890909,-1.3890909
-1.3840909,-1.3840909
-1.3790909,-1.3790909
-1.3740909,-1.3740909
-1.3690909,-1.3690909
-1.3640909,-1.3640909
-1.3590909,-1.3590909
-1.3540909,-1.3540909
-1.3490909,-1.3490909
-1.3440909,-1.3440909
-1.3390909,-1.3390909
-1.3340909,-1.3340909
-1.3290909,-1.3290909
-1.3240909,-1.3240909
-1.3190909,-1.3190909
-1.3140909,-1.3140909
-1.3090909,-1.3090909
-1.3040909,-1.3040909
-1.2990909,-1.2990909
-1.2940909,-1.2940909
-1.2890909,-1.2890909
-1.2840909,-1.2840909
-1.2790909,-1.2790909
-1.2740909,-1.2740909
-1.2690909,-1.2690909
-1.2640909,-1.2640909
-1.2590909,-1.2590909
-1.2540909,-1.2540909
-1.2490909,-1.2490909
-1.2440909,-1.2440909
-1.2390909,-1.2390909
-1.2340909,-1.2340909
-1.2290909,-1.2290909
-1.2240909,-1.2240909
-1.2190909,-1.2190909
-1.2140909,-1.2140909
-1.2090909,-1.2090909
-1.2040909,-1.2040909
-1.1990909,-1.1990909
-1.1940909,-1.1940909
-1.1890909,-1.1890909
-1.1840909,-1.1840909
-1.1790909,-1.1790909
-1.1740909,-1.1740909
-1.1690909,-1.1690909
-1.1640909,-1.1640909
-1.1590909,-1.1590909
-1.1540909,-1.1540909
-1.1490909,-1.1490909
-1.1440909,-1.1440909
-1.1390909,-1.1390909
-1.1340909,-1.1340909
-1.1290909,-1.1290909
-1.1240909,-1.1240909
-1.1190909,-1.1190909
-1.1140909,-1.1140909
-1.1090909,-1.1090909
-1.1040909,-1.1040909
-1.0990909,-1.0990909
-1.0940909,-1.0940909
-1.0890909,-1.0890909
-1.0840909,-1.0840909
-1.0790909,-1.0790909
-1.0740909,-1.0740909
-1.0690909,-1.0690909
-1.0640909,-1.0640909
-1.0590909,-1.0590909
-1.0540909,-1.0540909
-1.0490909,-1.0490909
-1.0440909,-1.0440909
-1.0390909,-1.0390909
-1.0340909,-1.0340909
-1.0290909,-1.0290909
-1.0240909,-1.0240909
-1.0190909,-1.0190909
-1.0140909,-1.0140909
-1.0090909,-1.0090909
-1.0040909,-1.0040909
-0.9990909,-0.9990909
-0.9940909,-0.9940909
-0.9890909,-0.9890909
-0.9840909,-0.9840909
-0.9790909,-0.9790909
-0.9740909,-0.9740909
-0.9690909,-0.9690909
-0.9640909,-0.9640909
-0.9590909,-0.9590909
-0.9540909,-0.9540909
-0.9490909,-0.9490909
-0.9440909,-0.9440909
-0.9390909,-0.9390909
-0.9340909,-0.9340909
-0.9290909,-0.9290909
-0.9240909,-0.9240909
-0.9190909,-0.9190909
-0.9140909,-0.9140909
-0.9090909,-0.9090909
-0.9040909,-0.9040909
-0.8990909,-0.8990909
-0.8940909,-0.8940909
-0.8890909,-0.8890909
-0.8840909,-0.8840909
-0.8790909,-0.8790909
-0.8740909,-0.8740909
-0.8690909,-0.8690909
-0.8640909,-0.8640909
-0.8590909,-0.8590909
-0.8540909,-0.8540909
-0.8490909,-0.8490909
-0.8440909,-0.8440909
-0.8390909,-0.8390909
-0.8340909,-0.8340909
-0.8290909,-0.8290909
-0.8240909,-0.8240909
-0.8190909,-0.8190909
-0.8140909,-0.8140909
-0.8090909,-0.8090909
-0.8040909,-0.8040909
-0.7990909,-0.7990909
-0.7940909,-0.7940909
-0.7890909,-0.7890909
-0.7840909,-0.7840909
-0.7790909,-0.7790909
-0.7740909,-0.7740909
-0.7690909,-0.7690909
-0.7640909,-0.7640909
-0.7590909,-0.7590909
-0.7540909,-0.7540909
-0.7490909,-0.7490909
-0.7440909,-0.7440909
-0.7390909,-0.7390909
-0.7340909,-0.7340909
-0.7290909,-0.7290909
-0.7240909,-0.7240909
-0.7190909,-0.7190909
-0.7140909,-0.7140909
-0.7090909,-0.7090909
-0.7040909,-0.7040909
-0.6990909,-0.6990909
-0.6940909,-0.6940909
-0.6890909,-0.6890909
-0.6840909,-0.6840909
-0.6790909,-0.6790909
-0.6740909,-0.6740909
-0.6690909,-0.6690909
-0.6640909,-0.6640909
-0.6590909,-0.6590909
-0.6540909,-0.6540909
-0.6490909,-0.6490909
-0.6440909,-0.6440909
-0.6390909,-0.6390909
-0.6340909,-0.6340909
-0.6290909,-0.6290909
-0.6240909,-0.6240909
-0.6190909,-0.6190909
-0.6140909,-0.6140909
-0.6090909,-0.6090909
-0.6040909,-0.6040909
-0.5990909,-0.5990909
-0.5940909,-0.5940909
-0.5890909,-0.5890909
-0.5840909,-0.5840909
-0.5790909,-0.5790909
-0.5740909,-0.5740909
-0.5690909,-0.5690909
-0.5640909,-0.5640909
-0.5590909,-0.5590909
-0.5540909,-0.5540909
-0.5490909,-0.5490909
-0.5440909,-0.5440909
-0.5390909,-0.5390909
-0.5340909,-0.5340909
-0.5290909,-0.5290909
-0.5240909,-0.5240909
-0.5190909,-0.5190909
-0.5140909,-0.5140909
-0.5090909,-0.5090909
-0.5040909,-0.5040909
-0.4990909,-0.4990909
-0.4940909,-0.4940909
-0.4890909,-0.4890909
-0.4840909,-0.4840909
-0.4790909,-0.4790909
-0.4740909,-0.4740909
-0.4690909,-0.4690909
-0.4640909,-0.4640909
-0.4590909,-0.4590909
-0.4540909,-0.4540909
-0.4490909,-0.4490909
-0.4440909,-0.4440909
-0.4390909,-0.4390909
-0.4340909,-0.4340909
-0.4290909,-0.4290909
-0.4240909,-0.4240909
-0.4190909,-0.4190909
-0.4140909,-0.4140909
-0.4090909,-0.4090909
