# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
-0.9410872,-0.9410872,-0.7392143,36620.8349415,22035.0259469,169709.0513809,1369.1221725,118453.8606360,36620.8349415,36620.8349415,43170.0612160,27303.1440343
-0.9360872,-0.9360872,-0.7342143,32571.4395083,19579.7097051,151170.2545146,1201.4135770,105506.6364845,32571.4395083,32571.4395083,38396.4767520,24284.0641324
-0.9310872,-0.9310872,-0.7292143,29520.6220106,17730.0002770,137201.5673623,1074.9369440,95751.1614933,29520.6220106,29520.6220106,34800.0547057,22009.4871137
-0.9260872,-0.9260872,-0.7242143,27453.0954017,16476.5306785,127734.1865473,988.8075570,89139.3449361,27453.0954017,27453.0954017,32362.7741135,20468.0155201
-0.9210872,-0.9210872,-0.7192143,26321.6057643,15790.5871445,122552.5229406,942.1794527,85520.5976118,26321.6057643,26321.6057643,31028.9302242,19624.4185734
-0.9160872,-0.9160872,-0.7142143,26131.9665676,15675.6297823,121683.9759065,934.5296421,84914.0286801,26131.9665676,26131.9665676,30805.3761805,19483.0305818
-0.9110872,-0.9110872,-0.7092143,26870.0218073,16123.0677448,125063.8273611,965.8526441,87274.4369640,26870.0218073,26870.0218073,31675.4243356,20033.2973506
-0.9060872,-0.9060872,-0.7042143,28572.6179351,17155.2852040,132860.2505847,1036.6173110,92719.2894195,28572.6179351,28572.6179351,33682.5107164,21302.6902354
-0.9010872,-0.9010872,-0.6992143,31252.9094888,18780.3185509,145132.7403835,1147.5857461,101290.1606511,31252.9094888,31252.9094888,36842.1424025,23301.0167744
-0.8960872,-0.8960872,-0.6942143,34927.8737004,21008.5513651,161957.9376853,1299.6360390,113040.6116947,34927.8737004,34927.8737004,41174.3328136,26040.9345658
-0.8910872,-0.8910872,-0.6892143,38589.9884576,23227.1162732,178747.0105989,1449.2723738,124765.0769554,38589.9884576,38589.9884576,45491.3757893,28771.2722778
-0.8860872,-0.8860872,-0.6842143,40908.9212328,24633.2407626,189362.7461412,1545.2381977,132178.9751304,40908.9212328,40908.9212328,48225.0237256,30500.1830377
-0.8810872,-0.8810872,-0.6792143,40774.1461241,24554.0362115,188715.2981124,1540.4506094,131727.8214806,40774.1461241,40774.1461241,48066.1455978,30399.6996868
-0.8760872,-0.8760872,-0.6742143,38109.9439265,22940.2689306,176498.1968580,1432.7808897,123196.2420683,38109.9439265,38109.9439265,44925.4806690,28413.3687784
-0.8710872,-0.8710872,-0.6692143,36002.1187143,21663.3899751,166833.9189735,1345.2670635,116447.3290882,36002.1187143,36002.1187143,42440.6945196,26841.8520323
-0.8660872,-0.8660872,-0.6642143,30428.7635612,18295.4561164,141180.0118853,1125.7333847,98535.6236964,30428.7635612,30428.7635612,35870.6072039,22686.5639635
-0.8610872,-0.8610872,-0.6592143,25292.5856813,15184.4910014,117625.6779576,916.8539104,82086.9580667,25292.5856813,25292.5856813,29815.8814215,18857.2191475
-0.8560872,-0.8560872,-0.6542143,20011.7800957,11994.1500790,93307.2708606,706.1286202,65108.1407951,20011.7800957,20011.7800957,23590.6628878,14920.0452477
-0.8510872,-0.8510872,-0.6492143,15409.3559056,9207.6290351,72188.1094329,520.4075903,50360.3789460,15409.3559056,15409.3559056,18165.1466660,11488.6474991
-0.8460872,-0.8460872,-0.6442143,12297.2175570,7323.1244764,57909.8196464,395.6319885,40389.6445682,12297.2175570,12297.2175570,14496.4372214,9168.3519154
-0.8410872,-0.8410872,-0.6392143,10234.7040810,6074.8911550,48438.8180272,313.2449037,33776.1853572,10234.7040810,10234.7040810,12065.0663047,7630.6179288
-0.8360872,-0.8360872,-0.6342143,8875.3363061,5252.6686273,42190.9922515,259.3078482,29413.6095722,8875.3363061,8875.3363061,10462.5908246,6617.1234464
-0.8310872,-0.8310872,-0.6292143,7994.4777782,4720.1717963,38138.8718570,224.6146743,26584.3151458,7994.4777782,7994.4777782,9424.2006122,5960.3878122
-0.8260872,-0.8260872,-0.6242143,7447.7880324,4389.8525129,35621.9878025,203.2336284,24827.0286605,7447.7880324,7447.7880324,8779.7415268,5552.7960985
-0.8210872,-0.8210872,-0.6192143,7145.8906817,4207.5125868,34231.2278593,191.4929114,23856.0298770,7145.8906817,7145.8906817,8423.8532154,5327.7125671
-0.8160872,-0.8160872,-0.6142143,7039.3754061,4143.1945172,33740.3589984,187.3646330,23513.3217780,7039.3754061,7039.3754061,8298.2888755,5248.2987057
-0.8110872,-0.8110872,-0.6092143,7110.7805821,4186.3123343,34069.4180372,190.1326600,23743.0599487,7110.7805821,7110.7805821,8382.4640676,5301.5357717
-0.8060872,-0.8060872,-0.6042143,7371.8128205,4343.9630162,35272.0145832,200.2770671,24582.6840593,7371.8128205,7371.8128205,8690.1789990,5496.1517823
-0.8010872,-0.8010872,-0.5992143,7865.2078399,4642.0565992,37543.8288100,219.5514885,26168.8533082,7865.2078399,7865.2078399,9271.8121929,5864.0089134
-0.7960872,-0.7960872,-0.5942143,8671.6307215,5129.5068414,41254.1202663,251.2692453,28759.4544362,8671.6307215,8671.6307215,10222.4547771,6465.2480748
-0.7910872,-0.7910872,-0.5892143,9923.1103104,5886.3906944,47007.0678030,300.8564842,32776.4461346,9923.1103104,9923.1103104,11697.7474773,7398.3051043
-0.7860872,-0.7860872,-0.5842143,11825.9927418,7037.8903876,55746.5592964,376.7785040,38879.0524989,11825.9927418,11825.9927418,13940.9391244,8817.0240710
-0.7810872,-0.7810872,-0.5792143,14698.7003657,8777.2304397,68928.5475912,491.9344119,48084.1509215,14698.7003657,14698.7003657,17327.3983403,10958.8089361
-0.7760872,-0.7760872,-0.5742143,19004.7138464,11384.4938731,88686.3486980,664.2706828,61881.2370586,19004.7138464,19004.7138464,22403.4941162,14169.2137907
-0.7710872,-0.7710872,-0.5692143,24445.3721377,14671.4919954,113738.5073964,882.3501845,79372.4981295,24445.3721377,24445.3721377,28817.1532222,18225.5679728
-0.7660872,-0.7660872,-0.5642143,29328.0622596,17628.2254592,136138.7624181,1080.9900793,95014.9575542,29328.0622596,29328.0622596,34573.0577994,21865.9216645
-0.7610872,-0.7610872,-0.5592143,35725.4413961,21495.8315415,165564.7953525,1334.9030498,115561.0734225,35725.4413961,35725.4413961,42114.5365611,26635.5716271
-0.7560872,-0.7560872,-0.5542143,37569.8607361,22612.8757303,174024.6200770,1410.7074619,121468.7652031,37569.8607361,37569.8607361,44288.8096475,28010.7026687
-0.7510872,-0.7510872,-0.5492143,40179.3639345,24193.6087775,185989.3960347,1515.6293547,129824.1878255,40179.3639345,40179.3639345,47364.9932735,29956.2520206
-0.7460872,-0.7460872,-0.5442143,41466.9698377,24971.7537865,191915.8298328,1568.4234525,133962.0698823,41466.9698377,41466.9698377,48882.8730747,30916.2434978
-0.7410872,-0.7410872,-0.5392143,39088.8171436,23529.6679291,181029.6275233,1468.7458222,126359.2599463,39088.8171436,39088.8171436,46079.4144003,29143.1805503
-0.7360872,-0.7360872,-0.5342143,35761.4134559,21514.0019607,165773.5246874,1334.1576799,115705.3782609,35761.4134559,35761.4134559,42156.9418210,26662.3910683
-0.7310872,-0.7310872,-0.5292143,31890.6721076,19167.0337994,148052.3608733,1174.0050521,103329.1862144,31890.6721076,31890.6721076,37593.9617244,23776.5090637
-0.7260872,-0.7260872,-0.5242143,29017.9295670,17425.3022655,134898.8857154,1055.1030765,94143.0448179,29017.9295670,29017.9295670,34207.4613474,21634.6981660
-0.7210872,-0.7210872,-0.5192143,27126.0332890,16278.3124677,126235.7163115,976.5725057,88092.8728295,27126.0332890,27126.0332890,31977.2206042,20224.1700702
