# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-1.6372000,-1.6372000,-1.6541773,35923.1716525,21587.3161478,167047.1468178,1323.0069651,116569.3593865,2826194.0144982,34782159.1058262,276673032.7461805
-1.6322000,-1.6322000,-1.6491773,35715.4052436,21462.0857968,166085.5926996,1315.0021962,115898.2137347,2809994.7156582,34582954.3472260,275088797.1738932
-1.6272000,-1.6272000,-1.6441773,35121.9370935,21103.6970357,163347.2337434,1291.5025863,113986.6209240,2763985.8661677,34017470.1530342,270592212.2980797
-1.6222000,-1.6222000,-1.6391773,34169.2950275,20528.1778845,158954.3744443,1253.5661987,110919.9625326,2690220.8786028,33110941.0074641,263383929.0077419
-1.6172000,-1.6172000,-1.6341773,32890.8404141,19755.7268275,153060.3184785,1202.5626331,106805.2776876,2591265.9590754,31894885.0571682,253714525.4511182
-1.6122000,-1.6122000,-1.6291773,31331.2328265,18813.3760330,145870.3697214,1140.3189938,101785.9101650,2470559.0116325,30411529.5968571,241919726.5684676
-1.6072000,-1.6072000,-1.6241773,29543.2976416,17733.0942894,137627.4449782,1068.9907634,96031.4627351,2332168.9090389,28710854.6801478,228396900.4717756
-1.6022000,-1.6022000,-1.6191773,27584.6330918,16549.7322531,128596.4887164,990.9220364,89726.9150681,2180534.6988343,26847390.2694178,213579595.3367988
-1.5972000,-1.5972000,-1.6141773,25514.2576526,15298.9923513,119049.0703303,908.5076256,83061.8691826,2020207.8220646,24877050.2860060,197912369.4558249
-1.5922000,-1.5922000,-1.6091773,23389.5679992,14015.5870782,109249.4041319,824.0682579,76220.7884104,1855618.0805321,22854258.1811681,181827938.6378081
-1.5872000,-1.5872000,-1.6041773,21263.8160455,12731.7120030,99442.7493738,739.7474877,69374.8983152,1690879.3641065,20829560.6504000,165728204.0973102
-1.5822000,-1.5822000,-1.5991773,19184.2345695,11475.9119017,89846.7853399,657.4356471,62676.1650302,1529645.0976015,18847851.8113790,149970133.3077583
-1.5772000,-1.5772000,-1.5941773,17190.8588034,10272.3686422,80646.1798733,578.7227307,56253.5034610,1375017.0725501,16947252.8868123,134856851.9584129
-1.5722000,-1.5722000,-1.5891773,15316.0180773,9140.5950379,71990.2334756,504.8790552,50211.1330208,1229505.7091340,15158623.4270830,120633756.5739110
-1.5672000,-1.5672000,-1.5841773,13584.4152392,8095.4847319,63993.2223932,436.8602041,44628.8179063,1095035.4671594,13505626.9819566,107489035.0134647
-1.5622000,-1.5622000,-1.5791773,12013.6757933,7147.6465060,56736.8997248,375.3312895,39563.6141562,972986.3742054,12005240.3474356,95557713.4847428
-1.5572000,-1.5572000,-1.5741773,10615.2331957,6303.9420377,50274.5421997,320.7049421,35052.6958897,864261.4415950,10668580.8007324,84928231.7222085
-1.5522000,-1.5522000,-1.5691773,9395.4183223,5568.1471055,44635.9372003,273.1875272,31116.8379712,769369.8501856,9501927.0928917,75650558.7422514
-1.5472000,-1.5472000,-1.5641773,8356.6349768,4941.6646624,39832.7678831,232.8286833,27764.1765443,688516.8414651,8507822.8939256,67744964.3196127
-1.5422000,-1.5422000,-1.5591773,7498.5242563,4424.2309132,35863.9501476,214.2943711,24993.9358424,621692.8488471,7686171.0155480,61210717.3673003
-1.5372000,-1.5372000,-1.5541773,6819.0439930,4014.5697244,32720.5823902,187.8522425,22799.8845390,568756.1933085,7035248.7001609,56034156.9941624
-1.5322000,-1.5322000,-1.5491773,6315.4117498,3710.9641970,30390.2710250,168.2727165,21173.3561565,529505.3718146,6552595.1879944,52195748.3416773
-1.5272000,-1.5272000,-1.5441773,5984.8786425,3511.7256186,28860.6809704,155.4391459,20105.7282532,503738.4079468,6235740.4669097,49675875.9515944
-1.5222000,-1.5222000,-1.5391773,5825.3154740,3415.5486260,28122.2255533,149.2642229,19590.3006771,491297.8256745,6082757.5136422,48459233.9800309
-1.5172000,-1.5172000,-1.5341773,5835.6021779,3421.7471613,28169.8540378,149.7027725,19623.5437152,492100.5401537,6092629.3385668,48537744.1551502
-1.5122000,-1.5122000,-1.5291773,6015.8170211,3530.3690997,29003.9201404,156.7573247,20205.7045360,506152.3821977,6265427.3423065,49911973.6949666
-1.5072000,-1.5072000,-1.5241773,6367.2245480,3742.1889448,30630.1266896,170.4765489,21340.7685479,533547.1728180,6602299.9513971,52591044.9620836
-1.5022000,-1.5022000,-1.5191773,6892.0623025,4058.5786148,33058.5466105,190.9470018,23035.7757997,574450.3510451,7105271.5728149,56591037.1726455
-1.4972000,-1.4972000,-1.5141773,7593.1275170,4481.2570217,36301.7258816,203.2191170,25299.4963600,629067.2523899,7776853.0699101,61931889.7338643
-1.4922000,-1.4922000,-1.5091773,8473.1677682,5011.9208400,40371.8871864,237.3338803,28140.4777369,697596.3564796,8619467.6840845,68632838.4345283
-1.4872000,-1.4872000,-1.5041773,9534.0854925,5651.7624157,45277.2801510,278.5620979,31564.4963643,780168.2786853,9634701.9342225,76706460.3028097
-1.4822000,-1.4822000,-1.4991773,10775.9763131,6400.8868603,51017.7703242,326.9518739,35571.4774867,876772.0554513,10822400.5441022,86151478.6202018
-1.4772000,-1.4772000,-1.4941773,12196.0359315,7257.6493342,57579.8269890,382.4376817,40151.9952031,987171.4091653,12179638.3996944,96944590.4955857
-1.4722000,-1.4722000,-1.4891773,13787.3896398,8217.9452319,64931.1584549,444.7912350,45283.5262759,1110815.1584776,13699620.7105852,109031723.8665776
-1.4672000,-1.4672000,-1.4841773,15537.9210810,9274.4996611,73015.3469249,513.5720965,50926.7035400,1246747.6674924,15370583.7577693,122319299.3857353
-1.4622000,-1.4622000,-1.4791773,17429.2002279,10416.2167745,81746.9419639,588.0821531,57021.8894283,1393527.0121731,17174790.5200916,136666246.8150008
-1.4572000,-1.4572000,-1.4741773,19435.6309469,11627.6618903,91007.5649295,667.3289585,63486.4553016,1549160.0986976,19087734.5734592,151877677.3884429
-1.4522000,-1.4522000,-1.4691773,21523.9511990,12888.7570499,100643.6346499,750.0034927,70213.1927348,1711064.9325372,21077677.4837978,167701207.6026548
-1.4472000,-1.4472000,-1.4641773,23653.2187202,14174.7705581,110466.3233808,834.4778983,77070.2820403,1876070.2115264,23105644.5909656,183826927.2986877
-1.4422000,-1.4422000,-1.4591773,25775.3972385,15456.6702946,120254.2701976,918.8280400,83903.1861498,2040461.0436174,25125987.2179022,199891870.8241189
-1.4372000,-1.4372000,-1.4541773,27836.6199936,16701.8873950,129759.4031053,1000.8841499,90538.7151762,2200076.6471666,27087583.1981212,215489562.7371840
-1.4322000,-1.4322000,-1.4491773,29779.1486528,17875.5013513,138715.9518749,1078.3103904,96791.3189520,2350461.3891229,28935692.3269892,230184769.9865836
-1.4272000,-1.4272000,-1.4441773,31543.9708690,18941.8122178,146852.3902139,1148.7110502,102471.4250551,2487064.7767814,30614412.8675825,243533032.2490014
-1.4222000,-1.4222000,-1.4391773,33073.8972933,19866.2156378,153905.6678476,1209.7576453,107395.3758625,2605479.7020609,32069607.6868070,255103925.5760264
-1.4172000,-1.4172000,-1.4341773,34316.9412182,20617.2493375,159636.7371033,1259.3279498,111396.2695880,2701702.2904283,33252095.5871015,264506434.1080094
-1.4122000,-1.4122000,-1.4291773,35229.7054808,21168.6442275,163846.1102803,1295.6455244,114334.8229005,2772392.2259980,34120848.3939062,271414367.3581808
-1.4072000,-1.4072000,-1.4241773,35780.4753926,21501.1975560,166388.0656975,1317.4072089,116109.2900426,2815110.4496452,34645910.1225113,275589567.9168895
-1.4022000,-1.4022000,-1.4191773,35951.7331024,21604.2956246,167182.1968708,1323.8867258,116663.5268192,2828512.4099364,34810770.3088277,276900779.7367887
-1.3972000,-1.3972000,-1.4141773,35741.8714961,21476.9515624,166221.2870582,1315.0051378,115992.4887743,2812479.8591224,34613982.6832313,275336516.9545353
-1.3922000,-1.3922000,-1.4091773,35165.9906442,21128.2872342,163574.9727570,1291.3632656,114144.7889840,2768182.2327775,34069919.1656057,271011058.6305543
-1.3872000,-1.3872000,-1.4041773,34255.7964930,20577.4711927,159389.2867963,1254.2368643,111222.3787490,2698069.1325164,33208677.8482326,264163717.8222553
-1.3822000,-1.3822000,-1.3991773,33058.7758735,19853.2181576,153882.8798705,1205.5417867,107377.9089880,2605807.2677036,32075308.9654801,255152688.7498764
-1.3772000,-1.3772000,-1.3941773,31636.9808914,18993.0518631,147341.4486930,1147.7829872,102810.8394122,2496187.4016183,30728672.5161244,244445965.6156252
-1.3722000,-1.3722000,-1.3891773,30065.9129273,18042.6283774,140112.6199097,1084.0077659,97763.8659828,2375038.8966957,29240389.1464175,232613002.7263985
-1.3672000,-1.3672000,-1.3841773,28434.1580692,17055.5149447,132604.2800665,1017.7903986,92521.7546929,2249201.8389152,27694497.9703488,220321994.4545607
-1.3622000,-1.3622000,-1.3791773,26844.6170737,16093.9353627,125290.2190454,953.2832876,87415.2821908,2126621.3756787,26188614.9207226,208349083.8270655
