# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
2.3650000,1.6150000,1.5927756,-0.0107993,13.2418922,-13.3108258
2.3700000,1.6200000,1.5977756,-0.0106486,13.2189951,-13.2871097
2.3750000,1.6250000,1.6027756,-0.0105004,13.1961687,-13.2634765
2.3800000,1.6300000,1.6077756,-0.0103546,13.1734126,-13.2399256
2.3850000,1.6350000,1.6127756,-0.0102112,13.1507267,-13.2164566
2.3900000,1.6400000,1.6177756,-0.0100702,13.1281107,-13.1930691
2.3950000,1.6450000,1.6227756,-0.0099315,13.1055644,-13.1697624
2.4000000,1.6500000,1.6277756,-0.0097951,13.0830873,-13.1465363
2.4050000,1.6550000,1.6327756,-0.0096610,13.0606794,-13.1233901
2.4100000,1.6600000,1.6377756,-0.0095290,13.0383403,-13.1003235
2.4150000,1.6650000,1.6427756,-0.0093992,13.0160698,-13.0773360
2.4200000,1.6700000,1.6477756,-0.0092714,12.9938675,-13.0544271
2.4250000,1.6750000,1.6527756,-0.0091458,12.9717333,-13.0315964
2.4300000,1.6800000,1.6577756,-0.0090221,12.9496669,-13.0088436
2.4350000,1.6850000,1.6627756,-0.0089005,12.9276680,-12.9861680
2.4400000,1.6900000,1.6677756,-0.0087808,12.9057364,-12.9635694
2.4450000,1.6950000,1.6727756,-0.0086630,12.8838718,-12.9410472
2.4500000,1.7000000,1.6777756,-0.0085472,12.8620739,-12.9186011
2.4550000,1.7050000,1.6827756,-0.0084331,12.8403425,-12.8962306
2.4600000,1.7100000,1.6877756,-0.0083209,12.8186773,-12.8739354
2.4650000,1.7150000,1.6927756,-0.0082104,12.7970781,-12.8517150
2.4700000,1.7200000,1.6977756,-0.0081017,12.7755446,-12.8295690
2.4750000,1.7250000,1.7027756,-0.0079947,12.7540766,-12.8074970
2.4800000,1.7300000,1.7077756,-0.0078894,12.7326738,-12.7854986
2.4850000,1.7350000,1.7127756,-0.0077857,12.7113359,-12.7635734
2.4900000,1.7400000,1.7177756,-0.0076837,12.6900627,-12.7417210
2.4950000,1.7450000,1.7227756,-0.0075832,12.6688540,-12.7199411
2.5000000,1.7500000,1.7277756,-0.0074843,12.6477095,-12.6982333
2.5050000,1.7550000,1.7327756,-0.0073870,12.6266290,-12.6765971
2.5100000,1.7600000,1.7377756,-0.0072911,12.6056121,-12.6550322
2.5150000,1.7650000,1.7427756,-0.0071968,12.5846587,-12.6335382
2.5200000,1.7700000,1.7477756,-0.0071038,12.5637686,-12.6121147
2.5250000,1.7750000,1.7527756,-0.0070123,12.5429413,-12.5907615
2.5300000,1.7800000,1.7577756,-0.0069222,12.5221768,-12.5694780
2.5350000,1.7850000,1.7627756,-0.0068335,12.5014747,-12.5482640
2.5400000,1.7900000,1.7677756,-0.0067462,12.4808349,-12.5271191
2.5450000,1.7950000,1.7727756,-0.0066601,12.4602571,-12.5060430
2.5500000,1.8000000,1.7777756,-0.0065754,12.4397410,-12.4850352
2.5550000,1.8050000,1.7827756,-0.0064919,12.4192863,-12.4640955
2.5600000,1.8100000,1.7877756,-0.0064097,12.3988930,-12.4432234
2.5650000,1.8150000,1.7927756,-0.0063288,12.3785606,-12.4224188
2.5700000,1.8200000,1.7977756,-0.0062490,12.3582891,-12.4016811
2.5750000,1.8250000,1.8027756,-0.0061705,12.3380780,-12.3810101
2.5800000,1.8300000,1.8077756,-0.0060931,12.3179273,-12.3604054
2.5850000,1.8350000,1.8127756,-0.0060169,12.2978366,-12.3398667
2.5900000,1.8400000,1.8177756,-0.0059418,12.2778058,-12.3193937
2.5950000,1.8450000,1.8227756,-0.0058678,12.2578345,-12.2989860
2.6000000,1.8500000,1.8277756,-0.0057949,12.2379226,-12.2786434
2.6050000,1.8550000,1.8327756,-0.0057231,12.2180698,-12.2583654
2.6100000,1.8600000,1.8377756,-0.0056524,12.1982760,-12.2381518
2.6150000,1.8650000,1.8427756,-0.0055826,12.1785407,-12.2180023
2.6200000,1.8700000,1.8477756,-0.0055140,12.1588640,-12.1979166
2.6250000,1.8750000,1.8527756,-0.0054463,12.1392454,-12.1778942
2.6300000,1.8800000,1.8577756,-0.0053796,12.1196848,-12.1579350
2.6350000,1.8850000,1.8627756,-0.0053138,12.1001819,-12.1380387
2.6400000,1.8900000,1.8677756,-0.0052490,12.0807366,-12.1182048
2.6450000,1.8950000,1.8727756,-0.0051852,12.0613485,-12.0984331
2.6500000,1.9000000,1.8777756,-0.0051223,12.0420175,-12.0787234
2.6550000,1.9050000,1.8827756,-0.0050602,12.0227434,-12.0590752
2.6600000,1.9100000,1.8877756,-0.0049991,12.0035259,-12.0394884
2.6650000,1.9150000,1.8927756,-0.0049389,11.9843647,-12.0199626
2.6700000,1.9200000,1.8977756,-0.0048795,11.9652598,-12.0004975
2.6750000,1.9250000,1.9027756,-0.0048209,11.9462108,-11.9810929
2.6800000,1.9300000,1.9077756,-0.0047632,11.9272175,-11.9617484
2.6850000,1.9350000,1.9127756,-0.0047063,11.9082798,-11.9424638
2.6900000,1.9400000,1.9177756,-0.0046502,11.8893974,-11.9232388
