# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
-0.5897124,-0.5897124,-0.4162905,10628.7988963,6751.1294832,43464.4972743,590.4838326,30575.2328800,10628.7988963,10628.7988963,12529.6405650,7924.4404897
-0.5847124,-0.5847124,-0.4112905,10694.9537814,6793.0503891,43738.8448110,594.3032131,30767.9997985,10694.9537814,10694.9537814,12607.6265105,7973.7631324
-0.5797124,-0.5797124,-0.4062905,10840.0830340,6885.7270891,44329.0007611,602.9756329,31183.1973643,10840.0830340,10840.0830340,12778.7105048,8081.9661510
-0.5747124,-0.5747124,-0.4012905,11046.6943969,7017.9227994,45164.8238892,615.4148271,31771.4349070,11046.6943969,11046.6943969,13022.2719965,8236.0079639
-0.5697124,-0.5697124,-0.3962905,11306.2407493,7184.1521641,46211.9784640,631.0950471,32508.5370535,11306.2407493,11306.2407493,13328.2353079,8429.5161527
-0.5647124,-0.5647124,-0.3912905,11618.5190864,7384.2939471,47469.5402970,650.0127095,33393.8573286,11618.5190864,11618.5190864,13696.3611289,8662.3393647
-0.5597124,-0.5597124,-0.3862905,11991.5333834,7623.5027949,48969.4488798,672.6777800,34449.8922835,11991.5333834,11991.5333834,14136.0848562,8940.4450686
-0.5547124,-0.5547124,-0.3812905,12441.7340933,7912.3638912,50777.4573282,700.1293435,35722.9508370,12441.7340933,12441.7340933,14666.7989220,9276.0981154
-0.5497124,-0.5497124,-0.3762905,12994.6324807,8267.2893189,52995.5733495,733.9752315,37284.8740335,12994.6324807,12994.6324807,15318.5769949,9688.3187633
-0.5447124,-0.5447124,-0.3712905,13685.8780133,8711.2128838,55766.3441534,776.4612815,39236.0537596,13685.8780133,13685.8780133,16133.4440510,10203.6859408
-0.5397124,-0.5397124,-0.3662905,14562.9951274,9274.7097411,59279.7698992,830.5826569,41710.3029941,14562.9951274,14562.9951274,17167.4237397,10857.6321149
-0.5347124,-0.5347124,-0.3612905,15688.1213248,9997.7609572,63784.2115267,900.2586539,44882.5395707,15688.1213248,15688.1213248,18493.7661591,11696.4847154
-0.5297124,-0.5297124,-0.3562905,17142.3024830,10932.5209239,69603.5121596,990.6085385,48980.8464957,17142.3024830,17142.3024830,20208.0113345,12780.6685599
-0.5247124,-0.5247124,-0.3512905,19032.2333728,12147.6594886,77163.8757402,1108.3789229,54305.4047897,19032.2333728,19032.2333728,22435.9352018,14189.7313347
-0.5197124,-0.5197124,-0.3462905,21500.8635125,13735.1934700,87036.1685120,1262.6215186,61258.2894846,21500.8635125,21500.8635125,25346.0522000,16030.2509291
-0.5147124,-0.5147124,-0.3412905,24744.1556975,15821.2809103,100002.7670064,1465.7618922,70390.5551798,24744.1556975,24744.1556975,29169.3708761,18448.3299766
-0.5097124,-0.5097124,-0.3362905,26873.0477301,17148.3989888,109106.3940547,1568.6066138,76776.4409046,26873.0477301,26873.0477301,31678.9914108,20035.5533670
-0.5047124,-0.5047124,-0.3312905,28053.5873153,17909.6935336,113796.4512904,1643.7163968,80080.9500957,28053.5873153,28053.5873153,33070.6572820,20915.7201460
