# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.4198333,-1.4198333,-1.4039364,5978.3124480,3732.4364402,25177.8180463,269.3790264,17684.8400310,5978.3124480,5978.3124480,7047.4666883,4457.2092939,5978.3124480,3732.4364402,25177.8180463,253.7379328,17684.8400310,5978.3124480,5978.3124480,7047.4666883,4457.2092939
-1.4148333,-1.4148333,-1.3989364,6054.2964148,3780.9035110,25486.8759366,273.7907823,17902.2884590,6054.2964148,6054.2964148,7137.0395368,4513.8601374,6054.2964148,3780.9035110,25486.8759366,258.1496870,17902.2884590,6054.2964148,6054.2964148,7137.0395368,4513.8601374
-1.4098333,-1.4098333,-1.3939364,6273.1741482,3920.5202706,26377.1030383,286.5033281,18528.6400253,6273.1741482,6273.1741482,7395.0611020,4677.0473037,6273.1741482,3920.5202706,26377.1030383,270.8622304,18528.6400253,6273.1741482,6273.1741482,7395.0611020,4677.0473037
-1.4048333,-1.4048333,-1.3889364,6636.1725044,4152.0795947,27853.3796108,307.5997242,19567.3322173,6636.1725044,6636.1725044,7822.9776495,4947.6854914,6636.1725044,4152.0795947,27853.3796108,291.9587032,19567.3322173,6636.1725044,6636.1725044,7822.9776495,4947.6854914
-1.3998333,-1.3998333,-1.3839364,7145.1220952,4476.7656873,29922.9754134,337.1926551,21023.4860360,7145.1220952,7145.1220952,8422.9471758,5327.1395374,7145.1220952,4476.7656873,29922.9754134,321.5644770,21023.4860360,7145.1220952,7145.1220952,8422.9471758,5327.1395374
-1.3948333,-1.3948333,-1.3789364,7802.1689075,4895.9693747,32594.3848295,374.4163070,22903.0861259,7802.1689075,7802.1689075,9197.4994533,5817.0094101,7802.1689075,4895.9693747,32594.3848295,359.8295353,22903.0861259,7802.1689075,7802.1689075,9197.4994533,5817.0094101
-1.3898333,-1.3898333,-1.3739364,8546.0441056,5370.1735033,35623.0494493,413.4026669,25033.9036984,8546.0441056,8546.0441056,10074.4084013,6371.6153253,8546.0441056,5370.1735033,35623.0494493,402.6928901,25033.9036984,8546.0441056,8546.0441056,10074.4084013,6371.6153253
-1.3848333,-1.3848333,-1.3689364,9093.6787253,5718.9573240,37856.1485047,447.7653275,26604.8823753,9093.6787253,9093.6787253,10719.9813406,6779.9115022,9093.6787253,5718.9573240,37856.1485047,433.8776911,26604.8823753,9093.6787253,9093.6787253,10719.9813406,6779.9115022
-1.3798333,-1.3798333,-1.3639364,9522.7259533,5992.8647435,39598.7484669,472.0824205,27831.0362888,9522.7259533,9522.7259533,11225.7588612,7099.7932930,9522.7259533,5992.8647435,39598.7484669,459.0609761,27831.0362888,9522.7259533,9522.7259533,11225.7588612,7099.7932930
-1.3748333,-1.3748333,-1.3589364,9371.6125537,5896.6989047,38981.7306106,464.4570295,27396.9944062,9371.6125537,9371.6125537,11047.6205221,6987.1287150,9371.6125537,5896.6989047,38981.7306106,450.5447779,27396.9944062,9371.6125537,9371.6125537,11047.6205221,6987.1287150
