# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
1.1887962,1.1887962,1.2600000,-0.1755951
1.1987962,1.1987962,1.2700000,-0.1703003
1.2087962,1.2087962,1.2800000,-0.1652012
1.2187962,1.2187962,1.2900000,-0.1602889
1.2287962,1.2287962,1.3000000,-0.1555553
1.2387962,1.2387962,1.3100000,-0.1509926
1.2487962,1.2487962,1.3200000,-0.1465933
1.2587962,1.2587962,1.3300000,-0.1423505
1.2687962,1.2687962,1.3400000,-0.1382575
1.2787962,1.2787962,1.3500000,-0.1343079
1.2887962,1.2887962,1.3600000,-0.1304958
1.2987962,1.2987962,1.3700000,-0.1268154
1.3087962,1.3087962,1.3800000,-0.1232612
1.3187962,1.3187962,1.3900000,-0.1198282
1.3287962,1.3287962,1.4000000,-0.1165113
1.3387962,1.3387962,1.4100000,-0.1133059
1.3487962,1.3487962,1.4200000,-0.1102076
1.3587962,1.3587962,1.4300000,-0.1072120
1.3687962,1.3687962,1.4400000,-0.1043151
1.3787962,1.3787962,1.4500000,-0.1015130
1.3887962,1.3887962,1.4600000,-0.0988020
1.3987962,1.3987962,1.4700000,-0.0961787
1.4087962,1.4087962,1.4800000,-0.0936395
1.4187962,1.4187962,1.4900000,-0.0911815
1.4287962,1.4287962,1.5000000,-0.0888013
1.4387962,1.4387962,1.5100000,-0.0864962
1.4487962,1.4487962,1.5200000,-0.0842633
1.4587962,1.4587962,1.5300000,-0.0821000
1.4687962,1.4687962,1.5400000,-0.0800036
1.4787962,1.4787962,1.5500000,-0.0779717
1.4887962,1.4887962,1.5600000,-0.0760020
1.4987962,1.4987962,1.5700000,-0.0740922
1.5087962,1.5087962,1.5800000,-0.0722401
1.5187962,1.5187962,1.5900000,-0.0704438
1.5287962,1.5287962,1.6000000,-0.0687011
1.5387962,1.5387962,1.6100000,-0.0670103
1.5487962,1.5487962,1.6200000,-0.0653694
1.5587962,1.5587962,1.6300000,-0.0637768
1.5687962,1.5687962,1.6400000,-0.0622308
1.5787962,1.5787962,1.6500000,-0.0607298
1.5887962,1.5887962,1.6600000,-0.0592721
1.5987962,1.5987962,1.6700000,-0.0578564
