# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
0.7500000,0.0000000,-0.0350271,285641.6129505,183632.6575631,1141436.8356342,17984.1482108,803810.9505096,285558.8411620,285724.3847390,336725.4170099,212963.8527642
0.7550000,0.0050000,-0.0300271,266344.2129679,171206.9572376,1064424.1885515,16759.2101215,749566.7770472,266261.3571781,266427.0687577,313976.8931193,198576.4229840
0.7600000,0.0100000,-0.0250271,244938.4247587,157424.0173629,978993.9844399,15400.8049956,689393.8140996,244855.5012665,245021.3482510,288742.9193761,182617.0566950
0.7650000,0.0150000,-0.0200271,222282.1485341,142836.3802262,888568.4721702,13963.5564352,625702.5847398,222199.1743510,222365.1227173,262034.8218380,165725.3726569
0.7700000,0.0200000,-0.0150271,199186.6032348,127966.5022265,796383.8973639,12499.0919857,560772.5898374,199103.5960738,199269.6103959,234808.8968698,148506.1857961
0.7750000,0.0250000,-0.0100271,176369.3859779,113276.5186975,705303.2786203,11053.0513749,496620.4327072,176286.3642391,176452.4077167,207911.0757979,131494.5100595
0.7800000,0.0300000,-0.0050271,154423.4252374,99148.2482422,617692.5542538,9663.1102114,434912.5810017,154340.4079899,154506.4424849,182040.3257146,115132.4110514
0.7850000,0.0350000,-0.0000271,133802.1465804,85873.6415861,535361.3748762,8358.0390485,376923.6640301,133719.1535410,133885.1396199,157731.1622726,99757.9461534
0.7900000,0.0400000,0.0049729,114819.0096741,73654.4883436,459561.2041588,7157.6797501,323535.1368287,114736.0611815,114901.9581667,135353.1038906,85604.8193336
0.7950000,0.0450000,0.0099729,97658.2050091,62609.3123832,391027.9257797,6073.6336439,275265.2933438,97575.3219952,97741.0880230,115123.2814661,72810.3562291
0.8000000,0.0500000,0.0149729,82392.7512793,52785.0338597,330053.9703629,5110.4211046,232320.0726177,82309.9552362,82475.5473225,97127.7722687,61428.9968855
0.8050000,0.0550000,0.0199729,69006.3709466,44171.0641054,276575.5195190,4266.8810798,194654.4846051,68923.6838900,69089.0580032,81347.3877049,51448.6053705
