# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
0.7500000,0.0000000,-0.0313188,317164.1758362,203948.6885721,1267293.2320306,19976.6877397,892473.7494657,317094.5090106,317233.8426618,373885.4372999,236465.9131671,317164.1758362,203948.6885721,1267293.2320306,19976.6877397,892473.7494657,317094.5090106,317233.8426618,373885.4372999,236465.9131671
0.7550000,0.0050000,-0.0263188,301794.2089973,193970.3247552,1206047.5851687,19002.1319972,849277.0522229,301683.7851498,301904.6328447,355766.7239940,225006.6327035,301794.2089973,193970.3247552,1206047.5851687,19002.1319972,849277.0522229,301683.7851498,301904.6328447,355766.7239940,225006.6327035
0.7600000,0.0100000,-0.0213188,277255.6830803,178287.9062576,1107936.7995725,17455.8395635,780251.4596707,277199.9884303,277311.3777304,326839.7574823,206711.6127082,277255.6830803,178287.9062576,1107936.7995725,17455.8395635,780251.4596707,277199.9884303,277311.3777304,326839.7574823,206711.6127082
0.7650000,0.0150000,-0.0163188,243984.6521486,156866.9110439,975189.9907277,15341.3918452,686752.7469407,243931.4110867,244037.8932104,287618.5752143,181905.9590099,243984.6521486,156866.9110439,975189.9907277,15341.3918452,686752.7469407,243931.4110867,244037.8932104,287618.5752143,181905.9590099
0.7700000,0.0200000,-0.0113188,212297.8332051,136467.1094822,848760.5123299,13328.5315061,597704.0366478,212247.2690285,212348.3973817,250264.9235098,158281.4353478,212297.8332051,136467.1094822,848760.5123299,13328.5315061,597704.0366478,212247.2690285,212348.3973817,250264.9235098,158281.4353478
0.7750000,0.0250000,-0.0063188,182847.7928189,117508.6598433,731254.3537346,11458.6769628,514940.7956719,182800.1514513,182895.4341865,215548.0731617,136324.5712903,182847.7928189,117508.6598433,731254.3537346,11458.6769628,514940.7956719,182800.1514513,182895.4341865,215548.0731617,136324.5712903
0.7800000,0.0300000,-0.0013188,156057.1661454,100263.5572605,624361.5307998,9758.5502805,439653.2499947,156012.7181608,156101.6141300,183966.2428905,116350.4680235,156057.1661454,100263.5572605,624361.5307998,9758.5502805,439653.2499947,156012.7181608,156101.6141300,183966.2428905,116350.4680235
0.7850000,0.0350000,0.0036812,132144.7405642,84872.4227606,528960.4684234,8241.8425029,372459.8879619,132103.7832931,132185.6978352,155777.3477488,98522.2453493,132144.7405642,84872.4227606,528960.4684234,8241.8425029,372459.8879619,132103.7832931,132185.6978352,155777.3477488,98522.2453493
0.7900000,0.0400000,0.0086812,111161.7377708,71367.8494455,445263.3051377,6911.5244557,313509.7744077,111124.5974630,111198.8780785,131041.7698590,82878.0922748,111161.7377708,71367.8494455,445263.3051377,6911.5244557,313509.7744077,111124.5974630,111198.8780785,131041.7698590,82878.0922748
0.7950000,0.0450000,0.0136812,93031.8125860,59700.1229178,372976.4207960,5762.3860828,262595.5657413,92998.8465912,93064.7785808,109669.5105613,69361.0886499,93031.8125860,59700.1229178,372976.4207960,5762.3860828,262595.5657413,92998.8465912,93064.7785808,109669.5105613,69361.0886499
0.8000000,0.0500000,0.0186812,77589.8907222,49762.1624069,311456.9684959,4783.4884712,219263.6758764,77561.4896359,77618.2918084,91465.9738800,57848.1611733,77589.8907222,49762.1624069,311456.9684959,4783.4884712,219263.6758764,77561.4896359,77618.2918084,91465.9738800,57848.1611733
0.8050000,0.0550000,0.0236812,64616.7688026,41411.6827219,259853.5125108,3960.3253633,182913.1917248,64593.3585063,64640.1790989,76172.7543692,48175.8798910,64616.7688026,41411.6827219,259853.5125108,3960.3253633,182913.1917248,64593.3585063,64640.1790989,76172.7543692,48175.8798910
