# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
-1.3493504,-1.3493504,-1.3527899,5387.1006579,2760.8525813,22397.8647533,322.9249737,15287.7860852,5045.1133509,5729.0879648,6350.5232895,4016.4235858
-1.3443504,-1.3443504,-1.3477899,5100.6572793,2569.1108983,21257.9589895,304.3191528,14479.7202895,4754.8560192,5446.4585393,6012.8527200,3802.8619661
-1.3393504,-1.3393504,-1.3427899,4891.4668266,2432.7541325,20428.9732028,290.9247576,13894.6918089,4544.9971223,5224.0435026,5766.2508973,3646.8972791
-1.3343504,-1.3343504,-1.3377899,4700.4278654,2418.8901370,19531.6056812,279.5723203,13339.4693392,4407.6016463,4993.2540846,5541.0467570,3504.4656747
-1.3293504,-1.3293504,-1.3327899,4751.4575719,2447.6030782,19734.0591036,283.4178775,13479.1496683,4456.3731078,5046.5420360,5601.2025551,3542.5115420
-1.3243504,-1.3243504,-1.3277899,5125.6880715,2685.3569224,21210.0770722,307.8502374,14516.4803234,4828.2584742,5423.1176688,6042.3599892,3821.5240017
-1.3193504,-1.3193504,-1.3227899,5226.7170958,2618.8542820,21789.2854020,313.7126369,14831.9084190,4865.1342405,5588.2999511,6161.4569232,3896.8475165
-1.3143504,-1.3143504,-1.3177899,5013.1994784,2483.1991989,20945.2454842,299.8230757,14238.6894296,4652.8708541,5373.5281027,5909.7540708,3737.6566550
-1.3093504,-1.3093504,-1.3127899,4972.0825360,2458.9989576,20781.0165355,297.2027044,14124.5844674,4612.9495565,5331.2155155,5861.2838237,3707.0013791
-1.3043504,-1.3043504,-1.3077899,5067.4230952,2523.0211680,21155.1431824,303.4844239,14389.9052625,4709.4529292,5425.3932613,5973.6749743,3778.0837841
-1.2993504,-1.2993504,-1.3027899,5092.1333242,2616.0726472,21124.0675217,307.2333192,14422.4546437,4770.9396946,5413.3269538,6002.8043511,3796.5068195
-1.2943504,-1.2943504,-1.2977899,4951.3295195,2524.9708573,20568.5697276,298.2007456,14030.8510080,4630.1093787,5272.5496603,5836.8193625,3691.5286953
-1.2893504,-1.2893504,-1.2927899,4866.1490203,2469.9168114,20233.1273275,292.6926719,13794.4108569,4544.9619099,5187.3361308,5736.4052848,3628.0212564
-1.2843504,-1.2843504,-1.2877899,4816.4086722,2437.8760629,20038.2279597,289.4334741,13657.1053424,4495.3308682,5137.4864762,5677.7694324,3590.9366871
-1.2793504,-1.2793504,-1.2827899,4788.8528153,2420.2923397,19931.5872301,287.5586404,13582.0941193,4467.9712330,5109.7343977,5645.2855191,3570.3920565
-1.2743504,-1.2743504,-1.2777899,4775.2042009,2411.8246851,19880.4971707,286.5330979,13546.3311549,4454.6108659,5095.7975360,5629.1960029,3560.2161529
-1.2693504,-1.2693504,-1.2727899,4770.7822040,2409.4526374,19866.4000324,286.0591888,13536.7396535,4450.5693000,5090.9951080,5623.9831813,3556.9192751
-1.2643504,-1.2643504,-1.2677899,4773.4910764,2411.8214608,19880.9138591,286.0092146,13547.4106477,4453.7465787,5093.2355741,5627.1765052,3558.9389104
-1.2593504,-1.2593504,-1.2627899,4783.0542151,2418.7469560,19922.8234362,286.3745334,13577.4822773,4463.8581142,5102.2503160,5638.4499041,3566.0688340
-1.2543504,-1.2543504,-1.2577899,4800.4173557,2430.8298259,19995.7342593,287.2263821,13629.4865558,4481.8384730,5118.9962383,5658.9182480,3579.0141513
-1.2493504,-1.2493504,-1.2527899,4827.2733210,2449.1488553,20106.2037092,288.6848394,13708.0325979,4509.3667117,5145.1799304,5690.5771021,3599.0369687
-1.2443504,-1.2443504,-1.2477899,4865.6792491,2475.0140287,20262.2353756,290.8934110,13818.7458755,4548.4841791,5182.8743192,5735.8515003,3627.6710123
-1.2393504,-1.2393504,-1.2427899,4917.7479579,2509.7676753,20472.0645688,293.9984092,13967.4127551,4601.2864381,5234.2094777,5797.2321146,3666.4915214
-1.2343504,-1.2343504,-1.2377899,4985.4009657,2554.6255297,20743.1860455,298.1326801,14159.2957750,4669.6768167,5301.1251146,5876.9841053,3716.9311091
-1.2293504,-1.2293504,-1.2327899,5070.1736245,2610.5515067,21081.5865130,303.4028306,14398.5932580,4755.1720398,5385.1752092,5976.9174050,3780.1344773
-1.2243504,-1.2243504,-1.2277899,5173.0642878,2678.1609385,21491.1502184,309.8792508,14688.0209065,4858.7518581,5487.3767175,6098.2089113,3856.8459615
-1.2193504,-1.2193504,-1.2227899,5294.4204588,2757.6476871,21973.2099606,317.5883268,15028.4958673,4980.7456145,5608.0953032,6241.2682747,3947.3246472
-1.2143504,-1.2143504,-1.2177899,5433.8561370,2848.7313759,22526.2208472,326.5061005,15418.9072711,5120.7499631,5746.9623109,6405.6404625,4051.2827468
-1.2093504,-1.2093504,-1.2127899,5590.1964321,2950.6221835,23145.5413922,336.5525260,15855.9623819,5277.5738071,5902.8190571,6589.9404688,4167.8443053
-1.2043504,-1.2043504,-1.2077899,5761.4479681,3062.0022397,23823.3161677,347.5859469,16334.1042731,5449.2089767,6073.6869595,6791.8184245,4295.5231351
-1.1993504,-1.1993504,-1.2027899,5944.7963702,3181.0244630,24548.4650971,359.3992054,16845.5046163,5632.8279409,6256.7647994,7007.9566352,4432.2209422
-1.1943504,-1.1943504,-1.1977899,6136.6347215,3305.3313649,25306.7946369,371.7194131,17380.1423358,5824.8124403,6448.4570027,7234.1031277,4575.2485424
-1.1893504,-1.1893504,-1.1927899,6332.6286567,3432.0975017,26081.2530792,384.2028522,17925.9838050,6020.8187106,6644.4386027,7465.1483835,4721.3743926
-1.1843504,-1.1843504,-1.1877899,6527.8241108,3558.0994887,26852.3535735,396.4175634,18469.2812297,6215.8853183,6839.7629034,7695.2523590,4866.9049249
-1.1793504,-1.1793504,-1.1827899,6716.8022027,3679.8164910,27598.7824116,407.9219847,18995.0015921,6404.5880905,7029.0163148,7918.0270665,5007.8000210
-1.1743504,-1.1743504,-1.1777899,6893.8821321,3793.5617754,28298.1960004,418.5087404,19487.3885783,6581.2430245,7206.5212397,8126.7757585,5139.8242860
-1.1693504,-1.1693504,-1.1727899,7053.3675688,3895.6424005,28928.1887318,428.2038108,19930.6449501,6740.1526564,7365.5390342,8314.7833797,5258.7307462
-1.1643504,-1.1643504,-1.1677899,7189.5938246,3982.5398822,29467.3882997,436.9851610,20309.7047329,6875.8848310,7498.4722671,8475.3721760,5360.2960188
-1.1593504,-1.1593504,-1.1627899,7298.3796317,4051.1003754,29896.6090463,444.6162602,20611.0462803,6983.5661941,7613.1930693,8603.6131066,5441.4027048
-1.1543504,-1.1543504,-1.1577899,7374.9958961,4098.7193854,30199.9725783,450.6433051,20823.4822282,7059.1672926,7690.8244997,8693.9313320,5498.5249661
-1.1493504,-1.1493504,-1.1527899,7416.7327962,4123.5040568,30365.8930192,454.4783079,20938.8539768,7099.7531356,7733.7124568,8743.1324094,5529.6424596
-1.1443504,-1.1443504,-1.1477899,7421.9318851,4124.3962929,30387.8255247,455.6419513,20952.5592286,7103.6733973,7740.1903729,8749.2612971,5533.5187086
-1.1393504,-1.1393504,-1.1427899,7390.3259587,4101.2426041,30264.6926849,454.0669883,20863.8523879,7070.6705114,7709.9814061,8712.0030047,5509.9544954
-1.1343504,-1.1343504,-1.1377899,7323.0510171,4054.8014953,30000.9331614,449.9590154,20675.8785832,7001.8914897,7644.2105446,8632.6966931,5459.7967799
-1.1293504,-1.1293504,-1.1327899,7222.5579503,3986.6857886,29606.1567681,443.4898274,20395.4301819,6899.7994511,7545.3164496,8514.2315665,5384.8728553
-1.1243504,-1.1243504,-1.1277899,6828.0826484,3722.3514172,28025.5127325,418.7823661,19275.2024980,6499.7495495,7156.4157473,8049.2087739,5090.7666175
-1.1193504,-1.1193504,-1.1227899,6396.9160787,3442.2575634,26323.4153255,390.6970968,18074.6759355,6067.9495547,6725.8826026,7540.9328911,4769.3047237
-1.1143504,-1.1143504,-1.1177899,6039.9131278,3210.1384627,24912.8889537,367.5277428,17079.6485042,5710.2660718,6369.5601838,7120.0839599,4503.1364890
-1.1093504,-1.1093504,-1.1127899,5751.7797010,3022.5900706,23773.2057442,348.9190602,16275.5269830,5421.4230406,6082.1363614,6780.4210961,4288.3148317
-1.1043504,-1.1043504,-1.1077899,5525.8519611,2875.3219691,22878.2534943,334.4213295,15643.9229768,5194.7753472,5856.9285751,6514.0887097,4119.8714406
-1.0993504,-1.0993504,-1.1027899,5354.6079304,2763.4879380,22198.5468539,323.5280007,15164.0701464,5022.8199012,5686.3959597,6312.2196016,3992.1982064
-1.0943504,-1.0943504,-1.0977899,5230.1568337,2682.0019271,21703.1518676,315.7081196,14814.1802533,4897.6844032,5562.6292643,6165.5118198,3899.4120582
-1.0893504,-1.0893504,-1.0927899,5144.7153202,2625.8453831,21361.5595920,310.4377819,14572.7632216,4811.6029466,5477.8276938,6064.7900483,3835.7100166
-1.0843504,-1.0843504,-1.0877899,5091.0859353,2590.3759349,21145.5689787,307.2316715,14419.9536723,4757.3938375,5424.7780332,6001.5696484,3795.7259250
-1.0793504,-1.0793504,-1.0827899,5063.1587777,2571.6510422,21031.2610527,305.6750640,14338.9017899,4728.9605762,5397.3569791,5968.6480313,3774.9044662
-1.0743504,-1.0743504,-1.0777899,5056.4640167,2566.7845876,21001.1728784,305.3810842,14317.3050333,4721.8436869,5391.0843465,5960.7559873,3769.9130993
-1.0693504,-1.0693504,-1.0727899,5058.8577901,2546.3159432,21046.8205757,303.1591326,14349.1859517,4714.6779538,5403.0376264,5963.5778602,3771.6978084
-1.0643504,-1.0643504,-1.0677899,4925.1301277,2456.8114905,20548.8126188,295.3120561,13980.6497841,4579.3627937,5270.8974617,5805.9345029,3671.9953950
-1.0593504,-1.0593504,-1.0627899,4817.5009249,2384.2746894,20124.7516685,288.3788641,13679.7141296,4470.2074048,5164.7944451,5679.0570223,3591.7510305
-1.0543504,-1.0543504,-1.0577899,4744.0420091,2333.9108966,19836.0147818,283.6211051,13474.2167317,4395.2789332,5092.8050850,5592.4608019,3536.9827719
-1.0493504,-1.0493504,-1.0527899,4716.4761220,2313.2824507,19728.9072954,281.8108030,13396.7822745,4366.2909008,5066.6613433,5559.9650646,3516.4306630
-1.0443504,-1.0443504,-1.0477899,4751.8228402,2333.3751280,19870.5524820,284.0592839,13494.7061455,4400.2486471,5103.3970333,5601.6331475,3542.7838726
-1.0393504,-1.0393504,-1.0427899,4874.7090929,2410.0957667,20357.9596876,291.6650983,13836.3476531,4521.7593776,5227.6588081,5746.4962305,3634.4033308
-1.0343504,-1.0343504,-1.0377899,4969.1246560,2548.8246157,20674.0618139,297.0839854,14113.8896264,4655.7506665,5282.4986456,5857.7969599,3704.7960928
-1.0293504,-1.0293504,-1.0327899,5126.3126857,2651.2935102,21292.9205633,307.3154999,14550.6845542,4813.3253956,5439.2999757,6043.0963086,3821.9896910
-1.0243504,-1.0243504,-1.0277899,5135.9443081,2563.8519794,21360.6068300,310.8691367,14532.3721803,4773.8599899,5498.0286264,6054.4504389,3829.1706735
-1.0193504,-1.0193504,-1.0227899,5001.3970571,2477.6801029,20831.0397832,301.9383705,14159.6976748,4639.8172540,5362.9768603,5895.8409186,3728.8572050
-1.0143504,-1.0143504,-1.0177899,4906.4994849,2544.6610969,20386.2904421,292.7817398,13936.5909567,4611.1077534,5201.8912164,5783.9719782,3658.1050747
-1.0093504,-1.0093504,-1.0127899,4849.6179857,2511.5645356,20159.0702814,289.0182347,13779.0296626,4556.1038382,5143.1321331,5716.9178597,3615.6963266
-1.0043504,-1.0043504,-1.0077899,4982.9144486,2601.6591068,20683.9924089,296.6362857,14151.7382631,4691.4259572,5274.4029400,5874.0529025,3715.0772537
-0.9993504,-0.9993504,-1.0027899,5201.2614316,2752.8284104,21548.8409900,310.9115610,14768.3891902,4915.2295505,5487.2933128,6131.4487986,3877.8687120
-0.9943504,-0.9943504,-0.9977899,5133.0633698,2609.5390198,21364.4592033,307.4201355,14568.4990784,4796.9225926,5469.2041470,6051.0542770,3827.0227521
-0.9893504,-0.9893504,-0.9927899,4850.2377764,2423.9890246,20245.2260002,288.6359433,13777.7908305,4512.6064974,5187.8690555,5717.6484931,3616.1584197
-0.9843504,-0.9843504,-0.9877899,4743.9815023,2361.4168779,19809.0539034,280.7800519,13474.6413624,4409.0265033,5078.9365013,5592.3894742,3536.9376602
-0.9793504,-0.9793504,-0.9827899,4825.3522568,2411.7823495,20129.2438646,286.7305800,13698.7391259,4489.1539309,5161.5505827,5688.3124770,3597.6046940
