# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
0.7500000,0.0000000,-0.0298671,297642.2502464
0.7600000,0.0100000,-0.0198671,248173.5786223
0.7700000,0.0200000,-0.0098671,196476.6240362
0.7800000,0.0300000,0.0001329,150410.2663885
0.7900000,0.0400000,0.0101329,113852.7506839
0.8000000,0.0500000,0.0201329,89528.3364252
0.8100000,0.0600000,0.0301329,79548.9947554
0.8200000,0.0700000,0.0401329,81457.6252891
0.8300000,0.0800000,0.0501329,99567.2750506
0.8400000,0.0900000,0.0601329,125289.3243616
0.8500000,0.1000000,0.0701329,87849.5989903
0.8600000,0.1100000,0.0801329,54811.4993280
0.8700000,0.1200000,0.0901329,34102.4103246
0.8800000,0.1300000,0.1001329,21218.3116618
0.8900000,0.1400000,0.1101329,13228.3553132
0.9000000,0.1500000,0.1201329,8273.6222243
0.9100000,0.1600000,0.1301329,5194.0751025
0.9200000,0.1700000,0.1401329,3272.5988918
0.9300000,0.1800000,0.1501329,2067.8490717
0.9400000,0.1900000,0.1601329,1326.7978630
0.9500000,0.2000000,0.1701329,845.1759939
0.9600000,0.2100000,0.1801329,528.4257148
0.9700000,0.2200000,0.1901329,329.0889808
0.9800000,0.2300000,0.2001329,204.6140178
0.9900000,0.2400000,0.2101329,126.2620690
1.0000000,0.2500000,0.2201329,76.3178587
1.0100000,0.2600000,0.2301329,43.8605507
1.0200000,0.2700000,0.2401329,22.6751570
1.0300000,0.2800000,0.2501329,9.0299852
1.0400000,0.2900000,0.2601329,0.3648803
1.0500000,0.3000000,0.2701329,-5.0667006
1.0600000,0.3100000,0.2801329,-8.3613071
1.0700000,0.3200000,0.2901329,-10.1841240
1.0800000,0.3300000,0.3001329,-11.0058490
1.0900000,0.3400000,0.3101329,-11.1992563
1.1000000,0.3500000,0.3201329,-11.0317465
1.1100000,0.3600000,0.3301329,-10.6860716
1.1200000,0.3700000,0.3401329,-10.3152270
1.1300000,0.3800000,0.3501329,-10.0106537
1.1400000,0.3900000,0.3601329,-9.7562625
1.1500000,0.4000000,0.3701329,-9.4886801
1.1600000,0.4100000,0.3801329,-9.1635959
1.1700000,0.4200000,0.3901329,-8.7743339
1.1800000,0.4300000,0.4001329,-8.3549337
1.1900000,0.4400000,0.4101329,-7.9595187
1.2000000,0.4500000,0.4201329,-7.6199356
1.2100000,0.4600000,0.4301329,-7.3282012
1.2200000,0.4700000,0.4401329,-7.0657508
1.2300000,0.4800000,0.4501329,-6.8347406
1.2400000,0.4900000,0.4601329,-6.6390860
1.2500000,0.5000000,0.4701329,-6.4664355
1.2600000,0.5100000,0.4801329,-6.3017192
1.2700000,0.5200000,0.4901329,-6.1321143
1.2800000,0.5300000,0.5001329,-5.9447314
1.2900000,0.5400000,0.5101329,-5.7284038
1.3000000,0.5500000,0.5201329,-5.4777591
1.3100000,0.5600000,0.5301329,-5.1966644
1.3200000,0.5700000,0.5401329,-4.8961458
1.3300000,0.5800000,0.5501329,-4.5891121
1.3400000,0.5900000,0.5601329,-4.2864580
1.3500000,0.6000000,0.5701329,-3.9955660
1.3600000,0.6100000,0.5801329,-3.7203034
1.3700000,0.6200000,0.5901329,-3.4621159
1.3800000,0.6300000,0.6001329,-3.2214806
1.3900000,0.6400000,0.6101329,-2.9988384
1.4000000,0.6500000,0.6201329,-2.7942448
1.4100000,0.6600000,0.6301329,-2.6064260
1.4200000,0.6700000,0.6401329,-2.4331000
1.4300000,0.6800000,0.6501329,-2.2723877
1.4400000,0.6900000,0.6601329,-2.1230309
1.4500000,0.7000000,0.6701329,-1.9838605
1.4600000,0.7100000,0.6801329,-1.8539364
1.4700000,0.7200000,0.6901329,-1.7327246
1.4800000,0.7300000,0.7001329,-1.6199255
1.4900000,0.7400000,0.7101329,-1.5152538
1.5000000,0.7500000,0.7201329,-1.4183396
1.5100000,0.7600000,0.7301329,-1.3287279
