# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-0.8156111,-0.8156111,-0.8087397,7220.6754151,4252.7002216,34575.5092463,193.1782167,24096.4074432,596655.9679226,7338980.9204451,58218649.5783883
-0.8106111,-0.8106111,-0.8037397,7307.1707123,4304.9271029,34974.1456920,196.5295694,24374.7210375,603311.0192216,7420330.3781696,58862945.0892669
-0.8056111,-0.8056111,-0.7987397,7581.8097757,4470.7922286,36239.4712489,207.2030822,25258.1396738,624428.7345957,7678452.5201000,60907266.9530761
-0.8006111,-0.8006111,-0.7937397,8090.1036573,4777.8883189,38579.8734204,214.2988958,26892.1971167,663467.6380574,8155575.4443456,64685967.8642480
-0.7956111,-0.7956111,-0.7887397,8916.0201406,5277.1322255,42379.7256792,246.9911604,29545.3356633,726805.4995457,8929567.2401629,70815582.6894380
-0.7906111,-0.7906111,-0.7837397,10195.9296538,6051.2351218,48263.0623052,298.0617249,33653.3814476,824793.3886470,10126799.3851931,80296664.7905606
-0.7856111,-0.7856111,-0.7787397,12142.2804892,7229.0830483,57201.6616384,376.3600948,39895.0383973,973544.6389984,11943978.2979611,94686619.9768898
-0.7806111,-0.7806111,-0.7737397,15082.4591679,9009.3431758,70692.4276184,495.5721012,49315.7864959,1197870.4305933,14683968.6744965,116383307.3969244
-0.7756111,-0.7756111,-0.7687397,19490.3453986,11678.8736758,90910.6020213,674.8426925,63434.5912379,1533954.2026332,18788758.5240584,148886685.0951208
-0.7706111,-0.7706111,-0.7637397,24899.0357880,14945.4145267,115829.3959750,886.2343536,80832.2791744,1949833.3216725,23872044.7941078,189146183.1012520
-0.7656111,-0.7656111,-0.7587397,29880.9671692,17964.1173179,138662.2772473,1090.2805438,96777.6025950,2329104.9844886,28503663.0878201,225819869.7213714
-0.7606111,-0.7606111,-0.7537397,36026.4063358,21677.4930207,166952.6545513,1332.2400860,116530.0007518,2800912.7803898,34269764.2733464,271485608.5116824
-0.7556111,-0.7556111,-0.7487397,37756.6407628,22725.9296654,174882.1313101,1403.1390169,122067.5584020,2932621.0326952,35878153.8547176,284220991.2420428
-0.7506111,-0.7506111,-0.7437397,40523.5519172,24402.4918897,187563.1819342,1516.4708027,130923.3623070,3143261.7056507,38450468.4423117,304588867.8760211
-0.7456111,-0.7456111,-0.7387397,41026.7062973,24704.6883895,189901.6266868,1534.5519491,132555.3333741,3182593.4864707,38931935.7731584,308403538.4685033
-0.7406111,-0.7406111,-0.7337397,38518.7065200,23183.7205308,178422.7816715,1430.6102544,124538.5698126,2992157.0836170,36606907.0664822,289994832.4990417
-0.7356111,-0.7356111,-0.7287397,35221.4070397,21186.5201513,163301.9343922,1296.2530523,113979.2342074,2740854.6232194,33537717.4867172,265691991.5700075
-0.7306111,-0.7306111,-0.7237397,31457.6082439,18904.4280150,146069.9801157,1140.6908963,101944.7119744,2454890.6955317,30046203.5696113,238047095.3393538
-0.7256111,-0.7256111,-0.7187397,28681.6988382,17221.4284691,133359.6046465,1026.0618933,93068.0321887,2243942.4325721,27470556.3392389,217653696.7172531
-0.7206111,-0.7206111,-0.7137397,26877.1714727,16127.4179259,125096.3777349,951.5944553,87297.1757362,2106791.9501008,25795946.7032406,204394466.3187868
