# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.3239128,1.3239128,1.5252297,-0.0840685,-0.0657362,-0.2063199
1.3289128,1.3289128,1.5302297,-0.0828574,-0.0647893,-0.2033475
1.3339128,1.3339128,1.5352297,-0.0816675,-0.0638588,-0.2004270
1.3389128,1.3389128,1.5402297,-0.0804982,-0.0629445,-0.1975571
1.3439128,1.3439128,1.5452297,-0.0793492,-0.0620461,-0.1947370
1.3489128,1.3489128,1.5502297,-0.0782200,-0.0611631,-0.1919655
1.3539128,1.3539128,1.5552297,-0.0771102,-0.0602953,-0.1892417
1.3589128,1.3589128,1.5602297,-0.0760195,-0.0594425,-0.1865646
1.3639128,1.3639128,1.5652297,-0.0749474,-0.0586041,-0.1839333
1.3689128,1.3689128,1.5702297,-0.0738935,-0.0577801,-0.1813468
1.3739128,1.3739128,1.5752297,-0.0728576,-0.0569701,-0.1788042
1.3789128,1.3789128,1.5802297,-0.0718392,-0.0561737,-0.1763046
1.3839128,1.3839128,1.5852297,-0.0708379,-0.0553909,-0.1738473
1.3889128,1.3889128,1.5902297,-0.0698535,-0.0546211,-0.1714313
1.3939128,1.3939128,1.5952297,-0.0688857,-0.0538643,-0.1690558
1.3989128,1.3989128,1.6002297,-0.0679340,-0.0531202,-0.1667200
1.4039128,1.4039128,1.6052297,-0.0669981,-0.0523884,-0.1644231
1.4089128,1.4089128,1.6102297,-0.0660778,-0.0516688,-0.1621644
1.4139128,1.4139128,1.6152297,-0.0651728,-0.0509611,-0.1599431
1.4189128,1.4189128,1.6202297,-0.0642827,-0.0502651,-0.1577585
1.4239128,1.4239128,1.6252297,-0.0634072,-0.0495805,-0.1556098
1.4289128,1.4289128,1.6302297,-0.0625461,-0.0489072,-0.1534964
1.4339128,1.4339128,1.6352297,-0.0616991,-0.0482449,-0.1514176
1.4389128,1.4389128,1.6402297,-0.0608659,-0.0475934,-0.1493727
1.4439128,1.4439128,1.6452297,-0.0600463,-0.0469525,-0.1473611
1.4489128,1.4489128,1.6502297,-0.0592400,-0.0463220,-0.1453821
1.4539128,1.4539128,1.6552297,-0.0584466,-0.0457017,-0.1434350
1.4589128,1.4589128,1.6602297,-0.0576661,-0.0450914,-0.1415194
1.4639128,1.4639128,1.6652297,-0.0568981,-0.0444909,-0.1396345
1.4689128,1.4689128,1.6702297,-0.0561425,-0.0439000,-0.1377799
1.4739128,1.4739128,1.6752297,-0.0553988,-0.0433185,-0.1359549
1.4789128,1.4789128,1.6802297,-0.0546671,-0.0427463,-0.1341589
1.4839128,1.4839128,1.6852297,-0.0539469,-0.0421832,-0.1323915
1.4889128,1.4889128,1.6902297,-0.0532382,-0.0416291,-0.1306521
1.4939128,1.4939128,1.6952297,-0.0525407,-0.0410836,-0.1289401
1.4989128,1.4989128,1.7002297,-0.0518541,-0.0405468,-0.1272551
1.5039128,1.5039128,1.7052297,-0.0511783,-0.0400184,-0.1255966
1.5089128,1.5089128,1.7102297,-0.0505131,-0.0394982,-0.1239640
